Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Phase;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown;SlowLength;AvgPnL;ProfitFactor;TradesCSV
LUNC/USDT;Long;jma;Jurik Moving Average;50;-50,0;50;-50,0;;1.5;1,5;2;0;trend;12h;15981,557651090536;100;0,19;1107,7091509903767;;-0,18442348909468215;0,9940159831828111;report_html/jma_12h/trades_LUNC_USDT_jma_best.csv
LINK/EUR;Short;jma;Jurik Moving Average;20;50,0;20;50,0;;None;;2;0;trend;4h;15963,64376579912;30;0,6;499,2532597573154;;-1,2118744733627997;0,9755834025732651;report_html/jma_4h/trades_LINK_EUR_jma_best_short.csv
LUNC/USDT;Short;jma;Jurik Moving Average;20;0,0;20;0,0;;None;;2;0;trend;4h;14831,498615729166;30;0,6;2812,2644425800754;;-38,950046142361096;0,6556104384843435;report_html/jma_4h/trades_LUNC_USDT_jma_best_short.csv
ZEC/USDC;Long;jma;Jurik Moving Average;20;-50,0;20;-50,0;;None;;0;2;2b;4h;15440,721311114976;133;0,3007518796992481;897,5081909713517;;-4,205102923947514;0,8329162484086673;report_html/jma_4h/trades_ZEC_USDC_jma_best.csv
BTC/EUR;Long;jma;Jurik Moving Average;20;0,0;20;0,0;;1.5;1,5;2;5;5b;6h;16042,052740319294;58;0,2413793103448276;167,75481894883887;;0,7250472468844179;1,054925763590531;report_html/jma_6h/trades_BTC_EUR_jma_best.csv
BTC/EUR;Short;jma;Jurik Moving Average;50;-50,0;50;-50,0;;None;;2;5;5b;6h;15983,616612161573;36;0,5277777777777778;246,40260510050393;;-0,4550941066229454;0,9841314598636078;report_html/jma_6h/trades_BTC_EUR_jma_best_short.csv
ETH/EUR;Long;jma;Jurik Moving Average;20;-50,0;20;-50,0;;None;;2;5;5b;6h;14951,987714205303;41;0,4146341463414634;1034,7312995703105;;-25,56127526328543;0,5359873499014156;report_html/jma_6h/trades_ETH_EUR_jma_best.csv
ETH/EUR;Short;jma;Jurik Moving Average;30;-50,0;30;-50,0;;None;;2;5;5b;6h;16809,142844268565;39;0,5128205128205128;336,4116868898891;;20,747252417142924;1,6587852449631246;report_html/jma_6h/trades_ETH_EUR_jma_best_short.csv
XRP/EUR;Short;jma;Jurik Moving Average;20;50,0;20;50,0;;None;;2;4;4b;6h;16610,977260345306;44;0,5;256,98364892268;;13,88584682602962;1,4349785229367313;report_html/jma_6h/trades_XRP_EUR_jma_best_short.csv
SOL/EUR;Short;jma;Jurik Moving Average;50;-50,0;50;-50,0;;None;;2;5;5b;6h;16524,479250329136;35;0,6285714285714286;311,11238675260574;;14,985121437975392;1,3273510887848734;report_html/jma_6h/trades_SOL_EUR_jma_best_short.csv
SUI/EUR;Long;jma;Jurik Moving Average;20;-50,0;20;-50,0;;None;;2;5;5b;6h;14045,837024290071;41;0,36585365853658536;1926,0298668547475;;-47,66251160268117;0,31846807620854656;report_html/jma_6h/trades_SUI_EUR_jma_best.csv
SUI/EUR;Short;jma;Jurik Moving Average;20;-50,0;20;-50,0;;None;;2;0;trend;6h;16908,861309930187;42;0,5238095238095238;519,96439153139;;21,639554998337864;1,5371736388398356;report_html/jma_6h/trades_SUI_EUR_jma_best_short.csv
TNSR/USDC;Long;jma;Jurik Moving Average;30;50,0;30;50,0;;1.5;1,5;2;0;trend;6h;23272,739011307232;61;0,09836065573770492;1789,372370761892;;119,22522969356127;3,4379972628988456;report_html/jma_6h/trades_TNSR_USDC_jma_best.csv
TNSR/USDC;Short;jma;Jurik Moving Average;50;-50,0;50;-50,0;;1.5;1,5;2;0;trend;6h;15916,000137370798;51;0,29411764705882354;621,9749087773325;;-1,6470561299844164;0,9566919171745303;report_html/jma_6h/trades_TNSR_USDC_jma_best_short.csv
