Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
TNSR/USDC;30;50;30;50;13;0,3076923076923077;844,994805115117;7,343293173972664;775,297644924809;26984,932466496517;Long;2;1.5;48;0
TNSR/USDC;30;-50;30;-50;13;0,3076923076923077;841,5100066979351;7,331204217909947;775,297644924809;26939,63008707315;Long;2;1.5;48;0
TNSR/USDC;30;0;30;0;13;0,3076923076923077;840,4330108904044;7,272508610862033;775,297644924809;26925,629141575253;Long;2;1.5;48;0
TNSR/USDC;20;50;20;50;14;0,2857142857142857;778,4760055091568;7,906474639772323;851,1327205117377;26898,664077128193;Long;2;1.5;48;0
TNSR/USDC;20;0;20;0;13;0,3076923076923077;830,2237424831144;7,418615241758626;851,1327205117377;26792,908652280486;Long;2;1.5;48;0
TNSR/USDC;20;-50;20;-50;13;0,3076923076923077;829,7264799417801;7,390316254871872;851,1327205117377;26786,444239243137;Long;2;1.5;48;0
TNSR/USDC;50;0;50;0;14;0,2857142857142857;747,9657291761699;5,74339830372913;1098,0215389069745;26471,520208466376;Long;2;1.5;48;0
TNSR/USDC;50;-50;50;-50;13;0,3076923076923077;804,8277686726069;6,508155260185355;831,6290623905988;26462,76099274389;Long;2;1.5;48;0
TNSR/USDC;50;50;50;50;12;0,25;794,5096182550668;9,222087327562056;1060,0172054819523;25534,115419060803;Long;2;1.5;48;0
TNSR/USDC;20;0;20;0;50;0,28;186,41184090123434;4,892160309063721;533,9928314947247;25320,592045061712;Long;0;1.5;0;0
TNSR/USDC;20;0;20;0;50;0,28;186,34871731026658;4,8858069712061365;533,9928314947247;25317,43586551333;Long;0;None;0;0
TNSR/USDC;50;50;50;50;11;0,2727272727272727;820,8394011457295;6,43228676457612;1562,9390765965;25029,233412603025;Long;2;None;48;0
TNSR/USDC;30;50;30;50;12;0,25;732,5387589503802;5,6639783344607535;1405,1396561978363;24790,465107404558;Long;2;None;48;0
TNSR/USDC;30;0;30;0;12;0,25;728,8834722491066;5,645081308802204;1448,8328028043943;24746,60166698928;Long;2;None;48;0
TNSR/USDC;30;0;30;0;42;0,35714285714285715;207,60707120793242;5,835677087090533;412,86694265016195;24719,496990733147;Long;0;1.5;0;0
TNSR/USDC;30;0;30;0;42;0,35714285714285715;207,1567169436658;5,775892172921264;412,86694265016195;24700,58211163396;Long;0;None;0;0
TNSR/USDC;20;50;20;50;13;0,23076923076923078;643,1609995492271;5,000287964395771;1832,8447909529204;24361,092994139955;Long;2;None;48;0
TNSR/USDC;30;-50;30;-50;13;0,23076923076923078;632,7393282207662;4,438060539491123;1967,8005289450484;24225,611266869964;Long;2;None;48;0
TNSR/USDC;20;0;20;0;13;0,23076923076923078;632,010610081238;4,680232979319145;1977,2370858281793;24216,13793105609;Long;2;None;48;0
TNSR/USDC;20;-50;20;-50;13;0,23076923076923078;624,2797140285252;4,480827827509557;2077,3485506068646;24115,63628237083;Long;2;None;48;0
TNSR/USDC;50;-50;50;-50;12;0,3333333333333333;668,6863357628123;4,009595867068184;2168,3939548405833;24024,236029153744;Long;2;None;48;0
TNSR/USDC;50;0;50;0;11;0,2727272727272727;729,1546378042648;4,089027534383399;2171,915243941701;24020,701015846906;Long;2;None;48;0
TNSR/USDC;20;-50;20;-50;52;0,28846153846153844;153,3559307570394;4,170333652252617;651,6383958612387;23974,508399366056;Long;0;1.5;0;0
TNSR/USDC;20;-50;20;-50;52;0,28846153846153844;153,2984616813392;4,165456683319138;651,6383958612387;23971,520007429637;Long;0;None;0;0
TNSR/USDC;20;50;20;50;52;0,3076923076923077;140,07188006584053;3,906335097302961;656,5775719253797;23283,737763423702;Long;0;1.5;0;5
TNSR/USDC;20;50;20;50;52;0,3076923076923077;139,8126017563568;3,885736762874369;656,5775719253797;23270,255291330548;Long;0;None;0;5
TNSR/USDC;30;50;30;50;42;0,3333333333333333;172,8756725131058;5,367852297088657;607,5655260153617;23260,778245550446;Long;0;1.5;0;0
TNSR/USDC;30;50;30;50;42;0,3333333333333333;172,80663855163453;5,358638900247341;607,5655260153617;23257,87881916865;Long;0;None;0;0
TNSR/USDC;30;-50;30;-50;45;0,3111111111111111;159,80387594237476;4,00851425023722;649,2227461834773;23191,174417406855;Long;0;1.5;0;0
TNSR/USDC;30;-50;30;-50;45;0,3111111111111111;159,4095329125361;3,979264543502314;649,2227461834773;23173,428981064117;Long;0;None;0;0
TNSR/USDC;30;0;30;0;42;0,35714285714285715;164,2833108985444;5,187565697493844;391,7723659603653;22899,89905773885;Long;0;1.5;0;5
TNSR/USDC;30;0;30;0;42;0,35714285714285715;163,86610713441465;5,1338691595205885;391,7723659603653;22882,3764996454;Long;0;None;0;5
TNSR/USDC;30;0;30;0;31;0,45161290322580644;221,5907664167673;6,1999817661225345;315,31457518192474;22869,31375891979;Long;2;None;48;5
TNSR/USDC;30;0;30;0;31;0,45161290322580644;220,6448691555162;6,066974864537521;315,31457518192474;22839,990943821005;Long;2;1.5;48;5
TNSR/USDC;50;-50;50;-50;37;0,24324324324324326;184,1672523569957;5,024686942247337;635,5694844150858;22814,188337208856;Long;0;None;0;0
TNSR/USDC;50;-50;50;-50;37;0,24324324324324326;183,45503086510888;4,948168625911107;661,9216796149012;22787,83614200904;Long;0;1.5;0;0
TNSR/USDC;20;0;20;0;50;0,28;135,72161397239896;4,154368179814546;481,47086737992504;22786,080698619953;Long;0;1.5;0;5
TNSR/USDC;20;0;20;0;50;0,28;135,66480885365536;4,148972484930244;481,47086737992504;22783,24044268277;Long;0;None;0;5
TNSR/USDC;20;50;20;50;38;0,4473684210526316;175,15704127651156;3,3073296870728814;1167,57865392213;22655,967568507447;Long;2;None;48;5
TNSR/USDC;20;50;20;50;52;0,3269230769230769;127,12606131411141;3,7321098472663796;639,1653660307966;22610,55518833378;Long;0;1.5;0;4
TNSR/USDC;20;50;20;50;52;0,3269230769230769;126,87427929417608;3,712352088523673;639,1653660307966;22597,462523297145;Long;0;None;0;4
TNSR/USDC;20;-50;20;-50;52;0,3076923076923077;126,26416019139546;3,8413331774701107;550,4956725352713;22565,736329952575;Long;0;1.5;0;4
TNSR/USDC;20;-50;20;-50;52;0,3076923076923077;126,2100680703903;3,836748574882664;550,4956725352713;22562,923539660307;Long;0;None;0;4
TNSR/USDC;20;50;20;50;39;0,4358974358974359;167,67199843897748;3,190151812900684;1224,5847263610958;22539,207939120115;Long;2;1.5;48;5
TNSR/USDC;20;0;20;0;35;0,42857142857142855;184,97666959263265;4,311090690224824;664,0516191860916;22474,18343574214;Long;2;1.5;48;5
TNSR/USDC;20;0;20;0;35;0,42857142857142855;184,41632579319864;4,268808953591885;651,7937763137779;22454,571402761947;Long;2;None;48;5
TNSR/USDC;20;50;20;50;39;0,48717948717948717;163,10277898351853;3,5581984078748676;941,3531324137148;22361,008380357216;Long;2;None;48;4
TNSR/USDC;20;50;20;50;52;0,3076923076923077;120,86283852235542;3,5913713938815564;650,2323409838282;22284,86760316247;Long;0;1.5;0;0
TNSR/USDC;30;0;30;0;33;0,48484848484848486;190,21913348570973;7,560156533560221;183,551148087623;22277,231405028426;Long;2;None;48;4
TNSR/USDC;20;50;20;50;52;0,3076923076923077;120,61468322796394;3,5725930702712354;650,2323409838282;22271,963527854114;Long;0;None;0;0
TNSR/USDC;30;0;30;0;33;0,48484848484848486;190,0253641745917;7,513783917008619;204,36268105564886;22270,837017761525;Long;2;1.5;48;4
TNSR/USDC;20;50;20;50;40;0,475;155,1718638775332;3,365034465393061;983,6906519892764;22206,87455510132;Long;2;1.5;48;4
TNSR/USDC;20;0;20;0;50;0,3;122,6995886833022;3,95694271010068;437,70633103806904;22134,97943416511;Long;0;1.5;0;4
TNSR/USDC;20;0;20;0;50;0,3;122,64440674342515;3,9517758450722127;437,70633103806904;22132,220337171268;Long;0;None;0;4
TNSR/USDC;20;-50;20;-50;37;0,4594594594594595;157,5325764395626;4,09639081852441;792,0639489056775;21828,70532826382;Long;2;None;48;4
TNSR/USDC;30;50;30;50;42;0,3333333333333333;138,5317162112732;4,761507733013432;567,1241648414834;21818,332080873468;Long;0;1.5;0;5
TNSR/USDC;30;50;30;50;42;0,3333333333333333;138,46696318021208;4,753285088580583;567,1241648414834;21815,6124535689;Long;0;None;0;5
TNSR/USDC;20;-50;20;-50;37;0,4594594594594595;157,09451708766068;4,067053103684114;826,7787741770626;21812,497132243447;Long;2;1.5;48;4
TNSR/USDC;20;0;20;0;36;0,4166666666666667;158,58817277374726;4,278881072967907;785,3157135404726;21709,174219854904;Long;2;None;48;4
TNSR/USDC;20;0;20;0;36;0,4166666666666667;157,37109848193188;4,180179748902549;819,7347750519839;21665,35954534955;Long;2;1.5;48;4
TNSR/USDC;30;0;30;0;42;0,38095238095238093;132,74435238651418;4,606210077141845;329,8419154297735;21575,262800233602;Long;0;1.5;0;4
TNSR/USDC;30;50;30;50;30;0,4666666666666667;185,6198521023701;4,287414995278922;611,5547188573437;21568,5955630711;Long;2;None;48;5
TNSR/USDC;30;0;30;0;42;0,38095238095238093;132,35128162102086;4,558473056978552;329,8419154297735;21558,75382808289;Long;0;None;0;4
TNSR/USDC;50;0;50;0;38;0,21052631578947367;146,06502390852;4,426169640614702;527,9764888055724;21550,470908523763;Long;0;None;0;0
TNSR/USDC;50;0;50;0;38;0,21052631578947367;145,4099580811598;4,359599899220516;552,868990245257;21525,57840708408;Long;0;1.5;0;0
TNSR/USDC;30;50;30;50;42;0,40476190476190477;131,47246363374026;4,90472244401604;491,75335036633624;21521,843472617085;Long;0;1.5;0;3
TNSR/USDC;30;50;30;50;42;0,40476190476190477;131,40859052952177;4,895635252238917;491,75335036633624;21519,160802239912;Long;0;None;0;3
TNSR/USDC;30;50;30;50;30;0,4666666666666667;183,8308832473149;4,176915288395952;665,7584347764023;21514,926497419438;Long;2;1.5;48;5
TNSR/USDC;20;-50;20;-50;52;0,28846153846153844;104,86327016834997;3,426131143014919;582,4791584975465;21452,890048754198;Long;0;1.5;0;5
TNSR/USDC;20;-50;20;-50;52;0,28846153846153844;104,81184564102854;3,4221230485316214;582,4791584975465;21450,21597333349;Long;0;None;0;5
TNSR/USDC;30;-50;30;-50;45;0,3333333333333333;120,7849522998024;3,53307092071245;508,92878157308587;21435,322853491114;Long;0;1.5;0;4
TNSR/USDC;30;-50;30;-50;45;0,3333333333333333;120,42046579267353;3,506738443518209;508,92878157308587;21418,92096067031;Long;0;None;0;4
TNSR/USDC;30;-50;30;-50;34;0,47058823529411764;157,51468821097993;5,754193257233548;297,13393575180453;21355,49939917331;Long;2;None;48;4
TNSR/USDC;30;-50;30;-50;34;0,47058823529411764;156,46179941397645;5,580163989661494;319,29295818587343;21319,7011800752;Long;2;1.5;48;4
TNSR/USDC;30;50;30;50;42;0,35714285714285715;126,65485363929957;4,541771459640798;501,4952748936412;21319,50385285056;Long;0;1.5;0;4
TNSR/USDC;30;50;30;50;42;0,35714285714285715;126,59158104403087;4,533903759273379;501,4952748936412;21316,84640384929;Long;0;None;0;4
TNSR/USDC;20;50;20;50;52;0,36538461538461536;98,82916766343283;3,3524941884777086;610,8641835215822;21139,1167184985;Long;0;1.5;0;3
TNSR/USDC;20;50;20;50;52;0,36538461538461536;98,59377098861881;3,334111409151326;610,8641835215822;21126,876091408176;Long;0;None;0;3
TNSR/USDC;30;0;30;0;42;0,42857142857142855;120,76916296648162;4,603583137255743;252,63015847103452;21072,30484459222;Long;0;1.5;0;3
TNSR/USDC;30;50;30;50;32;0,46875;158,04401799799547;4,370074675294146;576,9581418582529;21057,408575935864;Long;2;None;48;4
TNSR/USDC;30;0;30;0;42;0,42857142857142855;120,3852553834007;4,552536691980469;262,071970400837;21056,180726102826;Long;0;None;0;3
TNSR/USDC;50;0;50;0;29;0,3448275862068966;173,60632421144143;3,84274014358738;887,7176302553635;21034,583402131808;Long;2;None;48;5
TNSR/USDC;20;-50;20;-50;35;0,45714285714285713;143,76464463502913;3,501184873083474;625,8253106235825;21031,762562226017;Long;2;1.5;48;5
TNSR/USDC;20;-50;20;-50;35;0,45714285714285713;143,41922689769203;3,480614872776646;614,2730937454071;21019,672941419223;Long;2;None;48;5
TNSR/USDC;30;-50;30;-50;32;0,4375;156,63101676235183;4,504829195777915;308,72563485059436;21012,192536395254;Long;2;None;48;5
TNSR/USDC;30;-50;30;-50;45;0,3111111111111111;110,5819284397607;3,3121302915042996;504,78161893887955;20976,186779789223;Long;0;1.5;0;5
TNSR/USDC;30;50;30;50;32;0,46875;155,31632370522573;4,14839863568201;617,668853480267;20970,122358567234;Long;2;1.5;48;4
TNSR/USDC;30;-50;30;-50;32;0,4375;155,15798356382996;4,363172386429173;343,9053955963027;20965,055474042558;Long;2;1.5;48;5
TNSR/USDC;30;-50;30;-50;45;0,3111111111111111;110,22524908836935;3,28795755355235;504,78161893887955;20960,13620897662;Long;0;None;0;5
TNSR/USDC;50;0;50;0;38;0,21052631578947367;130,42218848168963;4,548175076580906;410,27290968835223;20956,043162304195;Long;0;None;0;5
TNSR/USDC;20;-50;20;-50;52;0,34615384615384615;94,88397845085215;3,3975297200764847;545,7334646840209;20933,966879444317;Long;0;1.5;0;3
TNSR/USDC;20;-50;20;-50;52;0,34615384615384615;94,83379782953301;3,393309698901704;545,7334646840209;20931,357487135727;Long;0;None;0;3
TNSR/USDC;50;0;50;0;29;0,3448275862068966;169,84773827004443;3,635836775327308;941,6920393626569;20925,584409831285;Long;2;1.5;48;5
TNSR/USDC;50;0;50;0;38;0,21052631578947367;128,2388891800097;4,296059521040709;492,6308419047273;20873,077788840365;Long;0;1.5;0;5
TNSR/USDC;30;-50;30;-50;45;0,37777777777777777;104,81059447118068;3,354802973643253;490,49027994749486;20716,476751203132;Long;0;1.5;0;3
TNSR/USDC;30;-50;30;-50;45;0,37777777777777777;104,45833123247553;3,3289546811353374;490,49027994749486;20700,62490546139;Long;0;None;0;3
TNSR/USDC;20;0;20;0;50;0,34;93,67651723101693;3,522450027702746;415,2645868644213;20683,825861550846;Long;0;1.5;0;3
TNSR/USDC;20;0;20;0;50;0,34;93,62495298003068;3,5176474139782576;415,2645868644213;20681,24764900153;Long;0;None;0;3
TNSR/USDC;30;0;30;0;36;0,5277777777777778;128,79788496959208;3,50144956544551;923,1521840137939;20636,723858905305;Long;2;1.5;48;3
TNSR/USDC;30;0;30;0;36;0,5277777777777778;128,722560105877;3,496348360400853;923,1521840137939;20634,01216381156;Long;2;None;48;3
TNSR/USDC;30;50;30;50;34;0,5294117647058824;131,30781026234914;4,001583755323341;536,9837686846586;20464,46554891987;Long;2;1.5;48;3
TNSR/USDC;30;50;30;50;34;0,5294117647058824;131,30781026234914;4,001583755323341;536,9837686846586;20464,46554891987;Long;2;None;48;3
TNSR/USDC;50;50;50;50;34;0,17647058823529413;131,03270951670166;4,117140257338018;776,0140133211207;20455,11212356786;Long;0;None;0;0
TNSR/USDC;50;50;50;50;34;0,17647058823529413;130,33778965632277;4,050586093379916;799,6333220734887;20431,484848314976;Long;0;1.5;0;0
TNSR/USDC;50;-50;50;-50;37;0,24324324324324326;107,37279214721771;4,016970789493274;397,4717635585075;19972,793309447046;Long;0;None;0;5
TNSR/USDC;50;-50;50;-50;29;0,41379310344827586;135,88153575852544;3,7455524526142057;621,9812109761988;19940,564536997234;Long;2;None;48;5
TNSR/USDC;50;-50;50;-50;37;0,24324324324324326;105,23569299600285;3,7918930083130777;475,96549182635135;19893,7206408521;Long;0;1.5;0;5
TNSR/USDC;50;-50;50;-50;29;0,41379310344827586;133,1814632986236;3,5657133525685873;675,1781295461114;19862,262435660086;Long;2;1.5;48;5
TNSR/USDC;30;50;30;50;42;0,40476190476190477;90,43445518456697;3,813153993314661;526,7695219228735;19798,247117751802;Long;0;1.5;0;2
TNSR/USDC;30;50;30;50;42;0,40476190476190477;90,37569741583289;3,8062614687885867;526,7695219228735;19795,77929146498;Long;0;None;0;2
TNSR/USDC;20;50;20;50;41;0,43902439024390244;92,57854181331787;2,7058192630659206;741,1349611577498;19795,72021434603;Long;2;None;48;3
TNSR/USDC;20;50;20;50;42;0,42857142857142855;89,92835775025657;2,683554044235056;741,1349611577498;19776,991025510775;Long;2;1.5;48;3
TNSR/USDC;50;0;50;0;38;0,2631578947368421;97,08787427532135;3,906499054540207;342,86779604508047;19689,33922246221;Long;0;None;0;4
TNSR/USDC;50;0;50;0;38;0,2631578947368421;95,16828490500927;3,6965170821284437;415,2675418098188;19616,394826390348;Long;0;1.5;0;4
TNSR/USDC;50;-50;50;-50;37;0,2972972972972973;89,60442927700252;3,7373862457897125;318,4790301473222;19315,36388324909;Long;0;None;0;4
TNSR/USDC;50;-50;50;-50;37;0,2972972972972973;87,67040481968598;3,5311126335026297;389,50362973902884;19243,804978328375;Long;0;1.5;0;4
TNSR/USDC;50;-50;50;-50;30;0,43333333333333335;105,0443670477568;3,111511848054879;529,9256852076687;19151,331011432696;Long;2;None;48;4
TNSR/USDC;50;-50;50;-50;37;0,2972972972972973;83,26460274692249;3,3633737494471716;383,64656058447144;19080,790301636134;Long;0;1.5;0;3
TNSR/USDC;50;-50;50;-50;30;0,43333333333333335;102,62264775466322;2,9771911669953255;567,317742250325;19078,679432639892;Long;2;1.5;48;4
TNSR/USDC;50;-50;50;-50;37;0,2972972972972973;83,20032176831431;3,357346818123557;385,98660185837434;19078,411905427627;Long;0;None;0;3
TNSR/USDC;20;0;20;0;39;0,46153846153846156;77,15728973210734;2,3561327223476582;892,6784023849214;19009,13429955219;Long;2;None;48;3
TNSR/USDC;20;0;20;0;39;0,46153846153846156;77,15728973210734;2,3561327223476582;892,6784023849214;19009,13429955219;Long;2;1.5;48;3
TNSR/USDC;50;-50;50;-50;31;0,3870967741935484;94,85902180683931;3,116808913446776;465,8336316954301;18940,62967601202;Long;2;1.5;48;3
TNSR/USDC;50;-50;50;-50;31;0,3870967741935484;94,85902180683931;3,116808913446776;465,8336316954301;18940,62967601202;Long;2;None;48;3
TNSR/USDC;30;-50;30;-50;37;0,4864864864864865;78,04440142408247;2,5444997391087365;954,5069517067459;18887,642852691046;Long;2;1.5;48;3
TNSR/USDC;30;-50;30;-50;37;0,4864864864864865;78,04440142408247;2,5444997391087365;954,5069517067459;18887,642852691046;Long;2;None;48;3
TNSR/USDC;50;0;50;0;30;0,36666666666666664;95,39101543165553;2,794182429970555;798,6119744246098;18861,73046294966;Long;2;None;48;4
