Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
XRP/EUR;30;50;30;50;35;0,5142857142857142;7,74015948079316;1,9769999376791947;82,57722880314941;16270,905581827754;Long;2;None;48;5
XRP/EUR;20;0;20;0;37;0,4594594594594595;6,958602548450966;1,861888460011676;82,57722880314941;16257,468294292688;Long;2;None;48;5
XRP/EUR;20;-50;20;-50;36;0,5277777777777778;7,14849102415486;2,0664992309392827;66,66324500612973;16257,34567686957;Long;2;None;48;5
XRP/EUR;20;50;20;50;39;0,46153846153846156;6,379658703977329;1,7345561516915924;82,68592205259665;16248,806689455118;Long;2;None;48;5
XRP/EUR;50;0;50;0;28;0,6071428571428571;7,587696917908715;2,655766120399869;28,009332546016594;16212,455513701445;Long;2;1.5;48;4
XRP/EUR;50;0;50;0;28;0,6071428571428571;7,587696917908715;2,655766120399869;28,009332546016594;16212,455513701445;Long;2;None;48;4
XRP/EUR;30;0;30;0;34;0,5294117647058824;6,186567780469348;1,7971258534252321;66,66324500612973;16210,34330453596;Long;2;None;48;5
XRP/EUR;50;-50;50;-50;25;0,6;8,196964268497487;2,1620670798851473;72,97977956779687;16204,924106712435;Long;2;1.5;48;5
XRP/EUR;50;50;50;50;29;0,5862068965517241;6,618354145806938;2,1780892134769174;28,009332546016594;16191,932270228403;Long;2;None;48;4
XRP/EUR;50;-50;50;-50;25;0,6;7,472401347349587;1,9605073121980992;72,55313098243641;16186,810033683743;Long;2;None;48;5
XRP/EUR;50;-50;50;-50;26;0,5769230769230769;7,094837709689785;2,2595845961960106;47,255820313035656;16184,465780451934;Long;2;1.5;48;4
XRP/EUR;50;-50;50;-50;26;0,5769230769230769;7,094837709689785;2,2595845961960106;47,255820313035656;16184,465780451934;Long;2;None;48;4
XRP/EUR;50;50;50;50;29;0,5862068965517241;6,239282394726943;2,040658446969165;31,56426153719076;16180,939189447081;Long;2;1.5;48;4
XRP/EUR;30;50;30;50;36;0,5;4,993863361679367;1,603848036852223;100,35170669377112;16179,779081020457;Long;2;1.5;48;5
XRP/EUR;30;-50;30;-50;32;0,5625;5,221640245035488;1,7110599753788236;61,484621279007115;16167,092487841133;Long;2;None;48;5
XRP/EUR;30;50;30;50;35;0,5428571428571428;4,709263419145056;1,765335420151378;63,94622803842867;16164,824219670078;Long;2;None;48;4
XRP/EUR;30;-50;30;-50;32;0,5625;4,8376067720058415;1,6264286799052736;61,911566201017195;16154,80341670419;Long;2;1.5;48;5
XRP/EUR;50;0;50;0;29;0,5862068965517241;5,034875224009185;2,2140175804770177;32,25266202489729;16146,01138149627;Long;2;None;48;3
XRP/EUR;50;0;50;0;29;0,5862068965517241;5,034875224009185;2,2140175804770177;32,25266202489729;16146,01138149627;Long;2;1.5;48;3
XRP/EUR;30;0;30;0;34;0,5882352941176471;4,289725897685197;1,6234313617933014;66,2134154103278;16145,850680521296;Long;2;None;48;4
XRP/EUR;20;-50;20;-50;38;0,5;3,407649506891518;1,4342070863709229;64,6314631580608;16129,490681261877;Long;2;1.5;48;5
XRP/EUR;30;50;30;50;36;0,5555555555555556;3,275155712680909;1,5047641470125237;80,15593521521805;16117,905605656508;Long;2;1.5;48;4
XRP/EUR;50;50;50;50;31;0,4838709677419355;3,567005825665488;1,6416295901046352;47,022850871331684;16110,57718059563;Long;2;1.5;48;3
XRP/EUR;50;50;50;50;31;0,4838709677419355;3,567005825665488;1,6416295901046352;47,022850871331684;16110,57718059563;Long;2;None;48;3
XRP/EUR;30;-50;30;-50;32;0,65625;3,4543450891123664;1,5642178884428004;52,341606949548805;16110,539042851597;Long;2;None;48;4
XRP/EUR;30;0;30;0;35;0,5142857142857142;2,998400016795493;1,35118668564574;89,44133521041113;16104,944000587839;Long;2;1.5;48;5
XRP/EUR;30;-50;30;-50;32;0,65625;3,216026098999101;1,5059240527554274;58,74442403737885;16102,91283516797;Long;2;1.5;48;4
XRP/EUR;50;0;50;0;28;0,5357142857142857;3,6481535247422436;1,5060720562411696;92,1501455919024;16102,148298692784;Long;2;1.5;48;5
XRP/EUR;30;0;30;0;35;0,6;2,7200579552466237;1,3720021213743;76,69139135933074;16095,202028433629;Long;2;1.5;48;4
XRP/EUR;20;50;20;50;42;0,42857142857142855;2,240717981607949;1,2233840292983205;123,89888079184493;16094,110155227529;Long;2;1.5;48;5
XRP/EUR;50;0;50;0;28;0,5357142857142857;3,005325349533844;1,3827455023048831;91,72401026752595;16084,149109786951;Long;2;None;48;5
XRP/EUR;20;0;20;0;41;0,4146341463414634;1,8306530309782274;1,1836772840451741;108,8931317267652;16075,05677427011;Long;2;1.5;48;5
XRP/EUR;50;50;50;50;39;0,41025641025641024;1,8262185747399902;1,2529894773556214;83,29827017762182;16071,222524414863;Long;0;None;0;4
XRP/EUR;50;50;50;50;39;0,41025641025641024;1,8262185747399902;1,2529894773556214;83,29827017762182;16071,222524414863;Long;0;1.5;0;4
XRP/EUR;50;50;50;50;28;0,5;2,4065900329500765;1,2880594755585857;91,72401026752595;16067,384520922606;Long;2;None;48;5
XRP/EUR;50;50;50;50;28;0,5;2,0863437281981523;1,2406353362087488;92,1501455919024;16058,417624389547;Long;2;1.5;48;5
XRP/EUR;30;50;30;50;13;0,3076923076923077;4,329132059254932;1,198024006944732;137,16499766540983;16056,278716770314;Long;2;1.5;48;0
XRP/EUR;50;-50;50;-50;27;0,5185185185185185;2,012145225340511;1,3514897575271068;48,82927155183461;16054,327921084192;Long;2;None;48;3
XRP/EUR;50;-50;50;-50;27;0,5185185185185185;2,012145225340511;1,3514897575271068;48,82927155183461;16054,327921084192;Long;2;1.5;48;3
XRP/EUR;20;50;20;50;42;0,42857142857142855;1,2735095771211238;1,147325340977803;109,01152144194202;16053,48740223908;Long;2;None;48;4
XRP/EUR;50;-50;50;-50;33;0,48484848484848486;1,3476938609883182;1,1760210984044226;80,97724590781945;16044,473897412612;Long;0;1.5;0;4
XRP/EUR;50;-50;50;-50;33;0,48484848484848486;1,3476938609883182;1,1760210984044226;80,97724590781945;16044,473897412612;Long;0;None;0;4
XRP/EUR;50;0;50;0;39;0,41025641025641024;1,0920549819460785;1,1422986123585417;101,37801005985239;16042,590144295898;Long;0;1.5;0;4
XRP/EUR;50;0;50;0;39;0,41025641025641024;1,0920549819460785;1,1422986123585417;101,37801005985239;16042,590144295898;Long;0;None;0;4
XRP/EUR;30;50;30;50;50;0,34;0,6303330768310854;1,0784982165237675;126,39203938621358;16031,516653841554;Long;0;1.5;0;5
XRP/EUR;30;50;30;50;50;0,34;0,6303330768310854;1,0784982165237675;126,39203938621358;16031,516653841554;Long;0;None;0;5
XRP/EUR;50;-50;50;-50;33;0,3939393939393939;0,8681423394783973;1,1071491415081955;80,9708875957258;16028,648697202789;Long;0;None;0;5
XRP/EUR;50;-50;50;-50;33;0,3939393939393939;0,8681423394783973;1,1071491415081955;80,9708875957258;16028,648697202789;Long;0;1.5;0;5
XRP/EUR;20;0;20;0;42;0,40476190476190477;0,6758552684892896;1,0811366603078454;66,66951445345694;16028,385921276553;Long;2;None;48;4
XRP/EUR;50;50;50;50;39;0,358974358974359;0,5697237818364116;1,0756151697923761;83,29172961931363;16022,21922749162;Long;0;None;0;5
XRP/EUR;50;50;50;50;39;0,358974358974359;0,5697237818364116;1,0756151697923761;83,29172961931363;16022,21922749162;Long;0;1.5;0;5
XRP/EUR;30;-50;30;-50;12;0,3333333333333333;1,6832286673688193;1,0785257234470333;132,0185895833656;16020,198744008427;Long;2;1.5;48;0
XRP/EUR;30;0;30;0;12;0,3333333333333333;1,5480259293740968;1,0716985446511604;133,88872491021357;16018,57631115249;Long;2;1.5;48;0
XRP/EUR;20;-50;20;-50;14;0,35714285714285715;0,9683463326862876;1,0460973398472457;111,25957477727025;16013,55684865761;Long;2;1.5;48;0
XRP/EUR;30;-50;30;-50;37;0,4864864864864865;0,34719619877980445;1,0531768182505812;67,86627828598648;16012,846259354852;Long;2;1.5;48;3
XRP/EUR;30;-50;30;-50;37;0,4864864864864865;0,30780018977617557;1,046859777901024;67,39361527041729;16011,388607021716;Long;2;None;48;3
XRP/EUR;30;-50;30;-50;45;0,3333333333333333;0,19068306127194895;1,0243009670003087;122,44872610487982;16008,580737757235;Long;0;None;0;5
XRP/EUR;30;-50;30;-50;45;0,3333333333333333;0,19068306127194895;1,0243009670003087;122,44872610487982;16008,580737757235;Long;0;1.5;0;5
XRP/EUR;30;-50;30;-50;45;0,4222222222222222;0,10587391012566803;1,0148557057512204;107,3467645462897;16004,76432595565;Long;0;1.5;0;4
XRP/EUR;30;-50;30;-50;45;0,4222222222222222;0,10587391012566803;1,0148557057512204;107,3467645462897;16004,76432595565;Long;0;None;0;4
XRP/EUR;50;50;50;50;39;0,38461538461538464;-0,15755542356660288;0,9782337024540481;96,11294382872802;15993,855338480902;Long;0;None;0;3
XRP/EUR;50;50;50;50;39;0,38461538461538464;-0,15755542356660288;0,9782337024540481;96,11294382872802;15993,855338480902;Long;0;1.5;0;3
XRP/EUR;20;50;20;50;15;0,3333333333333333;-0,569551088374052;0,9743084327211621;191,24446609222286;15991,456733674388;Long;2;1.5;48;0
XRP/EUR;50;50;50;50;39;0,3076923076923077;-0,2932231934549464;0,9664863571907201;88,77186835377688;15988,564295455255;Long;0;1.5;0;0
XRP/EUR;50;50;50;50;39;0,3076923076923077;-0,2932231934549464;0,9664863571907201;88,77186835377688;15988,564295455255;Long;0;None;0;0
XRP/EUR;30;0;30;0;47;0,40425531914893614;-0,28282079427401813;0,962548551734763;119,63348288779162;15986,707422669115;Long;0;1.5;0;4
XRP/EUR;30;0;30;0;47;0,40425531914893614;-0,28282079427401813;0,962548551734763;119,63348288779162;15986,707422669115;Long;0;None;0;4
XRP/EUR;50;0;50;0;39;0,3333333333333333;-0,51939333909342;0,9383416213867524;126,42302310325613;15979,743659775355;Long;0;1.5;0;5
XRP/EUR;50;0;50;0;39;0,3333333333333333;-0,51939333909342;0,9383416213867524;126,42302310325613;15979,743659775355;Long;0;None;0;5
XRP/EUR;50;50;50;50;12;0,3333333333333333;-1,7751787545886082;0,9190244023856888;138,76539971624698;15978,697854944938;Long;2;1.5;48;0
XRP/EUR;30;0;30;0;47;0,3191489361702128;-0,5309258310879723;0,9355637509733312;122,44872610487982;15975,046485938865;Long;0;1.5;0;5
XRP/EUR;30;0;30;0;47;0,3191489361702128;-0,5309258310879723;0,9355637509733312;122,44872610487982;15975,046485938865;Long;0;None;0;5
XRP/EUR;20;-50;20;-50;42;0,47619047619047616;-0,594818530089279;0,9306693591218759;118,47355509222143;15975,017621736246;Long;2;None;48;4
XRP/EUR;50;0;50;0;39;0,41025641025641024;-0,682832529657215;0,9093646987336833;114,18063366981187;15973,369531343367;Long;0;1.5;0;3
XRP/EUR;50;0;50;0;39;0,41025641025641024;-0,682832529657215;0,9093646987336833;114,18063366981187;15973,369531343367;Long;0;None;0;3
XRP/EUR;30;50;30;50;50;0,32;-0,5396226578023124;0,9362799601002204;120,75573553519826;15973,018867109879;Long;0;None;0;0
XRP/EUR;30;50;30;50;50;0,32;-0,5396226578023124;0,9362799601002204;120,75573553519826;15973,018867109879;Long;0;1.5;0;0
XRP/EUR;50;-50;50;-50;33;0,45454545454545453;-0,8229008652055941;0,890992916586222;105,92920431450693;15972,844271448219;Long;0;1.5;0;3
XRP/EUR;50;-50;50;-50;33;0,45454545454545453;-0,8229008652055941;0,890992916586222;105,92920431450693;15972,844271448219;Long;0;None;0;3
XRP/EUR;20;50;20;50;44;0,4318181818181818;-0,7763820639928322;0,918917586869976;180,93759405628407;15965,839189184315;Long;2;1.5;48;4
XRP/EUR;50;0;50;0;11;0,2727272727272727;-3,7822760751300355;0,8453574715315603;158,75056957454763;15958,39496317357;Long;2;1.5;48;0
XRP/EUR;30;50;30;50;50;0,36;-0,8359052989098776;0,8957858988286362;121,67218408727058;15958,204735054509;Long;0;1.5;0;4
XRP/EUR;30;50;30;50;50;0,36;-0,8359052989098776;0,8957858988286362;121,67218408727058;15958,204735054509;Long;0;None;0;4
XRP/EUR;50;-50;50;-50;33;0,24242424242424243;-1,4949714267271152;0,8505743019753852;123,76367831295647;15950,665942918007;Long;0;1.5;0;0
XRP/EUR;50;-50;50;-50;33;0,24242424242424243;-1,4949714267271152;0,8505743019753852;123,76367831295647;15950,665942918007;Long;0;None;0;0
XRP/EUR;30;-50;30;-50;45;0,3111111111111111;-1,1398738593967817;0,856652521700491;122,30129002009926;15948,705676327147;Long;0;1.5;0;0
XRP/EUR;30;-50;30;-50;45;0,3111111111111111;-1,1398738593967817;0,856652521700491;122,30129002009926;15948,705676327147;Long;0;None;0;0
XRP/EUR;30;50;30;50;40;0,45;-1,4549363335290306;0,7761036399583237;103,93946544645587;15941,80254665884;Long;2;None;48;3
XRP/EUR;20;0;20;0;16;0,3125;-3,7295929560512215;0,8393513253584631;188,9083212088608;15940,326512703183;Long;2;1.5;48;0
XRP/EUR;30;50;30;50;40;0,45;-1,500690260926504;0,770663862309708;105,76583874862808;15939,97238956294;Long;2;1.5;48;3
XRP/EUR;20;-50;20;-50;43;0,4883720930232558;-1,4559426472347796;0,8306750076685631;133,52403817529012;15937,394466168904;Long;2;1.5;48;4
XRP/EUR;30;-50;30;-50;45;0,4;-1,4171796496044604;0,8018536634148056;129,86706107296231;15936,226915767804;Long;0;None;0;3
XRP/EUR;30;-50;30;-50;45;0,4;-1,4171796496044604;0,8018536634148056;129,86706107296231;15936,226915767804;Long;0;1.5;0;3
XRP/EUR;30;0;30;0;40;0,425;-1,6160607730296754;0,7853655767844414;96,44344278690915;15935,357569078817;Long;2;None;48;3
XRP/EUR;20;0;20;0;44;0,4090909090909091;-1,5102649142258913;0,8399921465722275;134,11299659494034;15933,54834377406;Long;2;1.5;48;4
XRP/EUR;30;0;30;0;40;0,425;-1,6617962029557738;0,7806140287240678;98,99517654526608;15933,528151881768;Long;2;1.5;48;3
XRP/EUR;30;-50;30;-50;9;0,4444444444444444;-8,050303982568867;0,786021200065779;89,58676165385077;15927,547264156878;Long;2;None;48;0
XRP/EUR;30;0;30;0;9;0,4444444444444444;-8,198920345924732;0,7830899851676437;89,58676165385077;15926,209716886677;Long;2;None;48;0
XRP/EUR;30;0;30;0;47;0,3191489361702128;-1,6435709250522879;0,802718169318902;128,8617653746369;15922,752166522545;Long;0;1.5;0;0
XRP/EUR;30;0;30;0;47;0,3191489361702128;-1,6435709250522879;0,802718169318902;128,8617653746369;15922,752166522545;Long;0;None;0;0
XRP/EUR;30;50;30;50;10;0,4;-8,293036020368767;0,7872638272316514;136,80659206180644;15917,069639796311;Long;2;None;48;0
XRP/EUR;50;0;50;0;39;0,2564102564102564;-2,142223982306948;0,7783280864308604;126,2708017111272;15916,45326469003;Long;0;1.5;0;0
XRP/EUR;50;0;50;0;39;0,2564102564102564;-2,142223982306948;0,7783280864308604;126,2708017111272;15916,45326469003;Long;0;None;0;0
XRP/EUR;20;50;20;50;61;0,29508196721311475;-1,4246776163440702;0,8410651512230796;208,84759154375934;15913,094665403016;Long;0;1.5;0;0
XRP/EUR;30;0;30;0;47;0,3829787234042553;-2,0674601477184718;0,7269568632780241;142,13807905967587;15902,829373057231;Long;0;1.5;0;3
XRP/EUR;30;0;30;0;47;0,3829787234042553;-2,0674601477184718;0,7269568632780241;142,13807905967587;15902,829373057231;Long;0;None;0;3
XRP/EUR;20;50;20;50;61;0,29508196721311475;-1,6120282285800414;0,819918506413951;210,77327298034106;15901,666278056618;Long;0;1.5;0;5
XRP/EUR;20;50;20;50;61;0,29508196721311475;-1,719988691757928;0,8141531394050929;226,78931130911405;15895,080689802768;Long;0;None;0;0
XRP/EUR;30;-50;30;-50;45;0,4;-2,3734868946806404;0,6649348839152478;150,83392495508633;15893,19308973937;Long;0;None;0;2
XRP/EUR;30;-50;30;-50;45;0,4;-2,3734868946806404;0,6649348839152478;150,83392495508633;15893,19308973937;Long;0;1.5;0;2
XRP/EUR;20;0;20;0;61;0,29508196721311475;-1,7637382455758557;0,7977687183324091;193,50166299068042;15892,411967019872;Long;0;1.5;0;0
XRP/EUR;30;50;30;50;50;0,38;-2,314889116106295;0,7025332822184699;139,62831678445036;15884,255544194686;Long;0;1.5;0;3
XRP/EUR;30;50;30;50;50;0,38;-2,314889116106295;0,7025332822184699;139,62831678445036;15884,255544194686;Long;0;None;0;3
XRP/EUR;20;50;20;50;61;0,29508196721311475;-1,907127218951457;0,7936481858393605;228,6757220893469;15883,665239643964;Long;0;None;0;5
XRP/EUR;20;50;20;50;11;0,5454545454545454;-11,263845734945788;0,7089172433253061;294,2300212299051;15876,097696915598;Long;2;None;48;0
XRP/EUR;20;0;20;0;61;0,29508196721311475;-2,058665496847997;0,7715730586078966;211,46064141158422;15874,42140469227;Long;0;None;0;0
XRP/EUR;20;0;20;0;61;0,29508196721311475;-2,0966217407556553;0,759382201545359;195,61245207056163;15872,106073813908;Long;0;1.5;0;5
XRP/EUR;30;50;30;50;50;0,38;-2,6661109186247023;0,6383071851056527;171,9389614295269;15866,694454068764;Long;0;1.5;0;2
XRP/EUR;30;50;30;50;50;0,38;-2,6661109186247023;0,6383071851056527;171,9389614295269;15866,694454068764;Long;0;None;0;2
XRP/EUR;30;-50;30;-50;41;0,43902439024390244;-3,2691012235556176;0,5954150651958711;168,87534628340654;15865,966849834218;Long;2;1.5;48;2
XRP/EUR;30;50;30;50;42;0,40476190476190477;-3,2241871546034777;0,5699838411987579;202,27026629352986;15864,584139506662;Long;2;1.5;48;2
XRP/EUR;30;-50;30;-50;41;0,43902439024390244;-3,3209691151664185;0,5915205321482576;177,58619591928436;15863,840266278177;Long;2;None;48;2
XRP/EUR;50;-50;50;-50;30;0,36666666666666664;-4,571535618597803;0,45314504726648275;141,2511133240896;15862,853931442072;Long;2;1.5;48;2
XRP/EUR;50;-50;50;-50;30;0,36666666666666664;-4,571535618597803;0,45314504726648275;141,2511133240896;15862,853931442072;Long;2;None;48;2
XRP/EUR;30;50;30;50;42;0,40476190476190477;-3,2748156837808553;0,5660992764380989;204,3881083385022;15862,457741281203;Long;2;None;48;2
XRP/EUR;50;-50;50;-50;13;0,23076923076923078;-10,75848593593979;0,5957096929637508;187,41824643628388;15860,139682832783;Long;2;1.5;48;0
XRP/EUR;50;-50;50;-50;33;0,36363636363636365;-4,262104886164866;0,4855760847238522;144,7542660729796;15859,350538756562;Long;0;1.5;0;2
XRP/EUR;50;-50;50;-50;33;0,36363636363636365;-4,262104886164866;0,4855760847238522;144,7542660729796;15859,350538756562;Long;0;None;0;2
XRP/EUR;20;0;20;0;61;0,29508196721311475;-2,391172160538639;0,7344375794824405;213,54601450372502;15854,138498207138;Long;0;None;0;5
XRP/EUR;50;0;50;0;35;0,37142857142857144;-4,301106144787027;0,47190336012908396;154,64284261242574;15849,461284932453;Long;2;1.5;48;2
XRP/EUR;50;0;50;0;35;0,37142857142857144;-4,301106144787027;0,47190336012908396;154,64284261242574;15849,461284932453;Long;2;None;48;2
XRP/EUR;30;0;30;0;47;0,40425531914893614;-3,265325151649503;0,5598858758389892;177,10643057569905;15846,52971787247;Long;0;None;0;2
XRP/EUR;30;0;30;0;47;0,40425531914893614;-3,265325151649503;0,5598858758389892;177,10643057569905;15846,52971787247;Long;0;1.5;0;2
XRP/EUR;20;50;20;50;48;0,3958333333333333;-3,3303788754736683;0,6131135416762016;241,5468044500667;15840,141813977261;Long;2;None;48;3
XRP/EUR;50;50;50;50;35;0,37142857142857144;-4,638257555301931;0,4549615332455293;166,4423338141387;15837,66098556443;Long;2;1.5;48;2
XRP/EUR;50;50;50;50;35;0,37142857142857144;-4,638257555301931;0,4549615332455293;166,4423338141387;15837,66098556443;Long;2;None;48;2
XRP/EUR;50;50;50;50;39;0,3333333333333333;-4,202234934264182;0,458009492188119;167,99037578696516;15836,112837563694;Long;0;None;0;2
XRP/EUR;50;50;50;50;39;0,3333333333333333;-4,202234934264182;0,458009492188119;167,99037578696516;15836,112837563694;Long;0;1.5;0;2
XRP/EUR;20;-50;20;-50;59;0,288135593220339;-2,8105732094052738;0,6695945974570711;211,83753593991605;15834,17618064509;Long;0;1.5;0;5
