Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-04-24 19:00:00+02:00;1544,476806640625;2025-04-25 00:00:00+02:00;1545,82275390625;3200,0;6,4;Time exit (5 bars);-9,188666836226682;15990,811333163774;Short;2;5;5
2025-04-25 04:00:00+02:00;1537,6717529296875;2025-04-25 06:00:00+02:00;1559,8187877942291;3198,162266632755;6,39632453326551;ATR stop;-52,45934876885211;15938,351984394922;Short;2;5;2
2025-04-28 00:00:00+02:00;1581,49365234375;2025-04-28 05:00:00+02:00;1571,8487548828125;3187,6703968789843;6,375340793757969;Time exit (5 bars);13,06498643841301;15951,416970833334;Short;2;5;5
2025-04-29 04:00:00+02:00;1574,8470458984375;2025-04-29 08:00:00+02:00;1593,520905679305;3190,2833941666668;6,380566788333334;ATR stop;-44,20957686207777;15907,207393971255;Short;2;5;4
2025-04-30 03:00:00+02:00;1583,3575439453125;2025-04-30 08:00:00+02:00;1584,5235595703125;3181,441478794251;6,362882957588502;Time exit (5 bars);-8,70575901137849;15898,501634959877;Short;2;5;5
2025-05-01 08:00:00+02:00;1599,6343994140625;2025-05-01 12:00:00+02:00;1614,452704066265;3179,7003269919755;6,359400653983951;ATR stop;-35,81473630151299;15862,686898658365;Short;2;5;4
2025-05-03 18:00:00+02:00;1617,03515625;2025-05-03 21:00:00+02:00;1626,451311965984;3172,537379731673;6,345074759463346;ATR stop;-24,819073835408297;15837,867824822957;Short;2;5;3
2025-05-04 18:00:00+02:00;1617,1881103515625;2025-05-04 22:00:00+02:00;1628,1844744615453;3167,5735649645912;6,335147129929183;ATR stop;-27,873638566113875;15809,994186256843;Short;2;5;4
2025-05-05 00:00:00+02:00;1607,3406982421875;2025-05-05 05:00:00+02:00;1583,7757568359375;3161,9988372513685;6,3239976745027375;Time exit (5 bars);40,03351533312965;15850,027701589972;Short;2;5;5
2025-05-05 12:00:00+02:00;1590,419921875;2025-05-05 17:00:00+02:00;1591,0377197265625;3170,0055403179945;6,340011080635989;Time exit (5 bars);-7,5713982038184175;15842,456303386154;Short;2;5;5
2025-05-05 22:00:00+02:00;1599,0064697265625;2025-05-06 00:00:00+02:00;1615,2754430536957;3168,491260677231;6,336982521354462;ATR stop;-38,57456303347543;15803,88174035268;Short;2;5;2
2025-05-06 22:00:00+02:00;1559,9190673828125;2025-05-07 00:00:00+02:00;1579,819490427846;3160,7763480705357;6,3215526961410715;ATR stop;-46,6446616269606;15757,237078725719;Short;2;5;2
2025-05-07 07:00:00+02:00;1608,2191162109375;2025-05-07 12:00:00+02:00;1613,73828125;3151,4474157451436;6,3028948314902875;Time exit (5 bars);-17,11818624551369;15740,118892480205;Short;2;5;5
2025-05-13 02:00:00+02:00;2219,48046875;2025-05-13 07:00:00+02:00;2203,91357421875;3148,023778496041;6,2960475569920815;Time exit (5 bars);15,783423216325566;15755,90231569653;Short;2;5;5
2025-05-14 14:00:00+02:00;2327,897216796875;2025-05-14 19:00:00+02:00;2312,904052734375;3151,180463139306;6,302360926278612;Time exit (5 bars);13,99327984921998;15769,89559554575;Short;2;5;5
2025-05-15 00:00:00+02:00;2320,5;2025-05-15 02:00:00+02:00;2353,348416292263;3153,97911910915;6,3079582382183;ATR stop;-50,95489600232214;15718,940699543427;Short;2;5;2
2025-05-15 03:00:00+02:00;2302,0146484375;2025-05-15 08:00:00+02:00;2291,828369140625;3143,7881399086855;6,287576279817371;Time exit (5 bars);7,6235011605668905;15726,564200703995;Short;2;5;5
2025-05-15 15:00:00+02:00;2257,234130859375;2025-05-15 18:00:00+02:00;2299,735717203074;3145,312840140799;6,290625680281598;ATR stop;-65,51389517882215;15661,050305525174;Short;2;5;3
2025-05-15 20:00:00+02:00;2256,452880859375;2025-05-16 01:00:00+02:00;2272,271484375;3132,2100611050346;6,264420122210069;Time exit (5 bars);-28,22241867142061;15632,827886853753;Short;2;5;5
2025-05-16 02:00:00+02:00;2268,659423828125;2025-05-16 07:00:00+02:00;2311,8471643427956;3126,5655773707504;6,253131154741501;ATR stop;-65,77255546292677;15567,055331390826;Short;2;5;5
2025-05-16 10:00:00+02:00;2298,422119140625;2025-05-16 12:00:00+02:00;2335,0807886229263;3113,411066278165;6,22682213255633;ATR stop;-55,88415282510329;15511,171178565723;Short;2;5;2
2025-05-17 07:00:00+02:00;2221,24755859375;2025-05-17 12:00:00+02:00;2226,115234375;3102,2342357131447;6,204468471426289;Time exit (5 bars);-13,002751894866748;15498,168426670856;Short;2;5;5
2025-05-17 14:00:00+02:00;2214,410888671875;2025-05-17 19:00:00+02:00;2214,576904296875;3099,6336853341713;6,199267370668343;Time exit (5 bars);-6,431648644701202;15491,736778026156;Short;2;5;5
2025-05-17 20:00:00+02:00;2210,0986328125;2025-05-18 01:00:00+02:00;2217,984619140625;3098,3473556052313;6,196694711210463;Time exit (5 bars);-17,252094919748572;15474,484683106408;Short;2;5;5
2025-05-18 05:00:00+02:00;2220,27392578125;2025-05-18 07:00:00+02:00;2242,380548772707;3094,8969366212814;6,189793873242563;ATR stop;-37,00478430341076;15437,479898802998;Short;2;5;2
2025-05-18 12:00:00+02:00;2244,6015625;2025-05-18 15:00:00+02:00;2266,5068683684685;3087,4959797605998;6,1749919595212;ATR stop;-36,3061942781166;15401,173704524881;Short;2;5;3
