Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Phase;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;jma;Jurik Moving Average;50;50;;50;;None;;2;5;5b;4h;16217,70850775535;40;0,55;37,78116694831988
BTC/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;None;;2;0;trend;4h;16253,784618221272;13;0,6153846153846154;96,60531277870359
ETH/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;4h;16411,70685510307;56;0,48214285714285715;64,19153097223716
ETH/EUR;Short;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;4h;16687,35467631524;56;0,5357142857142857;159,3567997799928
XRP/EUR;Long;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;4h;16323,096897277908;46;0,5;95,88810163280687
XRP/EUR;Short;jma;Jurik Moving Average;30;50;;50;;None;;2;5;5b;4h;16485,23744061235;55;0,509090909090909;96,50696598205468
SOL/EUR;Long;jma;Jurik Moving Average;50;0;;0;;None;;2;5;5b;4h;16491,654868483438;52;0,5;54,79493136514429
SOL/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;None;;2;5;5b;4h;16576,825700319892;45;0,5777777777777777;124,2891496744669
LINK/EUR;Long;jma;Jurik Moving Average;30;50;;50;;None;;2;4;4b;4h;16509,43155130858;54;0,5925925925925926;115,74846642263219
LINK/EUR;Short;jma;Jurik Moving Average;20;50;;50;;None;;2;0;trend;4h;16579,464926213168;15;0,6666666666666666;193,70176775425716
SUI/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;0;5;5b;4h;16630,478699298263;75;0,36;133,7326331839813
SUI/EUR;Short;jma;Jurik Moving Average;30;50;;50;;None;;2;4;4b;4h;16943,900943698827;60;0,7;116,69180574623897
LUNC/USDT;Long;jma;Jurik Moving Average;50;50;;50;;None;;2;0;trend;4h;18983,69414548794;14;0,6428571428571429;369,8725580615137
LUNC/USDT;Short;jma;Jurik Moving Average;20;0;;0;;None;;2;0;trend;4h;17618,68439092658;15;0,7333333333333333;100,30929288058906
TNSR/USDC;Long;jma;Jurik Moving Average;20;-50;;-50;;1.5;1,5;2;0;trend;4h;27367,47450552917;16;0,3125;685,7890496463806
TNSR/USDC;Short;jma;Jurik Moving Average;20;50;;50;;1.5;1,5;2;0;trend;4h;18157,103183159023;23;0,5652173913043478;387,29533418039136
ZEC/USDC;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;0;2;2b;4h;17217,746392197576;75;0,52;188,68140844939626
ZEC/USDC;Short;jma;Jurik Moving Average;50;0;;0;;None;;0;0;trend;4h;17269,725976290796;57;0,3684210526315789;160,6767011584452
