Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
BTC/EUR;50;50;50;50;35;0,22857142857142856;-1,2716422666482412;0,915042828599072;139,26406419962768;15955,492520667312;Long;2;1.5;48;0
BTC/EUR;50;0;50;0;38;0,18421052631578946;-3,847087349264213;0,7526473033657589;177,0914793490174;15853,810680727958;Long;2;1.5;48;0
BTC/EUR;20;50;20;50;42;0,19047619047619047;-5,201274856008344;0,6755588884211757;203,51831099652554;15781,546456047645;Long;2;1.5;48;0
BTC/EUR;30;0;30;0;40;0,175;-5,851771068807762;0,6371288180111443;217,00289499320934;15765,929157247698;Long;2;1.5;48;0
BTC/EUR;20;0;20;0;43;0,18604651162790697;-5,463602482714146;0,6608098185187617;217,86695899761617;15765,06509324329;Long;2;1.5;48;0
BTC/EUR;30;50;30;50;38;0,21052631578947367;-6,19508801341147;0,5950512195724915;242,76640607679838;15764,586655490366;Long;2;1.5;48;0
BTC/EUR;30;-50;30;-50;42;0,16666666666666666;-5,7568858095446425;0,6455881137526455;235,32368685877555;15758,210795999126;Long;2;1.5;48;0
BTC/EUR;30;0;30;0;72;0,3611111111111111;-3,4379263899717976;0,575378850970819;291,26703413259384;15752,469299922031;Long;2;1.5;48;5
BTC/EUR;30;-50;30;-50;69;0,3333333333333333;-3,701916641695386;0,5420492172957002;310,9174831488381;15744,56775172302;Long;2;None;48;5
BTC/EUR;30;50;30;50;69;0,34782608695652173;-3,837089761179079;0,5456335963822373;325,0587015906767;15735,240806478656;Long;2;1.5;48;5
BTC/EUR;30;-50;30;-50;73;0,3287671232876712;-3,8365405918168327;0,5491842071505667;316,0390799576653;15719,932536797376;Long;2;1.5;48;5
BTC/EUR;50;50;50;50;77;0,24675324675324675;-3,668374189806431;0,4609395036442126;284,9790907732986;15717,535187384905;Long;0;1.5;0;4
BTC/EUR;50;-50;50;-50;39;0,15384615384615385;-7,276785629057899;0,5704042734700915;304,10424165229415;15716,205360466742;Long;2;1.5;48;0
BTC/EUR;20;-50;20;-50;45;0,17777777777777778;-6,548487524249711;0,6094773761184188;277,6139908321402;15705,318061408767;Long;2;1.5;48;0
BTC/EUR;30;50;30;50;66;0,3484848484848485;-4,678709861121605;0,4743065685024099;366,3170032035687;15691,205149165975;Long;2;None;48;5
BTC/EUR;50;50;50;50;64;0,28125;-4,97307922306754;0,4371579300505024;325,1789394801508;15681,72292972368;Long;2;1.5;48;5
BTC/EUR;20;50;20;50;84;0,35714285714285715;-3,90230058185731;0,529189879339425;332,2915883542282;15672,206751123986;Long;2;1.5;48;5
BTC/EUR;50;50;50;50;61;0,29508196721311475;-5,4435849893993575;0,4005067660328005;337,02228540994656;15667,941315646636;Long;2;None;48;5
BTC/EUR;20;-50;20;-50;81;0,345679012345679;-4,101409678953636;0,5064387192434918;336,71252347345035;15667,785816004764;Long;2;1.5;48;5
BTC/EUR;30;0;30;0;69;0,36231884057971014;-4,816033129301172;0,47104891155202555;365,9360550863985;15667,693714078225;Long;2;None;48;5
BTC/EUR;20;0;20;0;83;0,3253012048192771;-4,067903956662863;0,5014493943991286;348,3096414178872;15662,363971596984;Long;2;1.5;48;5
BTC/EUR;50;50;50;50;77;0,22077922077922077;-4,429643206474801;0,40364312441038536;345,58086637677116;15658,917473101443;Long;0;1.5;0;5
BTC/EUR;30;0;30;0;78;0,2948717948717949;-4,398812223365555;0,41336247140883453;370,53164100755566;15656,892646577491;Long;2;1.5;48;4
BTC/EUR;50;50;50;50;77;0,24675324675324675;-4,5037924977428325;0,410183016740008;349,3063004844007;15653,207977673803;Long;0;None;0;4
BTC/EUR;50;50;50;50;68;0,27941176470588236;-5,101400186019762;0,39619590662026993;349,40949080754945;15653,104787350654;Long;2;1.5;48;4
BTC/EUR;50;50;50;50;77;0,2727272727272727;-4,545958119960978;0,3123248632697483;361,887398608229;15649,961224763012;Long;0;1.5;0;3
BTC/EUR;50;50;50;50;77;0,2597402597402597;-4,554467300882566;0,24025950626479328;349,85132114944827;15649,30601783205;Long;0;1.5;0;2
BTC/EUR;30;50;30;50;73;0,273972602739726;-4,81782562574116;0,3880804784226573;392,86049075342453;15648,298729320897;Long;2;1.5;48;4
BTC/EUR;50;50;50;50;77;0,19480519480519481;-4,643396020447655;0,4222494730372725;367,3462795699488;15642,458506425519;Long;0;1.5;0;0
BTC/EUR;50;-50;50;-50;66;0,2878787878787879;-5,486036678967589;0,445274347021805;374,9419151317179;15637,921579188132;Long;2;1.5;48;5
BTC/EUR;50;50;50;50;75;0,28;-5,021948389185237;0,22797104527503545;375,8034681703939;15623,353870811105;Long;2;1.5;48;2
BTC/EUR;50;0;50;0;64;0,25;-6,0819220952095785;0,364440276060947;385,259233929175;15610,756985906588;Long;2;1.5;48;5
BTC/EUR;30;50;30;50;71;0,2676056338028169;-5,5274498660747176;0,30167809495842945;439,570921243072;15607,551059508693;Long;2;None;48;4
BTC/EUR;50;50;50;50;71;0,28169014084507044;-5,566817898769638;0,2831525325156543;407,0926941838825;15604,755929187359;Long;2;1.5;48;3
BTC/EUR;30;-50;30;-50;80;0,2625;-4,961812867695609;0,38365360463701415;406,1474692684478;15603,054970584353;Long;2;1.5;48;4
BTC/EUR;50;50;50;50;77;0,2597402597402597;-5,1691581202394525;0,21770025494688452;397,1825142399339;15601,974824741565;Long;0;None;0;2
BTC/EUR;50;50;50;50;66;0,2727272727272727;-6,149952150612583;0,31167020005583734;408,4111200986317;15594,103158059572;Long;2;None;48;4
BTC/EUR;30;0;30;0;75;0,28;-5,42914494292003;0,3126433673286083;434,6101583040472;15592,814129281;Long;2;None;48;4
BTC/EUR;20;-50;20;-50;77;0,35064935064935066;-5,303644716236578;0,42465171510370303;412,87898262843737;15591,619356849777;Long;2;None;48;5
BTC/EUR;50;50;50;50;77;0,22077922077922077;-5,364264379475049;0,3580759053171759;417,54669669779105;15586,951642780423;Long;0;None;0;5
BTC/EUR;50;-50;50;-50;68;0,22058823529411764;-6,078115770264723;0,33706113915348074;423,83133669726703;15586,688127621997;Long;2;1.5;48;4
BTC/EUR;50;50;50;50;77;0,2727272727272727;-5,377784737162089;0,27714623712845304;425,93804813271527;15585,910575238526;Long;0;None;0;3
BTC/EUR;30;50;30;50;91;0,21978021978021978;-4,561556871387667;0,32984473371656836;439,10500584192596;15584,89832470372;Long;2;1.5;48;2
BTC/EUR;20;50;20;50;93;0,3010752688172043;-4,498625151989732;0,43163920745589485;434,11432920720836;15581,627860864952;Long;2;1.5;48;4
BTC/EUR;50;0;50;0;66;0,21212121212121213;-6,3649235571152705;0,28536324430146176;419,159271207649;15579,915045230387;Long;2;1.5;48;4
BTC/EUR;50;0;50;0;78;0,19230769230769232;-5,468690237115405;0,34293393316059184;422,5740583307652;15573,442161504998;Long;0;1.5;0;5
BTC/EUR;30;50;30;50;84;0,2619047619047619;-5,109355741504468;0,28999198134512344;463,9382924652309;15570,814117713628;Long;2;1.5;48;3
BTC/EUR;50;50;50;50;77;0,19480519480519481;-5,577034820383647;0,377738757504368;430,63013115756803;15570,568318830457;Long;0;None;0;0
BTC/EUR;20;50;20;50;111;0,26126126126126126;-3,9027671440547276;0,41257441932794686;451,6956090477179;15566,792847009921;Long;2;1.5;48;2
BTC/EUR;30;0;30;0;88;0,2840909090909091;-4,932141152774775;0,3104705943231817;468,7808316230403;15565,971578555818;Long;2;1.5;48;3
BTC/EUR;50;0;50;0;78;0,19230769230769232;-5,568883630251112;0,28845839386241284;433,44723959762086;15565,627076840416;Long;0;1.5;0;4
BTC/EUR;50;50;50;50;75;0,28;-5,797787606208867;0,2035089521487651;433,9914094471642;15565,165929534334;Long;2;None;48;2
BTC/EUR;30;50;30;50;99;0,16161616161616163;-4,459261436351602;0,35927269136013046;468,89116978385573;15558,533117801191;Long;0;1.5;0;4
BTC/EUR;50;0;50;0;73;0,2191780821917808;-6,052885398179813;0,16473445130242292;440,72190077054074;15558,139365932877;Long;2;1.5;48;2
BTC/EUR;20;50;20;50;120;0,24166666666666667;-3,7250333924985797;0,41874054952912054;451,4847998625755;15552,995992900165;Long;0;1.5;0;2
BTC/EUR;50;0;50;0;78;0,15384615384615385;-5,790504588451069;0,36600244991516334;447,6755777349499;15548,340642100813;Long;0;1.5;0;0
BTC/EUR;20;-50;20;-50;89;0,2808988764044944;-5,114258967391191;0,3656934310539817;457,6833262560194;15544,830951902184;Long;2;1.5;48;4
BTC/EUR;50;50;50;50;70;0,2714285714285714;-6,511538410831787;0,2523627376058773;467,6563121294639;15544,192311241777;Long;2;None;48;3
BTC/EUR;30;50;30;50;99;0,1717171717171717;-4,6057072757846145;0,35485002645616615;492,6600769767301;15544,034979697315;Long;0;1.5;0;5
BTC/EUR;30;50;30;50;99;0,1919191919191919;-4,615446482624825;0,31919775191653377;491,6816119587147;15543,070798220144;Long;0;1.5;0;3
BTC/EUR;30;50;30;50;99;0,1717171717171717;-4,637351190950528;0,2957816627266013;483,10109844974795;15540,902232095897;Long;0;1.5;0;2
BTC/EUR;50;0;50;0;70;0,21428571428571427;-6,618955524633243;0,1977607295965127;473,84159398733755;15536,673113275678;Long;2;1.5;48;3
BTC/EUR;20;50;20;50;120;0,25;-3,8789286009795854;0,4342497578328406;481,0191214479564;15534,528567882457;Long;0;1.5;0;3
BTC/EUR;30;50;30;50;91;0,21978021978021978;-5,125139052131419;0,3044608577714652;490,3909842896064;15533,612346256039;Long;2;None;48;2
BTC/EUR;50;0;50;0;78;0,20512820512820512;-5,992512284390355;0,19889523320850894;477,93066544546855;15532,584041817547;Long;0;1.5;0;3
BTC/EUR;30;-50;30;-50;101;0,19801980198019803;-4,6574909361218975;0,3981435375656409;477,12189468435463;15529,593415451687;Long;0;1.5;0;5
BTC/EUR;20;0;20;0;92;0,2608695652173913;-5,128591455663573;0,36100387310432913;474,3446920792485;15528,169586078955;Long;2;1.5;48;4
BTC/EUR;50;0;50;0;78;0,20512820512820512;-6,103846440622666;0,1545731429772997;474,9612890719782;15523,89997763144;Long;0;1.5;0;2
BTC/EUR;30;0;30;0;100;0,2;-4,761018228248515;0,36426285700132527;512,7968794989047;15523,89817717514;Long;0;1.5;0;5
BTC/EUR;20;0;20;0;80;0,325;-5,959285514294574;0,3855419455184354;487,10982413889906;15523,257158856437;Long;2;None;48;5
BTC/EUR;30;0;30;0;100;0,25;-4,783530604117534;0,29364253527875805;513,1054705906135;15521,646939588245;Long;0;1.5;0;3
BTC/EUR;20;50;20;50;120;0,20833333333333334;-3,9886321158231843;0,43974414992796074;487,69171210758213;15521,364146101223;Long;0;1.5;0;4
