Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
LUNC/USDT;20;0;20;0;15;0,7333333333333333;107,91229272843853;9,651460841910938;100,30929288058906;17618,68439092658;Short;2;None;48;0
LUNC/USDT;30;50;30;50;15;0,6666666666666666;103,971507717023;12,494585307052432;73,8691544481062;17559,572615755344;Short;2;None;48;0
LUNC/USDT;20;-50;20;-50;16;0,6875;97,03695569331572;9,273059628386246;101,09088724596586;17552,591291093056;Short;2;None;48;0
LUNC/USDT;20;50;20;50;15;0,6666666666666666;102,17498598895095;7,695396264287704;117,60723834496275;17532,62478983426;Short;2;None;48;0
LUNC/USDT;30;-50;30;-50;15;0,6;97,50293181600996;6,241727165964409;134,39099141857332;17462,543977240144;Short;2;None;48;0
LUNC/USDT;30;0;30;0;15;0,5333333333333333;94,67518763342144;7,637384938929857;141,5735051909869;17420,127814501324;Short;2;None;48;0
LUNC/USDT;20;0;20;0;19;0,5263157894736842;72,97473170278744;3,9663341830581755;158,09444664256807;17386,51990235296;Short;2;1.5;48;0
LUNC/USDT;30;-50;30;-50;55;0,4909090909090909;24,772865150453804;2,689311421112478;206,22546871948362;17362,50758327496;Short;2;None;48;5
LUNC/USDT;20;-50;20;-50;20;0,5;67,16649304616071;3,8651606789018893;159,13610199064897;17343,32986092322;Short;2;1.5;48;0
LUNC/USDT;20;-50;20;-50;63;0,49206349206349204;21,30359974298936;2,446865449607213;267,5623998090214;17342,126783808337;Short;2;None;48;5
LUNC/USDT;50;50;50;50;15;0,6;85,24248078854544;5,144530147803039;164,96835613085932;17278,63721182818;Short;2;None;48;0
LUNC/USDT;30;-50;30;-50;56;0,48214285714285715;22,5936797512721;2,3661590423649126;182,87657677221796;17265,246066071235;Short;2;1.5;48;5
LUNC/USDT;30;-50;30;-50;61;0,5245901639344263;20,65010715718004;2,472567149171312;141,09066202900067;17259,65653658798;Short;2;1.5;48;4
LUNC/USDT;30;0;30;0;21;0,42857142857142855;57,87955566996739;3,2927172376430716;161,43905436512978;17215,470669069317;Short;2;1.5;48;0
LUNC/USDT;30;-50;30;-50;60;0,5166666666666667;20,20213414511334;2,5892353808911914;152,34415604492824;17212,128048706807;Short;2;None;48;4
LUNC/USDT;30;50;30;50;21;0,38095238095238093;57,6408610422522;3,0137256162574135;184,08590689073753;17210,4580818873;Short;2;1.5;48;0
LUNC/USDT;30;-50;30;-50;70;0,4;16,578108343393993;2,201834196794149;208,97650845653698;17160,467584037582;Short;0;None;0;5
LUNC/USDT;50;0;50;0;15;0,6;77,24992048043018;4,640728020806218;175,42757103244367;17158,748807206448;Short;2;None;48;0
LUNC/USDT;30;-50;30;-50;70;0,4;16,18430969680322;2,1408451524486156;208,54714338891426;17132,901678776223;Short;0;1.5;0;5
LUNC/USDT;50;-50;50;-50;16;0,5625;70,78547160176453;4,639017939623771;162,4633006390104;17132,56754562823;Short;2;None;48;0
LUNC/USDT;30;-50;30;-50;22;0,4090909090909091;51,190118445558134;2,9876042969408334;187,9699838398119;17126,18260580228;Short;2;1.5;48;0
LUNC/USDT;30;-50;30;-50;70;0,44285714285714284;15,884759989824767;2,225905488609921;180,69302507563407;17111,933199287738;Short;0;None;0;4
