Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
SUI/EUR;30;50;30;50;60;0,7;15,73168239498067;2,7175149138772396;116,69180574623897;16943,900943698827;Short;2;None;48;4
SUI/EUR;30;-50;30;-50;58;0,6896551724137931;16,266653861206965;2,990457725390941;107,21325821721621;16943,46592395001;Short;2;None;48;4
SUI/EUR;30;0;30;0;59;0,6779661016949152;15,044600248623077;2,7263078886326704;106,96848343428428;16887,631414668736;Short;2;None;48;4
SUI/EUR;20;0;20;0;67;0,5522388059701493;13,016498283207266;2,039038232894209;124,52589307729068;16872,10538497487;Short;2;1.5;48;5
SUI/EUR;50;50;50;50;47;0,723404255319149;18,243782266609458;3,710663548603978;94,04466040265834;16857,457766530642;Short;2;None;48;4
SUI/EUR;30;50;30;50;57;0,6140350877192983;14,930072308054134;2,3829867990596894;125,48450220646191;16851,01412155908;Short;2;None;48;5
SUI/EUR;30;50;30;50;62;0,6451612903225806;13,700272432218231;2,35689842385678;97,21768109347977;16849,416890797536;Short;2;1.5;48;4
SUI/EUR;50;50;50;50;45;0,6444444444444445;18,446314404306804;2,9548779304952886;95,07049098459902;16830,084148193808;Short;2;None;48;5
SUI/EUR;50;-50;50;-50;14;0,6428571428571429;57,27333447277193;3,9462921218543374;132,40151766187046;16801,82668261881;Short;2;None;48;0
SUI/EUR;30;-50;30;-50;60;0,6333333333333333;13,237279233310108;2,3161995143238063;73,93576912182107;16794,2367539986;Short;2;1.5;48;4
SUI/EUR;20;0;20;0;63;0,5555555555555556;12,428460095750886;1,9908160595879412;186,6127684095154;16782,992986032306;Short;2;None;48;5
SUI/EUR;30;-50;30;-50;55;0,6181818181818182;14,22462499227842;2,3460099576297258;138,7561840638191;16782,354374575323;Short;2;None;48;5
SUI/EUR;30;0;30;0;56;0,5892857142857143;13,852875227483498;2,226116813499955;146,05180411705805;16775,761012739076;Short;2;None;48;5
SUI/EUR;30;-50;30;-50;59;0,5932203389830508;12,870825708353479;2,1219837341325842;91,93545302375787;16759,378716792857;Short;2;1.5;48;5
SUI/EUR;50;-50;50;-50;60;0,5666666666666667;12,42986702524478;2,285729900962141;180,9404612589351;16745,79202151468;Short;0;1.5;0;4
SUI/EUR;20;50;20;50;15;0,7333333333333333;49,28590998521146;3,782308873670173;162,30169403054606;16739,288649778173;Short;2;None;48;0
SUI/EUR;30;0;30;0;61;0,6229508196721312;12,01548239677456;2,1287154810521765;96,54565885126067;16732,944426203245;Short;2;1.5;48;4
SUI/EUR;50;-50;50;-50;60;0,5666666666666667;12,21252571862787;2,2376525731529204;178,00349792677844;16732,751543117676;Short;0;None;0;4
SUI/EUR;50;-50;50;-50;17;0,5294117647058824;43,063873731785485;3,0579173152684036;208,15338568231164;16732,085853440352;Short;2;1.5;48;0
SUI/EUR;30;50;30;50;61;0,5737704918032787;11,94995530928865;2,0115350417457227;118,31690622079986;16728,9472738666;Short;2;1.5;48;5
SUI/EUR;50;0;50;0;47;0,6382978723404256;15,448906461879321;2,5148668002550547;92,50734685084899;16726,098603708317;Short;2;None;48;5
SUI/EUR;50;50;50;50;49;0,6530612244897959;14,592077668778092;2,514443493133589;93,76155267224021;16715,011805770122;Short;2;1.5;48;4
SUI/EUR;30;50;30;50;20;0,5;35,6529877787435;2,7591104724928646;210,8042914306825;16713,059755574875;Short;2;1.5;48;0
SUI/EUR;20;0;20;0;67;0,6119402985074627;10,536101543710146;1,8457444407348809;153,51979984003265;16705,91880342858;Short;2;None;48;4
SUI/EUR;50;-50;50;-50;49;0,6530612244897959;14,389319604334045;2,557962848890138;134,7988955386918;16705,076660612358;Short;2;None;48;4
SUI/EUR;50;50;50;50;48;0,6041666666666666;14,590395530429882;2,387531922935792;87,64316066410174;16700,338985460636;Short;2;1.5;48;5
SUI/EUR;20;0;20;0;68;0,5882352941176471;10,28414822169692;1,835229332865224;172,47097285029304;16699,3220790754;Short;2;1.5;48;4
SUI/EUR;30;50;30;50;65;0,5846153846153846;10,589101212522566;2,29231186407387;115,1016684287024;16688,291578813976;Short;2;None;48;3
SUI/EUR;20;50;20;50;69;0,5072463768115942;9,78446254395615;1,748241919920528;150,72955665209156;16675,12791553297;Short;2;1.5;48;5
SUI/EUR;50;-50;50;-50;48;0,625;14,045130635101005;2,248142777270956;134,6189424672193;16674,16627048485;Short;2;None;48;5
SUI/EUR;20;-50;20;-50;67;0,6268656716417911;9,99809128351338;1,9114166647179363;151,95634535435784;16669,872115995393;Short;2;None;48;4
SUI/EUR;50;50;50;50;60;0,5166666666666667;10,99684006787631;2,0779811934499377;268,3543845832428;16659,810404072585;Short;0;None;0;4
SUI/EUR;50;0;50;0;51;0,6470588235294118;12,930632695454142;2,5006239705766005;113,77623112243236;16659,462267468167;Short;2;None;48;4
