Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-11-17 08:00:00+01:00;0,0423;2025-11-17 14:00:00+01:00;0,04173614965964548;2000,0;4,0;ATR stop;-30,659590560497403;15969,340409439503;Long;2;0;6
2025-11-19 01:00:00+01:00;0,0387;2025-11-21 01:00:00+01:00;0,2342;1996,1675511799378;3,992335102359876;Trend flip;10080,0065345534;26049,346943992903;Long;2;0;48
2025-11-23 09:00:00+01:00;0,102;2025-11-25 21:00:00+01:00;0,1574;3256,168367999113;6,512336735998226;Trend flip;1762,0340121576382;27811,38095615054;Long;2;0;60
2025-11-26 09:00:00+01:00;0,1495;2025-11-27 15:00:00+01:00;0,136598824339139;3476,4226195188176;6,952845239037635;ATR stop;-306,95243644842077;27504,42851970212;Long;2;0;30
2025-11-30 17:00:00+01:00;0,1127;2025-12-02 23:00:00+01:00;0,1275;3438,053564962765;6,87610712992553;Trend flip;444,6162864942888;27949,04480619641;Long;2;0;54
2025-12-03 04:00:00+01:00;0,1255;2025-12-04 00:00:00+01:00;0,11912176305294844;3493,630600774551;6,987261201549102;ATR stop;-184,5426697848971;27764,502136411513;Long;2;0;20
2025-12-04 05:00:00+01:00;0,1221;2025-12-04 14:00:00+01:00;0,11849074130387359;3470,562767051439;6,941125534102878;ATR stop;-109,53046908392224;27654,97166732759;Long;2;0;9
2025-12-05 15:00:00+01:00;0,1133;2025-12-07 17:00:00+01:00;0,1125;3456,871458415949;6,913742916831898;Trend flip;-31,322367512884345;27623,649299814708;Long;2;0;50
2025-12-09 10:00:00+01:00;0,1047;2025-12-10 13:00:00+01:00;0,10273731359686214;3452,9561624768385;6,905912324953677;ATR stop;-71,63437565565454;27552,01492415905;Long;2;0;27
2025-12-12 21:00:00+01:00;0,0911;2025-12-15 06:00:00+01:00;0,0958;3444,0018655198814;6,888003731039763;Trend flip;170,79376101038096;27722,80868516943;Long;2;0;57
2025-12-16 06:00:00+01:00;0,098;2025-12-16 07:00:00+01:00;0,0947973009579374;3465,351085646179;6,930702171292358;ATR stop;-120,18046342037022;27602,628221749063;Long;2;0;1
2025-12-16 09:00:00+01:00;0,0947;2025-12-17 18:00:00+01:00;0,09091916154210028;3450,328527718633;6,900657055437266;ATR stop;-144,6528723668116;27457,97534938225;Long;2;0;33
2025-12-19 12:00:00+01:00;0,0861;2025-12-21 14:00:00+01:00;0,0845977055145129;3432,2469186727812;6,864493837345563;ATR stop;-66,75120253365448;27391,224146848595;Long;2;0;50
2025-12-22 07:00:00+01:00;0,0859;2025-12-22 19:00:00+01:00;0,08437115955968508;3423,9030183560744;6,847806036712149;ATR stop;-67,7861226627786;27323,438024185816;Long;2;0;12
2025-12-23 23:00:00+01:00;0,0812;2025-12-24 03:00:00+01:00;0,07993159905095391;3415,429753023227;6,830859506046454;ATR stop;-60,18226763578638;27263,25575655003;Long;2;0;4
2025-12-25 02:00:00+01:00;0,0798;2025-12-27 02:00:00+01:00;0,0824;3407,9069695687535;6,815813939137508;Trend flip;104,2187489791429;27367,47450552917;Long;2;0;48
