Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
ETH/EUR;20;-50;20;-50;56;0,5714285714285714;11,188164178282152;3,007103170804219;60,95018014828747;16626,53719398382;Long;2;None;48;5
ETH/EUR;20;0;20;0;58;0,5689655172413793;9,909712254432673;2,6025783204640267;60,84013293024873;16574,7633107571;Long;2;None;48;5
ETH/EUR;30;0;30;0;52;0,5384615384615384;10,017630512361563;2,6204928279064656;60,71447288806121;16520,91678664281;Long;2;None;48;5
ETH/EUR;30;50;30;50;49;0,5102040816326531;10,224726177036967;2,740026720501316;68,71641453054326;16501,01158267482;Long;2;None;48;5
ETH/EUR;30;-50;30;-50;52;0,5769230769230769;9,074695913682007;2,5054024714353686;60,678123471579966;16471,884187511463;Long;2;None;48;5
ETH/EUR;20;-50;20;-50;60;0,5333333333333333;7,63405590956951;1,9047353026106113;123,11762251704567;16458,043354574176;Long;2;1.5;48;5
ETH/EUR;20;0;20;0;62;0,532258064516129;6,66548521882643;1,758001935928215;124,34079308367836;16413,26008356724;Long;2;1.5;48;5
ETH/EUR;30;50;30;50;53;0,5094339622641509;6,689544932113039;2,162737470936827;83,59176402089906;16354,545881401986;Long;2;None;48;4
ETH/EUR;30;0;30;0;58;0,4827586206896552;6,077651611639693;1,6399798704056021;149,29199632127165;16352,503793475105;Long;2;1.5;48;5
ETH/EUR;30;50;30;50;54;0,46296296296296297;6,272034806885706;1,6720894673276698;117,69345320377397;16338,689879571832;Long;2;1.5;48;5
ETH/EUR;20;-50;20;-50;61;0,47540983606557374;5,48936395099;1,7702304600636551;109,57796263490127;16334,851201010393;Long;2;None;48;4
ETH/EUR;20;0;20;0;62;0,5;5,284713205309996;1,7307160932140784;108,33397666651399;16327,652218729225;Long;2;None;48;4
ETH/EUR;50;50;50;50;47;0,5319148936170213;6,510664449429592;1,9237098142905646;65,24880989933081;16306,001229123185;Long;2;None;48;5
ETH/EUR;30;-50;30;-50;56;0,5178571428571429;5,361437960308783;1,5895647838648126;123,14595866491254;16300,240525777284;Long;2;1.5;48;5
ETH/EUR;30;0;30;0;74;0,32432432432432434;4,016060569037839;1,520344312662868;107,60217289719913;16297,188482108797;Long;0;None;0;5
ETH/EUR;20;-50;20;-50;81;0,3333333333333333;3,6284516803814872;1,4732023853166931;109,99184301328751;16293,904586110899;Long;0;None;0;5
