Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
SOL/EUR;50;-50;50;-50;42;0,6190476190476191;19,10390917267797;3,9521235566251307;63,556702909576416;16802,364185252485;Short;2;None;48;5
SOL/EUR;50;0;50;0;44;0,5909090909090909;14,663414906717936;2,9184274584946377;62,7309796957652;16645,190255895577;Short;2;None;48;5
SOL/EUR;50;50;50;50;45;0,6;13,975158173921578;2,705128845932294;63,48531865716177;16628,882117826455;Short;2;None;48;5
SOL/EUR;50;-50;50;-50;55;0,45454545454545453;10,618208525083968;2,14980601442284;164,1442667048359;16584,001468879625;Short;0;None;0;5
SOL/EUR;20;50;20;50;53;0,5660377358490566;10,836959153623047;2,2280666154204685;71,42386206372976;16574,358835142026;Short;2;None;48;5
SOL/EUR;50;-50;50;-50;47;0,46808510638297873;11,052652220583967;2,52973704286888;90,95472373294615;16519,474654367437;Short;2;None;48;4
SOL/EUR;30;50;30;50;47;0,5957446808510638;10,972364274242041;2,3487307016915517;97,87506274923544;16515,70112088938;Short;2;None;48;5
SOL/EUR;50;-50;50;-50;13;0,6153846153846154;39,43297770571685;2,877098042907331;139,78232593394932;16512,628710174315;Short;2;None;48;0
SOL/EUR;20;0;20;0;13;0,7692307692307693;38,97211100793971;5,816206678737664;85,43013897956189;16506,637443103216;Short;2;None;48;0
SOL/EUR;30;50;30;50;13;0,7692307692307693;38,22148915949185;5,51215961821488;85,39058877620846;16496,87935907339;Short;2;None;48;0
SOL/EUR;30;-50;30;-50;50;0,54;9,866220139165135;2,083797991646203;80,66299485126729;16493,31100695825;Short;2;None;48;5
SOL/EUR;50;-50;50;-50;45;0,5777777777777777;10,823045385350055;1,9857221000310368;125,23116226284765;16487,037042340755;Short;2;1.5;48;5
SOL/EUR;20;0;20;0;53;0,5471698113207547;7,885625606191898;1,8174328780144944;80,10475142413816;16417,938157128174;Short;2;None;48;5
SOL/EUR;50;-50;50;-50;55;0,43636363636363634;7,5476637312373285;1,7382720347161182;162,62994854306453;16415,12150521805;Short;0;1.5;0;5
SOL/EUR;30;50;30;50;54;0,5;7,601431164078479;1,919787740857392;106,46176089985238;16410,477282860236;Short;2;None;48;4
SOL/EUR;20;50;20;50;58;0,46551724137931033;6,908369718577349;1,7396091345621545;171,0485546195323;16400,685443677492;Short;2;None;48;4
SOL/EUR;50;-50;50;-50;49;0,4897959183673469;8,094465369767917;2,0182044808197452;136,13877236654298;16396,62880311863;Short;2;None;48;3
SOL/EUR;50;0;50;0;13;0,6153846153846154;29,648830138986437;2,5458495623376374;138,59800141052074;16385,43479180682;Short;2;None;48;0
SOL/EUR;50;50;50;50;13;0,6153846153846154;29,46074497113763;2,3869397608304843;138,59800141052074;16382,98968462479;Short;2;None;48;0
SOL/EUR;20;-50;20;-50;54;0,5370370370370371;7,062067063047652;1,720393054878591;146,26890057103446;16381,351621404574;Short;2;None;48;5
