Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
BTC/EUR;20;-50;20;-50;53;0,4339622641509434;5,284188169832836;1,7732520472458824;165,73948519034275;16280,061973001137;Short;2;None;48;5
BTC/EUR;30;0;30;0;48;0,4583333333333333;5,577342509703906;1,7356034274262537;178,56534923182153;16267,712440465786;Short;2;None;48;5
BTC/EUR;50;50;50;50;47;0,48936170212765956;5,684300454458093;1,8579948088518718;149,34564374981346;16267,162121359532;Short;2;1.5;48;5
BTC/EUR;50;50;50;50;45;0,5111111111111111;5,410430000294829;1,7282812739211053;179,7232353195359;16243,469350013267;Short;2;None;48;5
BTC/EUR;20;-50;20;-50;55;0,4;4,218265930056214;1,6009330084317461;187,5294084084544;16232,004626153093;Short;2;1.5;48;5
BTC/EUR;50;50;50;50;57;0,2982456140350877;4,020990384389544;1,5279334316896833;146,8180882476554;16229,1964519102;Short;0;1.5;0;0
BTC/EUR;20;0;20;0;53;0,4528301886792453;4,29595946019913;1,6028714929428622;189,5354766052933;16227,685851390548;Short;2;None;48;5
BTC/EUR;30;0;30;0;51;0,4117647058823529;4,35566563678138;1,5757055190754907;164,04840240413796;16222,138947475858;Short;2;1.5;48;5
BTC/EUR;50;-50;50;-50;50;0,34;4,367537688196043;1,6315069871473773;145,96766406668212;16218,376884409803;Short;0;None;0;5
BTC/EUR;50;50;50;50;57;0,2982456140350877;3,7789926133043172;1,4808589195912691;146,8180882476554;16215,402578958343;Short;0;None;0;0
BTC/EUR;50;-50;50;-50;18;0,3888888888888889;11,900512809708566;1,703618341388615;211,21214349811635;16214,209230574752;Short;2;1.5;48;0
BTC/EUR;50;0;50;0;55;0,2909090909090909;3,8762336484787587;1,49329755754631;147,43407336213022;16213,192850666337;Short;0;1.5;0;0
BTC/EUR;50;-50;50;-50;13;0,6153846153846154;16,21615838387647;1,6601670535449138;218,42841543759096;16210,810058990399;Short;2;None;48;0
BTC/EUR;30;-50;30;-50;69;0,2753623188405797;2,919159461571476;1,3703007385464494;185,97224963469307;16201,422002848432;Short;0;1.5;0;0
BTC/EUR;30;50;30;50;51;0,45098039215686275;3,9347592556432063;1,568968779422559;187,7301967683161;16200,672722037805;Short;2;None;48;5
BTC/EUR;30;-50;30;-50;20;0,4;10,025004059419738;1,6367768884614924;150,09208684650002;16200,500081188395;Short;2;1.5;48;0
BTC/EUR;50;0;50;0;55;0,2909090909090909;3,6256832699022086;1,4471360882625104;147,43407336213022;16199,412579844624;Short;0;None;0;0
BTC/EUR;50;0;50;0;20;0,35;9,636374762069845;1,5494147923453634;189,92663653638192;16192,727495241399;Short;2;1.5;48;0
BTC/EUR;30;-50;30;-50;69;0,2753623188405797;2,7151992379718726;1,3357311986182576;186,27286309129886;16187,348747420052;Short;0;None;0;0
