Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
LINK/EUR;20;-50;20;-50;50;0,54;13,641574294000334;2,7004014005442607;62,001800039053705;16682,078714700023;Long;2;None;48;5
LINK/EUR;20;0;20;0;53;0,5094339622641509;11,440371585113095;2,241634040461282;111,33703865148163;16606,33969401099;Long;2;None;48;5
LINK/EUR;20;-50;20;-50;53;0,5094339622641509;11,266474276659196;2,2356447101419925;91,03352793635713;16597,123136662936;Long;2;1.5;48;5
LINK/EUR;30;50;30;50;47;0,48936170212765956;12,488544830559155;2,2388804282036157;104,52401786462542;16586,961607036283;Long;2;None;48;5
LINK/EUR;30;0;30;0;45;0,4888888888888889;11,48497562413683;2,098433097204447;104,57877574318809;16516,823903086166;Long;2;None;48;5
LINK/EUR;30;50;30;50;49;0,46938775510204084;10,083108834724019;1,8774802261901142;142,5095806152567;16494,07233290148;Long;2;1.5;48;5
LINK/EUR;20;0;20;0;56;0,5;8,501456208765353;1,7784430025668208;158,58995027720994;16476,081547690865;Long;2;1.5;48;5
LINK/EUR;20;-50;20;-50;54;0,48148148148148145;8,778027582113452;2,1270228820345722;91,15620094480255;16474,013489434128;Long;2;1.5;48;4
LINK/EUR;20;-50;20;-50;53;0,4716981132075472;8,812693335316926;2,128724693522006;118,25930308945135;16467,072746771795;Long;2;None;48;4
LINK/EUR;20;50;20;50;54;0,5;8,618738447025382;1,8158152831970513;108,89306630137617;16465,411876139377;Long;2;None;48;5
LINK/EUR;30;-50;30;-50;45;0,5333333333333333;10,340234367274556;2,0129577723713212;104,6657097460884;16465,31054652735;Long;2;None;48;5
LINK/EUR;30;0;30;0;47;0,46808510638297873;8,972514890666579;1,777408611678824;137,57770798521778;16421,708199861325;Long;2;1.5;48;5
LINK/EUR;20;50;20;50;55;0,4909090909090909;7,586598797422538;1,6930525478040628;127,50283718565697;16417,262933858245;Long;2;1.5;48;5
LINK/EUR;50;50;50;50;40;0,575;9,844393204108721;2,1366256674481274;118,00775032992897;16393,775728164346;Long;2;None;48;4
LINK/EUR;20;0;20;0;56;0,4642857142857143;6,967813998319029;1,7814011886761125;139,7848111597159;16390,197583905865;Long;2;None;48;4
