Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
LUNC/USDT;50;-50;50;-50;18;0,3888888888888889;141,57365856499447;4,399636429735933;449,807359854316;18548,325854169896;Long;2;1.5;48;0
LUNC/USDT;30;50;30;50;69;0,391304347826087;32,61150520956994;2,897126220082938;482,90013060250567;18250,19385946032;Long;0;1.5;0;0
LUNC/USDT;30;50;30;50;69;0,391304347826087;32,56019499713227;2,8897194205099512;482,0326552492079;18246,653454802126;Long;0;None;0;0
LUNC/USDT;50;-50;50;-50;13;0,6153846153846154;172,41669699300104;3,147190008170734;865,8134291852693;18241,417060909014;Long;2;None;48;0
LUNC/USDT;30;0;30;0;18;0,4444444444444444;118,45149022630562;3,104439790863227;435,6798783031445;18132,126824073504;Long;2;1.5;48;0
LUNC/USDT;30;50;30;50;18;0,4444444444444444;116,83690620181483;3,0445503330276074;433,7937845740198;18103,064311632665;Long;2;1.5;48;0
LUNC/USDT;20;-50;20;-50;19;0,42105263157894735;105,47596760553951;2,8369489347373618;558,4449390256268;18004,043384505258;Long;2;1.5;48;0
LUNC/USDT;20;0;20;0;19;0,42105263157894735;105,47596760553951;2,8369489347373618;558,4449390256268;18004,043384505258;Long;2;1.5;48;0
LUNC/USDT;30;0;30;0;69;0,391304347826087;27,432067979107718;2,6334642732672333;474,5802883051365;17892,812690558432;Long;0;None;0;0
LUNC/USDT;30;0;30;0;69;0,391304347826087;27,379903532797528;2,6243671885169424;475,43435223375855;17889,213343763033;Long;0;1.5;0;0
LUNC/USDT;50;50;50;50;13;0,6153846153846154;133,51216590577582;3,5154021423024715;387,70362966417815;17735,65815677509;Long;2;None;48;0
LUNC/USDT;50;-50;50;-50;56;0,30357142857142855;30,638437656565266;2,7269169468183003;587,9645858395197;17715,752508767655;Long;0;None;0;0
