Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
SOL/EUR;30;-50;30;-50;44;0,6136363636363636;16,092782641989764;2,801509571814087;79,54917879125242;16708,08243624754;Long;2;None;48;5
SOL/EUR;30;-50;30;-50;44;0,6136363636363636;15,541610989487907;2,6414278363587598;76,30157291447904;16683,830883537463;Long;2;1.5;48;5
SOL/EUR;50;0;50;0;39;0,5641025641025641;17,00774772944415;3,0590819743920603;58,3467266995649;16663,30216144832;Long;2;None;48;5
SOL/EUR;20;-50;20;-50;50;0,56;13,137957961572997;2,4018209419010725;115,39042538060676;16656,89789807865;Long;2;1.5;48;5
SOL/EUR;50;-50;50;-50;39;0,6153846153846154;16,706099428971537;3,285159733720473;73,70472519398754;16651,53787772989;Long;2;None;48;5
SOL/EUR;20;-50;20;-50;50;0,56;12,880373386664358;2,3385999222638625;145,6105158850678;16644,01866933321;Long;2;None;48;5
SOL/EUR;50;0;50;0;40;0,55;15,635781155771161;2,671611074486112;88,40442228893517;16625,431246230844;Long;2;1.5;48;5
SOL/EUR;30;0;30;0;44;0,5681818181818182;13,28795508512331;2,5069909188871566;106,47959005262419;16584,67002374542;Long;2;None;48;5
SOL/EUR;50;-50;50;-50;40;0,575;13,579741257229092;2,37743983485085;88,87953543067124;16543,189650289158;Long;2;1.5;48;5
SOL/EUR;30;0;30;0;45;0,5555555555555556;12,047300965471628;2,219735677421022;108,28341160735363;16542,128543446222;Long;2;1.5;48;5
SOL/EUR;50;0;50;0;15;0,5333333333333333;35,26136663877846;3,4153321798459624;121,8760510378961;16528,920499581676;Long;2;1.5;48;0
SOL/EUR;50;50;50;50;14;0,5;37,17478288294757;3,3467198641665528;124,55635689797055;16520,446960361267;Long;2;1.5;48;0
SOL/EUR;30;50;30;50;43;0,5581395348837209;11,74076227837562;2,3095195343663257;106,0268324166027;16504,852777970158;Long;2;None;48;5
SOL/EUR;20;0;20;0;46;0,5217391304347826;10,123318217632356;2,0543304991287648;105,53645125124967;16465,672638011092;Long;2;None;48;5
SOL/EUR;50;50;50;50;12;0,5833333333333334;38,08655140719531;3,1276318074828704;152,47438793319088;16457,038616886344;Long;2;None;48;0
SOL/EUR;30;-50;30;-50;48;0,5625;9,4796718086491;2,157617274315274;77,41798805892722;16455,02424681517;Long;2;1.5;48;4
SOL/EUR;30;50;30;50;44;0,5454545454545454;10,333167923170192;2,0118753162433434;107,7715260628629;16454,659388619493;Long;2;1.5;48;5
SOL/EUR;30;50;30;50;60;0,31666666666666665;7,531310478317161;1,8588427920087816;113,72097316226427;16451,87862869904;Long;0;None;0;0
SOL/EUR;30;0;30;0;61;0,32786885245901637;7,405162148455727;1,8878027468579028;86,8912423113652;16451,71489105579;Long;0;None;0;0
SOL/EUR;20;50;20;50;63;0,3492063492063492;7,141414781588849;1,9427594321072323;93,7997116895749;16449,90913124009;Long;0;None;0;0
SOL/EUR;20;50;20;50;63;0,3492063492063492;7,141414781588849;1,9427594321072323;93,7997116895749;16449,90913124009;Long;0;1.5;0;0
SOL/EUR;20;-50;20;-50;70;0,2857142857142857;6,405056669794883;1,7576301727004608;110,56366978108235;16448,353966885643;Long;0;None;0;0
SOL/EUR;20;-50;20;-50;18;0,4444444444444444;24,73078333255095;2,3423889739720782;101,49345319990607;16445,154099985917;Long;2;1.5;48;0
SOL/EUR;30;50;30;50;60;0,31666666666666665;7,331694932059295;1,8175113257203654;113,72097316226427;16439,901695923567;Long;0;1.5;0;0
SOL/EUR;30;0;30;0;61;0,32786885245901637;7,208820942311227;1,8444365518277541;93,15583597199293;16439,73807748098;Long;0;1.5;0;0
SOL/EUR;20;0;20;0;46;0,5217391304347826;9,428551612040035;1,9169016401750956;107,29032325652224;16433,71337415384;Long;2;1.5;48;5
SOL/EUR;50;-50;50;-50;41;0,5609756097560976;10,478091590458854;2,5074101117171064;51,222820940602105;16429,601755208812;Long;2;None;48;4
SOL/EUR;50;0;50;0;13;0,6153846153846154;32,59646473988466;2,6696623588143753;191,4879268436889;16423,7540416185;Long;2;None;48;0
SOL/EUR;20;-50;20;-50;70;0,32857142857142857;5,922239435293728;1,7141169217816625;110,20843066951238;16414,55676047056;Long;0;None;0;5
SOL/EUR;30;0;30;0;17;0,35294117647058826;24,089016289700588;2,2385302941662304;119,46847156847616;16409,513276924914;Long;2;1.5;48;0
SOL/EUR;30;-50;30;-50;48;0,5625;8,483857073042339;1,9271847341127355;114,53812590504822;16407,225139506034;Long;2;None;48;4
SOL/EUR;20;-50;20;-50;70;0,2857142857142857;5,793718903087251;1,6394059120513713;110,56366978108235;16405,56032321611;Long;0;1.5;0;0
SOL/EUR;20;50;20;50;47;0,5319148936170213;8,584254807171394;1,9850976355238588;130,99407493896797;16403,459975937054;Long;2;None;48;5
SOL/EUR;20;-50;20;-50;70;0,32857142857142857;5,75152854194377;1,6795861738331501;110,20843066951238;16402,60699793607;Long;0;1.5;0;5
SOL/EUR;50;50;50;50;36;0,5277777777777778;11,151237235506715;2,2094806085077505;79,59353367493713;16401,444540478245;Long;2;None;48;5
SOL/EUR;30;-50;30;-50;17;0,4117647058823529;23,312014390872232;2,3868759721856896;123,68591829831166;16396,304244644827;Long;2;1.5;48;0
SOL/EUR;50;0;50;0;55;0,36363636363636365;7,0033658576289515;1,8560243136360814;112,25194170991927;16385,185122169594;Long;0;None;0;5
SOL/EUR;50;0;50;0;55;0,36363636363636365;6,786486220464208;1,8081615438809064;124,17353640525835;16373,256742125533;Long;0;1.5;0;5
SOL/EUR;20;50;20;50;47;0,5319148936170213;7,906839671584255;1,843191686350886;145,75638169759804;16371,621464564465;Long;2;1.5;48;5
SOL/EUR;50;-50;50;-50;41;0,5609756097560976;8,89491955230057;2,044267956335422;66,37454707647339;16364,691701644324;Long;2;1.5;48;4
SOL/EUR;20;-50;20;-50;55;0,5272727272727272;6,599504201984598;1,735404346517838;107,90961933863946;16362,972731109156;Long;2;1.5;48;4
SOL/EUR;30;0;30;0;61;0,36065573770491804;5,950320885796577;1,726033058410585;84,68477150100261;16362,969574033592;Long;0;None;0;5
SOL/EUR;50;-50;50;-50;17;0,4117647058823529;21,22678176648731;2,0843802968135323;183,37578361600754;16360,855290030288;Long;2;1.5;48;0
SOL/EUR;30;-50;30;-50;62;0,3064516129032258;5,811172569537694;1,6456159508125396;127,62965725712274;16360,292699311336;Long;0;None;0;0
SOL/EUR;30;50;30;50;60;0,3333333333333333;5,993889414831163;1,6924850824653603;113,38297874157979;16359,633364889865;Long;0;None;0;5
SOL/EUR;50;50;50;50;37;0,5135135135135135;9,535931441232938;1,8945572245960605;76,34411700409692;16352,829463325623;Long;2;1.5;48;5
SOL/EUR;30;0;30;0;61;0,36065573770491804;5,755038801008069;1,6859122557231556;85,32560105625453;16351,057366861489;Long;0;1.5;0;5
SOL/EUR;30;50;30;50;60;0,3333333333333333;5,795393107849283;1,6545824618356404;113,38297874157979;16347,723586470951;Long;0;1.5;0;5
SOL/EUR;50;0;50;0;43;0,4883720930232558;8,063331410272674;1,9795561633194927;83,883479391925;16346,723250641722;Long;2;None;48;4
SOL/EUR;50;0;50;0;43;0,4883720930232558;8,015183985542299;1,9668669321751833;73,68289364803786;16344,652911378318;Long;2;1.5;48;4
SOL/EUR;30;-50;30;-50;62;0,3548387096774194;5,5493131916761556;1,6281655810030318;112,37198188754519;16344,057417883925;Long;0;None;0;5
SOL/EUR;30;-50;30;-50;62;0,3548387096774194;5,357402882603541;1,593586716753048;124,26287840201621;16332,158978721425;Long;0;1.5;0;5
SOL/EUR;20;0;20;0;65;0,2923076923076923;5,066187232447058;1,585725608716784;103,34321416788043;16329,302170109051;Long;0;None;0;0
