Symbol;ParamA;ParamB;Length;Phase;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
ZEC/USDC;50;50;50;50;13;0,5384615384615384;127,46311250674914;4,179788188740607;330,7646380895203;17657,02046258774;Short;2;1.5;48;0
ZEC/USDC;20;0;20;0;16;0,5;88,88754933469212;3,199369225447599;230,60138286934307;17422,20078935508;Short;2;1.5;48;0
ZEC/USDC;20;50;20;50;16;0,5;86,88897755181556;3,1813566946800966;223,9912886921884;17390,223640829052;Short;2;1.5;48;0
ZEC/USDC;50;0;50;0;17;0,4117647058823529;78,46366482193778;2,755456148163229;528,9204483537396;17333,88230197294;Short;2;1.5;48;0
ZEC/USDC;30;-50;30;-50;51;0,6078431372549019;25,733288955683815;2,78146950732769;335,6162821906255;17312,39773673988;Short;2;None;48;5
ZEC/USDC;30;50;30;50;16;0,4375;81,71551756233566;2,7543536596541687;358,70631791173946;17307,44828099737;Short;2;1.5;48;0
ZEC/USDC;30;0;30;0;16;0,4375;81,21617403756494;2,776841430958839;346,5320210385653;17299,458784601036;Short;2;1.5;48;0
ZEC/USDC;50;-50;50;-50;17;0,4117647058823529;75,64575576806413;2,641538440725583;456,2473006489963;17285,97784805709;Short;2;1.5;48;0
ZEC/USDC;30;-50;30;-50;15;0,4666666666666667;85,59226119644724;2,881825415543472;345,2800691280281;17283,883917946703;Short;2;1.5;48;0
ZEC/USDC;20;50;20;50;14;0,7142857142857143;91,00382010837599;2,2414982511326405;591,0279699066705;17274,05348151727;Short;2;None;48;0
ZEC/USDC;20;-50;20;-50;16;0,4375;78,4048655956632;2,678780603392732;361,48802290945605;17254,477849530605;Short;2;1.5;48;0
ZEC/USDC;20;-50;20;-50;62;0,5967741935483871;19,94840246841797;2,0508908974775912;275,31288053235403;17236,800953041897;Short;2;1.5;48;4
ZEC/USDC;30;-50;30;-50;52;0,5961538461538461;23,48208606876699;2,3291110082552375;341,6125348555979;17221,068475575892;Short;2;1.5;48;5
ZEC/USDC;20;-50;20;-50;61;0,5901639344262295;19,742738909941504;2,127660684094131;267,207109187435;17204,307073506436;Short;2;None;48;4
ZEC/USDC;30;0;30;0;54;0,6111111111111112;22,074119285749664;2,3575198509625164;335,70166944466837;17192,002441430468;Short;2;None;48;5
ZEC/USDC;20;0;20;0;14;0,7142857142857143;82,63272587927109;2,0125496833844987;673,8148475459056;17156,8581623098;Short;2;None;48;0
ZEC/USDC;30;50;30;50;58;0,5689655172413793;19,673646248388696;2,223047453768219;259,3127671742186;17141,071482406544;Short;2;None;48;4
ZEC/USDC;30;50;30;50;59;0,576271186440678;18,842651549250867;2,0088299060597388;283,4818542407229;17111,71644140581;Short;2;1.5;48;4
ZEC/USDC;30;-50;30;-50;54;0,5925925925925926;20,51392388202682;2,128429853498297;301,4012493323753;17107,75188962945;Short;2;1.5;48;4
ZEC/USDC;50;-50;50;-50;51;0,4117647058823529;21,611567899763642;2,0959352198782435;161,04354231018988;17102,189962887936;Short;0;None;0;0
ZEC/USDC;30;0;30;0;59;0,559322033898305;18,534977053957945;1,9009280522860446;302,9721967075311;17093,563646183513;Short;2;1.5;48;4
ZEC/USDC;20;0;20;0;66;0,5454545454545454;16,54704959890362;1,840481079259218;296,9544094794801;17092,105273527646;Short;2;1.5;48;4
ZEC/USDC;30;0;30;0;58;0,5517241379310345;18,649200784457406;1,99565596753009;295,1951065709218;17081,653645498543;Short;2;None;48;4
ZEC/USDC;50;-50;50;-50;51;0,4117647058823529;21,178886939003576;2,050359900224351;185,05346963895863;17080,123233889186;Short;0;1.5;0;0
ZEC/USDC;30;-50;30;-50;53;0,5849056603773585;20,23197196929014;2,222864602198673;276,7470582951355;17072,29451437238;Short;2;None;48;4
ZEC/USDC;20;0;20;0;65;0,5384615384615384;16,305910252557567;1,8905918692526713;288,8061982498257;17059,88416641624;Short;2;None;48;4
ZEC/USDC;50;0;50;0;54;0,35185185185185186;19,43873284358131;1,9883082909685699;193,59911282955727;17049,691573553395;Short;0;None;0;0
ZEC/USDC;50;0;50;0;54;0,35185185185185186;19,03134412093436;1,9474653648308944;193,65294417980112;17027,69258253047;Short;0;1.5;0;0
ZEC/USDC;50;0;50;0;40;0,65;25,471096685898477;2,404638203303749;325,71016042722476;17018,843867435935;Short;2;None;48;5
ZEC/USDC;20;0;20;0;59;0,6101694915254238;17,032854929771275;2,0872264122053275;317,95104694166366;17004,938440856495;Short;2;None;48;5
ZEC/USDC;20;50;20;50;57;0,5614035087719298;17,62546452754398;2,1046494698851297;232,86820569025076;17004,65147807001;Short;2;None;48;5
ZEC/USDC;20;-50;20;-50;56;0,6071428571428571;17,43885443217973;2,055532674973078;287,37935205598114;16976,575848202054;Short;2;None;48;5
ZEC/USDC;50;50;50;50;44;0,6590909090909091;21,99347801386122;2,086707954801135;440,06520879635355;16967,713032609896;Short;2;None;48;5
ZEC/USDC;30;0;30;0;56;0,5892857142857143;17,171912254474016;1,8242643626266624;339,054923136202;16961,627086250533;Short;2;1.5;48;5
ZEC/USDC;20;-50;20;-50;81;0,4691358024691358;11,742731601971679;1,699551301149139;282,23161781017916;16951,161259759705;Short;0;None;0;3
ZEC/USDC;50;-50;50;-50;40;0,625;23,77440827566333;2,5431437299617365;256,7132749935736;16950,976331026533;Short;2;None;48;5
ZEC/USDC;20;-50;20;-50;81;0,4444444444444444;11,636652999163072;1,68432327070906;265,10624243400525;16942,568892932235;Short;0;None;0;4
ZEC/USDC;20;-50;20;-50;81;0,4691358024691358;11,563952399725986;1,681688455519109;301,2471213570461;16936,6801443778;Short;0;1.5;0;3
ZEC/USDC;20;-50;20;-50;81;0,4444444444444444;11,457964418230173;1,66688572195172;284,068527938387;16928,095117876645;Short;0;1.5;0;4
ZEC/USDC;20;-50;20;-50;81;0,43209876543209874;11,288848680090222;1,649822129942053;259,6029589660466;16914,3967430873;Short;0;None;0;5
ZEC/USDC;20;-50;20;-50;81;0,43209876543209874;11,11045722301791;1,6331728021338843;278,4517660844904;16899,94703506444;Short;0;1.5;0;5
ZEC/USDC;30;50;30;50;53;0,6226415094339622;16,533561540632938;2,0493782837220325;317,9932594956008;16876,278761653542;Short;2;None;48;5
ZEC/USDC;50;0;50;0;43;0,6046511627906976;20,116274345653526;1,89304751554013;394,24244944641396;16864,999796863092;Short;2;1.5;48;5
ZEC/USDC;30;0;30;0;74;0,44594594594594594;11,65146782657502;1,653975516391339;293,3108723048208;16862,208619166555;Short;0;None;0;4
ZEC/USDC;50;-50;50;-50;42;0,5952380952380952;20,194941452557142;1,9221357456137196;320,13062295124837;16848,187541007395;Short;2;1.5;48;4
ZEC/USDC;30;0;30;0;74;0,44594594594594594;11,456803981787962;1,6361742235103969;312,17654539667274;16847,803494652308;Short;0;1.5;0;4
ZEC/USDC;50;50;50;50;12;0,5833333333333334;70,20355164010128;1,6631172137340675;864,4390172226304;16842,442619681216;Short;2;None;48;0
ZEC/USDC;50;0;50;0;54;0,4074074074074074;15,112928504292178;1,8895263427708064;164,2809022976071;16816,098139231784;Short;0;None;0;5
ZEC/USDC;50;-50;50;-50;51;0,5490196078431373;15,931833509829275;2,0772399792031515;156,5818744771077;16812,52350900128;Short;0;1.5;0;2
ZEC/USDC;50;0;50;0;54;0,5185185185185185;15,045185120572784;2,0351005859636815;164,86087778585716;16812,43999651093;Short;0;1.5;0;2
ZEC/USDC;30;-50;30;-50;67;0,43283582089552236;12,100329352296901;1,6191139720428627;301,0386962882221;16810,7220666039;Short;0;None;0;5
ZEC/USDC;50;-50;50;-50;51;0,5490196078431373;15,840195869476544;2,0650518397937665;160,99152630582284;16807,849989343304;Short;0;None;0;2
ZEC/USDC;50;0;50;0;54;0,5185185185185185;14,958638890141025;2,0236231341271558;164,81505001034384;16807,76650006761;Short;0;None;0;2
ZEC/USDC;50;-50;50;-50;41;0,6097560975609756;19,620861064410484;1,9430077213848809;318,51337277158564;16804,45530364083;Short;2;1.5;48;5
ZEC/USDC;20;-50;20;-50;68;0,5588235294117647;11,766903678904672;1,5614805346428862;474,88855693536607;16800,149450165514;Short;2;1.5;48;3
ZEC/USDC;20;-50;20;-50;58;0,5862068965517241;13,725156448083535;1,6815499078992742;292,05257945003177;16796,059073988847;Short;2;1.5;48;5
ZEC/USDC;50;-50;50;-50;45;0,6222222222222222;17,653751431216776;2,1216578692303965;230,70193471318998;16794,41881440476;Short;2;None;48;2
ZEC/USDC;50;0;50;0;54;0,4074074074074074;14,711121309640403;1,8455076650564421;164,32658155026365;16794,40055072058;Short;0;1.5;0;5
ZEC/USDC;50;0;50;0;49;0,5714285714285714;16,13459440315148;2,063641167403534;214,874040293922;16790,595125754426;Short;2;None;48;2
ZEC/USDC;30;0;30;0;74;0,4189189189189189;10,669148093649413;1,582817625813417;301,6187900623445;16789,51695893005;Short;0;None;0;5
ZEC/USDC;20;-50;20;-50;68;0,5588235294117647;11,509320713944657;1,5274126756798827;510,47794205512764;16782,633808548246;Short;2;None;48;3
ZEC/USDC;50;50;50;50;47;0,6170212765957447;16,634177572978505;1,6867902320580785;376,45507676645866;16781,80634592999;Short;2;1.5;48;5
ZEC/USDC;30;0;30;0;74;0,4189189189189189;10,475323429445705;1,566340332765267;320,32591401219906;16775,17393377898;Short;0;1.5;0;5
ZEC/USDC;30;-50;30;-50;67;0,43283582089552236;11,492922417690611;1,570507078820069;319,70984142478846;16770,02580198526;Short;0;1.5;0;5
ZEC/USDC;20;0;20;0;61;0,5901639344262295;12,611405014458676;1,630891387944478;321,44013537682986;16769,29570588199;Short;2;1.5;48;5
ZEC/USDC;50;-50;50;-50;51;0,49019607843137253;15,080627922372141;1,8884896073804218;161,203347034716;16769,112024040973;Short;0;None;0;4
