Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-07-14 22:00:00+02:00;103178,453125;2025-07-15 03:00:00+02:00;101695,921875;2000,0;4,0;Time exit (5 bars);-32,737225750107406;15967,262774249893;Long;2;5;5
2025-07-16 07:00:00+02:00;101444,96875;2025-07-16 12:00:00+02:00;102232,390625;1995,9078467812367;3,9918156935624736;Time exit (5 bars);11,500539604143643;15978,763313854037;Long;2;5;5
2025-07-16 18:00:00+02:00;102519,9765625;2025-07-16 23:00:00+02:00;102633,3671875;1997,3454142317546;3,994690828463509;Time exit (5 bars);-1,785558009138763;15976,977755844899;Long;2;5;5
2025-07-17 06:00:00+02:00;101958,7890625;2025-07-17 11:00:00+02:00;102554,7734375;1997,1222194806123;3,994244438961225;Time exit (5 bars);7,679625452197925;15984,657381297096;Long;2;5;5
2025-07-17 15:00:00+02:00;102201,7734375;2025-07-17 20:00:00+02:00;103259,046875;1998,082172662137;3,9961643453242743;Time exit (5 bars);16,673919314132444;16001,33130061123;Long;2;5;5
2025-07-17 22:00:00+02:00;102765,2109375;2025-07-18 03:00:00+02:00;103547,5;2000,1664125764037;4,000332825152808;Time exit (5 bars);11,225717834053363;16012,557018445283;Long;2;5;5
2025-07-20 20:00:00+02:00;101813,421875;2025-07-21 01:00:00+02:00;100855,5234375;2001,5696273056603;4,0031392546113205;Time exit (5 bars);-22,834648727866114;15989,722369717416;Long;2;5;5
2025-07-21 15:00:00+02:00;101913,734375;2025-07-21 20:00:00+02:00;100233,8984375;1998,715296214677;3,997430592429354;Time exit (5 bars);-36,94209505794804;15952,780274659468;Long;2;5;5
2025-07-22 16:00:00+02:00;101528,90625;2025-07-22 21:00:00+02:00;101506,359375;1994,0975343324335;3,9881950686648673;Time exit (5 bars);-4,431031197852476;15948,349243461615;Long;2;5;5
2025-07-22 22:00:00+02:00;101908,9296875;2025-07-23 03:00:00+02:00;101876,984375;1993,5436554327018;3,987087310865404;Time exit (5 bars);-4,612001881654007;15943,73724157996;Long;2;5;5
2025-07-24 16:00:00+02:00;101263,328125;2025-07-24 21:00:00+02:00;101262,8203125;1992,967155197495;3,98593431039499;Time exit (5 bars);-3,995928586232433;15939,741312993727;Long;2;5;5
2025-07-26 04:00:00+02:00;100066,2890625;2025-07-26 09:00:00+02:00;99914,2734375;1992,4676641242158;3,9849353282484317;Time exit (5 bars);-7,011791026524144;15932,729521967203;Long;2;5;5
2025-07-26 10:00:00+02:00;100118,8984375;2025-07-26 15:00:00+02:00;100608,546875;1991,5911902459004;3,983182380491801;Time exit (5 bars);5,757031801463404;15938,486553768667;Long;2;5;5
2025-07-26 21:00:00+02:00;100688,8984375;2025-07-27 02:00:00+02:00;100445,234375;1992,3108192210834;3,984621638442167;Time exit (5 bars);-8,805953041481057;15929,680600727186;Long;2;5;5
2025-07-27 03:00:00+02:00;100568,6640625;2025-07-27 08:00:00+02:00;100725,984375;1991,2100750908983;3,9824201501817966;Time exit (5 bars);-0,867555354207481;15928,81304537298;Long;2;5;5
2025-07-27 12:00:00+02:00;100661,2421875;2025-07-27 17:00:00+02:00;100948,6953125;1991,1016306716224;3,982203261343245;Time exit (5 bars);1,7036831184716394;15930,516728491451;Long;2;5;5
2025-07-27 23:00:00+02:00;101554,7890625;2025-07-28 04:00:00+02:00;101603,796875;1991,3145910614314;3,9826291821228628;Time exit (5 bars);-3,0216703439611994;15927,49505814749;Long;2;5;5
2025-07-28 07:00:00+02:00;101824,359375;2025-07-28 12:00:00+02:00;101867,6328125;1990,9368822684362;3,9818737645368723;Time exit (5 bars);-3,135763037495649;15924,359295109994;Long;2;5;5
2025-07-28 13:00:00+02:00;101990,625;2025-07-28 18:00:00+02:00;101733,3046875;1990,5449118887493;3,9810898237774985;Time exit (5 bars);-9,003194931697937;15915,356100178296;Long;2;5;5
2025-07-28 21:00:00+02:00;101806,0078125;2025-07-29 02:00:00+02:00;101820,4296875;1989,419512522287;3,978839025044574;Time exit (5 bars);-3,6970171547184245;15911,659083023578;Long;2;5;5
2025-07-29 04:00:00+02:00;101815,7109375;2025-07-29 09:00:00+02:00;102897,078125;1988,9573853779473;3,977914770755895;Time exit (5 bars);17,14646018159088;15928,80554320517;Long;2;5;5
2025-07-29 13:00:00+02:00;102755,1015625;2025-07-29 18:00:00+02:00;101981,2109375;1991,1006929006462;3,9822013858012926;Time exit (5 bars);-18,977993674805816;15909,827549530364;Long;2;5;5
2025-07-30 14:00:00+02:00;102706,296875;2025-07-30 19:00:00+02:00;102598,1171875;1988,7284436912955;3,977456887382591;Time exit (5 bars);-6,072168001567971;15903,755381528796;Long;2;5;5
2025-07-30 22:00:00+02:00;102702,3671875;2025-07-31 03:00:00+02:00;103260,34375;1987,9694226910995;3,975938845382199;Time exit (5 bars);6,82459453281335;15910,579976061608;Long;2;5;5
2025-07-31 08:00:00+02:00;103582,3359375;2025-07-31 13:00:00+02:00;103351,984375;1988,822497007701;3,977644994015402;Time exit (5 bars);-8,400487610707337;15902,179488450902;Long;2;5;5
2025-07-31 14:00:00+02:00;103792,3046875;2025-07-31 19:00:00+02:00;103135,1640625;1987,7724360563627;3,9755448721127253;Time exit (5 bars);-16,560736278361222;15885,61875217254;Long;2;5;5
2025-08-03 17:00:00+02:00;98314,6640625;2025-08-03 22:00:00+02:00;98704,9453125;1985,7023440215676;3,971404688043135;Time exit (5 bars);3,91126877010956;15889,53002094265;Long;2;5;5
2025-08-04 02:00:00+02:00;99406,8671875;2025-08-04 07:00:00+02:00;98875,1171875;1986,1912526178312;3,9723825052356623;Time exit (5 bars);-14,596972420009067;15874,93304852264;Long;2;5;5
2025-08-04 09:00:00+02:00;99197,1953125;2025-08-04 14:00:00+02:00;98860,6328125;1984,36663106533;3,96873326213066;Time exit (5 bars);-10,70141750954271;15864,231631013097;Long;2;5;5
