Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;SlowLength;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;12h;16155,009309756986;10;0,6;15,654422949024593
BTC/EUR;Short;kama;Kaufman AMA;30;30;;30;;1.5;1,5;2;5;5b;12h;16190,847181491476;28;0,42857142857142855;84,31461113520345
ETH/EUR;Long;kama;Kaufman AMA;10;50;;50;;1.5;1,5;2;0;trend;12h;16100,39739869262;5;0,4;87,44467009278742
ETH/EUR;Short;kama;Kaufman AMA;30;50;;50;;None;;0;5;5b;12h;16225,348663342398;30;0,4;160,92846834650845
XRP/EUR;Long;kama;Kaufman AMA;10;40;;40;;1.5;1,5;2;4;4b;12h;16010,250227140368;9;0,5555555555555556;59,870096426730015
XRP/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;0;trend;12h;16355,273318572563;12;0,6666666666666666;95,97628050582534
SOL/EUR;Long;kama;Kaufman AMA;10;30;;30;;None;;0;4;4b;12h;16046,333086602517;1;1,0;0,0
SOL/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;12h;16480,23442128597;36;0,5277777777777778;155,15517318649654
LINK/EUR;Long;kama;Kaufman AMA;20;50;;50;;1.5;1,5;2;4;4b;12h;16139,076181954018;6;0,3333333333333333;11,196460817538537
LINK/EUR;Short;kama;Kaufman AMA;20;50;;50;;None;;2;0;trend;12h;16275,433692927265;11;0,5454545454545454;177,6846974752243
SUI/EUR;Long;kama;Kaufman AMA;10;30;;30;;None;;0;5;5b;12h;16298,580097079486;27;0,4444444444444444;131,8856297634229
SUI/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;12h;16523,86948521739;18;0,6111111111111112;62,697798884342774
LUNC/USDT;Long;kama;Kaufman AMA;10;30;;30;;1.5;1,5;2;5;5b;12h;16393,858666730914;7;0,5714285714285714;179,0717257708202
LUNC/USDT;Short;kama;Kaufman AMA;20;40;;40;;None;;2;5;5b;12h;16480,124166138896;30;0,5333333333333333;259,5489011813843
TNSR/USDC;Long;kama;Kaufman AMA;30;40;;40;;None;;0;0;trend;12h;19381,059463540376;5;0,4;787,1787588457119
TNSR/USDC;Short;kama;Kaufman AMA;30;30;;30;;None;;2;0;trend;12h;17387,635459763955;13;0,6923076923076923;270,3074165348371
ZEC/USDC;Long;kama;Kaufman AMA;10;50;;50;;1.5;1,5;2;0;trend;12h;16582,83790979829;13;0,46153846153846156;288,6663434106613
ZEC/USDC;Short;kama;Kaufman AMA;30;40;;40;;None;;2;0;trend;12h;16902,101194620544;5;1,0;0,0
