Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
ETH/EUR;30;50;30;50;30;0,4;7,511622111413344;1,7489376486518662;160,92846834650845;16225,348663342398;Short;0;None;0;5
ETH/EUR;30;50;30;50;30;0,4;6,843712675101049;1,640395771553768;170,0650221662072;16205,311380253033;Short;0;1.5;0;5
ETH/EUR;30;40;30;40;33;0,3333333333333333;6,197781075024963;1,5951147628129478;156,8975763112412;16204,526775475826;Short;0;None;0;5
ETH/EUR;20;50;20;50;45;0,3111111111111111;4,261145961487869;1,3863542727265072;244,61414527271518;16191,751568266955;Short;0;None;0;5
ETH/EUR;30;40;30;40;33;0,3333333333333333;5,704334404909673;1,5232767733192354;162,36264872919855;16188,243035362022;Short;0;1.5;0;5
ETH/EUR;20;50;20;50;45;0,3111111111111111;4,1464938255268455;1,3721536912321153;249,02070808735698;16186,592222148713;Short;0;1.5;0;5
ETH/EUR;30;50;30;50;25;0,44;7,38565365969112;1,6009392318554403;147,85188773998016;16184,641341492283;Short;2;None;48;5
ETH/EUR;30;40;30;40;10;0,7;17,693087389766525;1,5437954185504383;158,5859404440107;16176,930873897667;Short;2;None;48;0
ETH/EUR;30;50;30;50;25;0,36;6,830815103068058;1,7103254289459637;76,52969581788784;16170,770377576697;Short;2;None;48;3
ETH/EUR;30;30;30;30;34;0,3235294117647059;4,828637082168581;1,483899386157373;161,1930302407909;16164,173660793731;Short;0;None;0;5
ETH/EUR;30;30;30;30;10;0,7;16,32727285233298;1,5930639055476004;130,63524232946838;16163,27272852333;Short;2;None;48;0
ETH/EUR;30;50;30;50;25;0,4;6,193843286745926;1,5899396129198335;122,38115509529052;16154,846082168651;Short;2;None;48;4
ETH/EUR;30;30;30;30;34;0,3235294117647059;4,495765178059619;1,436135372694513;161,77481930247995;16152,856016054027;Short;0;1.5;0;5
ETH/EUR;30;30;30;30;34;0,29411764705882354;4,357424562391519;1,4878171052119769;113,0812663853576;16148,152435121312;Short;0;None;0;3
ETH/EUR;30;40;30;40;28;0,35714285714285715;5,273528158084972;1,509536999383163;119,27839715056689;16147,658788426379;Short;2;None;48;3
ETH/EUR;30;50;30;50;30;0,3333333333333333;4,866064827095871;1,490095983491956;147,14387992007505;16145,981944812876;Short;0;None;0;4
ETH/EUR;20;40;20;40;48;0,2916666666666667;2,985404575161072;1,2634165684715883;260,1039684544867;16143,299419607734;Short;0;None;0;5
ETH/EUR;20;40;20;40;48;0,2916666666666667;2,963418718192306;1,261031061642273;268,41824136202376;16142,24409847323;Short;0;1.5;0;5
