Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
LINK/EUR;20;50;20;50;6;0,3333333333333333;23,179363659003176;5,306943396297346;11,196460817538537;16139,076181954018;Long;2;1.5;48;4
LINK/EUR;20;50;20;50;6;0,3333333333333333;23,179363659003176;5,306943396297346;11,196460817538537;16139,076181954018;Long;2;None;48;4
LINK/EUR;20;30;20;30;6;0,3333333333333333;20,991093214188705;3,774246384384413;23,739980140706393;16125,946559285132;Long;2;None;48;4
LINK/EUR;20;40;20;40;6;0,3333333333333333;20,991093214188705;3,774246384384413;23,739980140706393;16125,946559285132;Long;2;None;48;4
LINK/EUR;20;30;20;30;6;0,3333333333333333;19,901811542646566;3,2997654258674953;30,26456845159919;16119,410869255878;Long;2;1.5;48;4
LINK/EUR;20;40;20;40;6;0,3333333333333333;19,901811542646566;3,2997654258674953;30,26456845159919;16119,410869255878;Long;2;1.5;48;4
LINK/EUR;20;50;20;50;6;0,3333333333333333;19,826627453518793;4,358666470782565;13,63220339968575;16118,959764721112;Long;2;None;48;5
LINK/EUR;20;50;20;50;6;0,3333333333333333;19,826627453518793;4,358666470782565;13,63220339968575;16118,959764721112;Long;2;1.5;48;5
LINK/EUR;20;40;20;40;6;0,3333333333333333;16,003520856910928;2,6453979088135333;32,64764075875064;16096,021125141466;Long;2;1.5;48;5
LINK/EUR;20;30;20;30;6;0,3333333333333333;16,003520856910928;2,6453979088135333;32,64764075875064;16096,021125141466;Long;2;1.5;48;5
LINK/EUR;20;50;20;50;6;0,6666666666666666;15,547706784063484;3,4132762998659776;10,422799879812374;16093,286240704381;Long;2;1.5;48;3
LINK/EUR;20;50;20;50;6;0,6666666666666666;15,547706784063484;3,4132762998659776;10,422799879812374;16093,286240704381;Long;2;None;48;3
LINK/EUR;20;40;20;40;6;0,3333333333333333;15,174554392029307;2,4376380757584837;37,621439548040144;16091,047326352176;Long;2;None;48;5
LINK/EUR;20;30;20;30;6;0,3333333333333333;15,174554392029307;2,4376380757584837;37,621439548040144;16091,047326352176;Long;2;None;48;5
LINK/EUR;20;40;20;40;6;0,5;11,169257579939876;2,1354494469135066;20,365728603394018;16067,015545479639;Long;2;None;48;3
LINK/EUR;20;30;20;30;6;0,5;11,169257579939876;2,1354494469135066;20,365728603394018;16067,015545479639;Long;2;None;48;3
LINK/EUR;20;30;20;30;6;0,5;9,537878556992727;1,8319392341853447;30,132368870494247;16057,227271341955;Long;2;1.5;48;3
LINK/EUR;20;40;20;40;6;0,5;9,537878556992727;1,8319392341853447;30,132368870494247;16057,227271341955;Long;2;1.5;48;3
LINK/EUR;30;40;30;40;4;0,5;12,362385796132633;2,5466987377312145;21,529800632821207;16049,449543184532;Long;0;None;0;3
LINK/EUR;30;40;30;40;4;0,5;12,362385796132633;2,5466987377312145;21,529800632821207;16049,449543184532;Long;0;1.5;0;3
LINK/EUR;30;50;30;50;4;0,5;12,362385796132633;2,5466987377312145;21,529800632821207;16049,449543184532;Long;0;1.5;0;3
LINK/EUR;30;30;30;30;4;0,5;12,362385796132633;2,5466987377312145;21,529800632821207;16049,449543184532;Long;0;1.5;0;3
LINK/EUR;30;50;30;50;4;0,5;12,362385796132633;2,5466987377312145;21,529800632821207;16049,449543184532;Long;0;None;0;3
LINK/EUR;30;30;30;30;4;0,5;12,362385796132633;2,5466987377312145;21,529800632821207;16049,449543184532;Long;0;None;0;3
