Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
SUI/EUR;10;30;10;30;27;0,4444444444444444;11,058522114055071;1,9564445264000223;131,8856297634229;16298,580097079486;Long;0;None;0;5
SUI/EUR;10;50;10;50;26;0,4230769230769231;10,748297309049937;1,899428727722189;129,03936822136166;16279,4557300353;Long;0;None;0;5
SUI/EUR;10;40;10;40;28;0,42857142857142855;9,886155205935456;1,8301407677658885;152,03740584611842;16276,81234576619;Long;0;None;0;5
SUI/EUR;10;50;10;50;26;0,4230769230769231;10,28546194230489;1,8291734009529272;140,53392663300474;16267,42201049993;Long;0;1.5;0;5
SUI/EUR;30;30;30;30;19;0,5263157894736842;13,34043589266435;2,0114950957240043;84,96253573419199;16253,468281960622;Long;2;1.5;48;5
SUI/EUR;30;30;30;30;23;0,391304347826087;10,917090522309497;2,1049168995932126;89,10397602218109;16251,093082013118;Long;0;None;0;5
SUI/EUR;30;30;30;30;23;0,391304347826087;10,917090522309497;2,1049168995932126;89,10397602218109;16251,093082013118;Long;0;1.5;0;5
SUI/EUR;30;50;30;50;19;0,5263157894736842;13,203375040680704;2,468186340850298;160,01112023643145;16250,864125772934;Long;2;1.5;48;3
SUI/EUR;10;50;10;50;26;0,38461538461538464;9,426685802987711;1,7833349088807968;162,94742898739787;16245,09383087768;Long;0;None;0;4
SUI/EUR;10;30;10;30;27;0,37037037037037035;9,040152361364566;1,7776881031861453;165,7890501410402;16244,084113756842;Long;0;None;0;4
SUI/EUR;10;30;10;30;27;0,4074074074074074;8,852301113289775;1,681232558388809;143,37815320079972;16239,012130058818;Long;0;1.5;0;5
SUI/EUR;30;50;30;50;19;0,47368421052631576;12,513911924225882;2,0909956149327416;138,46931763105385;16237,76432656029;Long;2;1.5;48;5
SUI/EUR;30;30;30;30;20;0,55;11,864287562158141;2,339206375766527;77,44650580043708;16237,285751243162;Long;2;None;48;2
SUI/EUR;10;50;10;50;26;0,38461538461538464;8,964827367072685;1,7178725036628022;174,42324730262771;16233,085511543894;Long;0;1.5;0;4
SUI/EUR;30;30;30;30;20;0,55;11,619953849569935;2,2774681081989328;70,67936294535502;16232,399076991396;Long;2;1.5;48;2
SUI/EUR;30;50;30;50;21;0,47619047619047616;10,602845866770215;2,52181068985042;103,25062212879493;16222,659763202175;Long;2;None;48;2
SUI/EUR;30;30;30;30;20;0,5;11,011332366283433;1,9334724588606427;112,36466723680132;16220,226647325671;Long;2;1.5;48;3
SUI/EUR;10;40;10;40;28;0,39285714285714285;7,761569121838787;1,5840847797424986;163,51552149096824;16217,323935411483;Long;0;1.5;0;5
SUI/EUR;10;40;10;40;28;0,35714285714285715;7,7043078982810105;1,6311125994876183;185,90797187534372;16215,720621151873;Long;0;None;0;4
SUI/EUR;30;50;30;50;19;0,5263157894736842;11,312492205702942;2,041794126188959;195,4830521617405;16214,937351908357;Long;2;None;48;3
SUI/EUR;30;40;30;40;20;0,5;10,689644220093866;1,849594202293194;173,978021627805;16213,792884401877;Long;2;1.5;48;3
SUI/EUR;10;30;10;30;27;0,37037037037037035;7,829614958354382;1,6103834949552391;177,26283679971493;16211,399603875567;Long;0;1.5;0;4
SUI/EUR;30;50;30;50;21;0,47619047619047616;10,05053081065872;2,3376784785481575;114,7237938914368;16211,061147023833;Long;2;1.5;48;2
SUI/EUR;20;40;20;40;19;0,5263157894736842;10,957033822621902;1,8530491858217994;76,94859920401359;16208,183642629814;Long;2;1.5;48;5
SUI/EUR;30;30;30;30;23;0,43478260869565216;8,915577470813657;2,1189507476775113;55,55322401114245;16205,058281828711;Long;0;None;0;2
SUI/EUR;30;30;30;30;23;0,43478260869565216;8,915577470813657;2,1189507476775113;55,55322401114245;16205,058281828711;Long;0;1.5;0;2
SUI/EUR;20;40;20;40;23;0,5217391304347826;8,74004680538473;1,7971041809216022;130,39948035847192;16201,021076523848;Long;2;1.5;48;3
SUI/EUR;20;30;20;30;18;0,5555555555555556;10,996360334025859;1,8619402421228552;85,99891031136576;16197,93448601247;Long;2;None;48;5
SUI/EUR;20;50;20;50;22;0,5;8,994597702887123;1,9730330881384917;97,72739344712863;16197,881149463516;Long;2;1.5;48;2
SUI/EUR;30;40;30;40;20;0,5;9,834702132545626;2,138504256162516;73,88618550829051;16196,694042650912;Long;2;None;48;2
SUI/EUR;30;30;30;30;19;0,5263157894736842;10,229068613170382;1,8410924641515747;125,08889263423771;16194,352303650241;Long;2;1.5;48;4
SUI/EUR;20;30;20;30;24;0,5;8,023770379167338;1,7989725524542262;124,41846055181304;16192,570489100017;Long;0;None;0;3
SUI/EUR;20;50;20;50;22;0,5;8,742660251801588;1,920718680984953;103,26125492082974;16192,338525539637;Long;2;None;48;2
SUI/EUR;30;40;30;40;20;0,5;9,590979231580288;2,080533671863894;85,3930607336315;16191,819584631603;Long;2;1.5;48;2
SUI/EUR;20;30;20;30;24;0,5;7,987209349505451;1,7924562297232072;125,29433457235245;16191,69302438813;Long;0;1.5;0;3
SUI/EUR;10;50;10;50;19;0,47368421052631576;10,073730970762405;1,6636677152766488;120,49588630250582;16191,400888444485;Long;2;1.5;48;4
SUI/EUR;10;30;10;30;24;0,4166666666666667;7,892395899739121;1,6148911465164302;167,59385166058019;16189,417501593738;Long;2;None;48;3
SUI/EUR;20;30;20;30;19;0,5263157894736842;9,947227769253763;1,7185568834909206;76,94859920401359;16188,997327615823;Long;2;1.5;48;5
SUI/EUR;20;30;20;30;22;0,5;8,534100523683996;1,7322793890103239;130,29266524526975;16187,750211521046;Long;2;1.5;48;3
SUI/EUR;30;30;30;30;20;0,5;9,34354214700216;1,6941213192928435;110,02362098960293;16186,870842940041;Long;2;None;48;3
SUI/EUR;30;40;30;40;20;0,45;9,34212688915044;1,6503575428944643;138,62458002543826;16186,842537783014;Long;2;1.5;48;5
SUI/EUR;10;30;10;30;24;0,4166666666666667;7,778189297698905;1,6007107123523905;169,92338546871906;16186,676543144773;Long;2;1.5;48;3
SUI/EUR;30;30;30;30;18;0,5555555555555556;10,34532517924382;1,7078643687433208;131,42825944171273;16186,21585322639;Long;2;None;48;5
SUI/EUR;20;40;20;40;20;0,5;9,297859087131176;1,7466883102019501;120,16931133983962;16185,957181742624;Long;2;1.5;48;4
SUI/EUR;10;50;10;50;19;0,5789473684210527;9,76011183273815;1,6183712157050296;118,0150624204125;16185,442124822026;Long;2;1.5;48;5
SUI/EUR;30;30;30;30;23;0,43478260869565216;7,981878588099836;1,7842647051013167;95,37678393649185;16183,5832075263;Long;0;1.5;0;3
SUI/EUR;30;30;30;30;23;0,43478260869565216;7,981878588099836;1,7842647051013167;95,37678393649185;16183,5832075263;Long;0;None;0;3
SUI/EUR;10;40;10;40;28;0,35714285714285715;6,539042181582377;1,4892483433705332;197,36737423116574;16183,09318108431;Long;0;1.5;0;4
SUI/EUR;10;30;10;30;20;0,6;9,142794856332085;1,6815297195093133;97,82633962142427;16182,855897126643;Long;2;None;48;5
SUI/EUR;20;30;20;30;20;0,5;8,645754085859982;1,6600703139751443;120,07248294959572;16172,915081717194;Long;2;1.5;48;4
SUI/EUR;20;30;20;30;6;0,5;28,75997715301477;1,573846340605443;271,37575753866076;16172,559862918091;Long;2;None;48;0
SUI/EUR;20;40;20;40;6;0,5;28,75997715301477;1,573846340605443;271,37575753866076;16172,559862918091;Long;2;None;48;0
SUI/EUR;10;30;10;30;21;0,42857142857142855;8,148334487261565;1,5546520728505184;120,61001421265973;16171,115024232491;Long;2;1.5;48;4
SUI/EUR;10;30;10;30;21;0,5238095238095238;8,047956824449619;1,5345198738565542;115,13808426025571;16169,007093313441;Long;2;1.5;48;5
SUI/EUR;10;30;10;30;27;0,4074074074074074;6,182581038596056;1,528568938073498;150,30440008706682;16166,929688042095;Long;0;None;0;3
SUI/EUR;10;50;10;50;22;0,4090909090909091;7,467547221435823;1,5080306714323726;167,73636219375658;16164,286038871585;Long;2;None;48;3
SUI/EUR;20;50;20;50;23;0,4782608695652174;7,087064165748385;1,8881132974625607;77,16830776980169;16163,002475812213;Long;0;None;0;2
SUI/EUR;20;50;20;50;23;0,4782608695652174;7,0489831900634945;1,8791650451890265;78,04206754929692;16162,126613371462;Long;0;1.5;0;2
