Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
TNSR/USDC;30;30;30;30;13;0,6923076923076923;106,74118921261217;3,9624999734807846;270,3074165348371;17387,635459763955;Short;2;None;48;0
TNSR/USDC;30;40;30;40;12;0,5833333333333334;104,53658422245161;3,3995379509341452;269,5675391708428;17254,439010669423;Short;2;None;48;0
TNSR/USDC;30;50;30;50;12;0,5833333333333334;103,96562308280382;3,5343877819275757;253,44861118385234;17247,587476993645;Short;2;None;48;0
TNSR/USDC;20;40;20;40;14;0,6428571428571429;86,40550471424034;2,695593110927001;296,4076470353284;17209,67706599937;Short;2;None;48;0
TNSR/USDC;20;50;20;50;14;0,6428571428571429;86,26258178851448;2,692863564946858;296,4076470353284;17207,676145039208;Short;2;None;48;0
TNSR/USDC;30;40;30;40;17;0,47058823529411764;67,01591607873112;2,4171378322532058;264,47651144167685;17139,27057333843;Short;2;1.5;48;0
TNSR/USDC;20;40;20;40;20;0,45;51,13581441523533;1,9189389199220284;312,5721437195389;17022,716288304702;Short;2;1.5;48;0
TNSR/USDC;20;50;20;50;20;0,45;50,531208617606566;1,9085187834976716;312,5721437195389;17010,624172352123;Short;2;1.5;48;0
TNSR/USDC;10;30;10;30;51;0,6078431372549019;19,18886426108237;2,118998325305244;470,0006417929799;16978,632077315193;Short;2;None;48;5
TNSR/USDC;30;50;30;50;18;0,4444444444444444;53,80738636662299;2,056651717071305;266,73422145555014;16968,53295459921;Short;2;1.5;48;0
TNSR/USDC;30;30;30;30;37;0,2702702702702703;25,118780452918003;1,6247675337913592;632,297509049291;16929,39487675796;Short;0;None;0;0
TNSR/USDC;10;30;10;30;23;0,43478260869565216;40,284669036213074;1,6643721060116135;374,7654432705094;16926,547387832903;Short;2;1.5;48;0
TNSR/USDC;30;40;30;40;37;0,24324324324324326;24,293612525238657;1,6600182483507815;571,2035558151474;16898,863663433833;Short;0;1.5;0;0
TNSR/USDC;10;40;10;40;24;0,4166666666666667;36,32309931369289;1,603851394069741;374,7654432705094;16871,754383528634;Short;2;1.5;48;0
TNSR/USDC;30;30;30;30;18;0,4444444444444444;48,270836861770654;2,058220549924264;276,69125801076734;16868,875063511867;Short;2;1.5;48;0
TNSR/USDC;10;50;10;50;48;0,5833333333333334;16,973631259610077;1,9194914136208898;464,92287589868283;16814,73430046127;Short;2;None;48;5
TNSR/USDC;30;30;30;30;37;0,24324324324324326;21,711587844064955;1,629045338676133;660,7391036113768;16803,3287502304;Short;0;1.5;0;0
TNSR/USDC;20;40;20;40;38;0,2631578947368421;20,964840974957866;1,4817613937701952;556,850632319005;16796,663957048397;Short;0;1.5;0;0
TNSR/USDC;30;50;30;50;38;0,23684210526315788;20,48967562980643;1,539562100283399;535,7968829445999;16778,607673932645;Short;0;1.5;0;0
TNSR/USDC;10;40;10;40;50;0,56;15,25786591759873;1,8464669594823901;464,92287589868283;16762,89329587992;Short;2;None;48;5
TNSR/USDC;20;30;20;30;21;0,42857142857142855;35,79922503904096;1,547764191340325;363,5166435146057;16751,783725819867;Short;2;1.5;48;0
TNSR/USDC;30;50;30;50;30;0,6;24,919890005198948;2,4194738249427057;364,0180685594969;16747,596700155966;Short;2;1.5;48;5
TNSR/USDC;10;30;10;30;66;0,45454545454545453;11,24996963328691;1,6069100652752506;459,71694266713894;16742,497995796904;Short;0;None;0;5
TNSR/USDC;20;50;20;50;39;0,2564102564102564;18,84941861054218;1,4303967213542668;580,3039456992847;16735,127325811154;Short;0;1.5;0;0
TNSR/USDC;30;40;30;40;37;0,24324324324324326;19,655071471553708;1,4731702012506094;809,3124203676452;16727,237644447487;Short;0;None;0;0
TNSR/USDC;10;30;10;30;66;0,2878787878787879;10,578900874069818;1,3889356867488707;657,949285665909;16698,20745768859;Short;0;None;0;0
TNSR/USDC;10;30;10;30;52;0,5769230769230769;13,355087668659916;1,646296875851765;514,3917379129089;16694,464558770316;Short;2;1.5;48;5
TNSR/USDC;30;40;30;40;28;0,6428571428571429;24,74550201834237;2,3533623947617306;374,03466764515906;16692,87405651358;Short;2;1.5;48;5
TNSR/USDC;10;30;10;30;66;0,4393939393939394;10,493964868410833;1,5805586837869359;432,89451524086326;16692,601681315136;Short;0;1.5;0;5
TNSR/USDC;10;40;10;40;66;0,2727272727272727;10,373549310270644;1,3724934957294428;697,20279802613;16684,65425447786;Short;0;None;0;0
TNSR/USDC;10;30;10;30;66;0,2727272727272727;9,84889607149761;1,3799439172031678;605,492478701768;16650,027140718845;Short;0;1.5;0;0
TNSR/USDC;30;40;30;40;37;0,4594594594594595;16,917816428803793;1,889466090515563;287,6191460685259;16625,959207865733;Short;0;None;0;5
TNSR/USDC;10;40;10;40;66;0,25757575757575757;9,347485023286524;1,3477876128621087;622,7548886788336;16616,934011536905;Short;0;1.5;0;0
TNSR/USDC;30;50;30;50;38;0,23684210526315788;16,12748600244835;1,3801457644045498;782,9021157433308;16612,844468093033;Short;0;None;0;0
TNSR/USDC;30;40;30;40;37;0,4594594594594595;16,5153650218033;1,8506193765629881;302,37840595848684;16611,06850580672;Short;0;1.5;0;5
TNSR/USDC;30;50;30;50;28;0,5714285714285714;20,823488632332932;3,2976806610450775;111,46473589821107;16583,05768170533;Short;2;None;48;4
TNSR/USDC;10;30;10;30;54;0,6296296296296297;10,53272754240568;1,7804835455771488;287,69104746862286;16568,767287289913;Short;2;None;48;4
TNSR/USDC;20;50;20;50;30;0,6333333333333333;18,798060819617003;1,8536739717481985;293,65735197374124;16563,941824588495;Short;2;None;48;5
TNSR/USDC;30;50;30;50;28;0,6071428571428571;20,097089073357886;1,8184125322632099;546,9113050196611;16562,71849405402;Short;2;None;48;5
TNSR/USDC;20;40;20;40;38;0,2631578947368421;14,626297937995577;1,293669928200696;722,5441462410417;16555,79932164384;Short;0;None;0;0
TNSR/USDC;20;40;20;40;30;0,6333333333333333;18,14973872843604;1,8316887069317602;293,65735197374124;16544,492161853083;Short;2;None;48;5
TNSR/USDC;10;30;10;30;66;0,4696969696969697;8,126191939107656;1,5691038640672859;257,44994518975;16536,328667981114;Short;0;None;0;4
TNSR/USDC;10;30;10;30;66;0,45454545454545453;7,990602976394176;1,5754545758326344;198,2191861633255;16527,379796442016;Short;0;1.5;0;4
TNSR/USDC;30;40;30;40;28;0,6428571428571429;18,535936908739927;1,709374310481513;546,1721683531905;16519,00623344471;Short;2;None;48;5
TNSR/USDC;10;40;10;40;66;0,3939393939393939;7,839034360683816;1,3817862629883457;455,4917888447508;16517,37626780513;Short;0;None;0;5
TNSR/USDC;30;50;30;50;38;0,4473684210526316;13,547115970545315;1,6440357594377129;362,63595939560764;16514,790406880722;Short;0;None;0;5
TNSR/USDC;10;50;10;50;64;0,40625;7,778627315330813;1,3631572305551158;445,191769542218;16497,832148181173;Short;0;None;0;5
TNSR/USDC;10;50;10;50;49;0,5510204081632653;10,132803989721642;1,443297593002649;570,2072058342728;16496,507395496355;Short;2;1.5;48;5
TNSR/USDC;10;50;10;50;64;0,25;7,178473624354869;1,2322142656391728;977,255676533865;16459,422311958715;Short;0;None;0;0
TNSR/USDC;10;30;10;30;54;0,6111111111111112;8,499586253083095;1,5723922503522008;328,3329436585591;16458,97765766649;Short;2;1.5;48;4
TNSR/USDC;10;40;10;40;51;0,5294117647058824;8,73818640727662;1,3926613019862044;578,7758080620042;16445,6475067711;Short;2;1.5;48;5
TNSR/USDC;20;50;20;50;39;0,2564102564102564;11,366834185182404;1,2223259905571415;834,9312372795284;16443,306533222116;Short;0;None;0;0
TNSR/USDC;10;50;10;50;64;0,234375;6,914702777484748;1,2370227303816947;852,4148690972943;16442,540977759014;Short;0;1.5;0;0
TNSR/USDC;10;30;10;30;66;0,4696969696969697;6,691172188524817;1,4959843459689397;186,3152170480862;16441,617364442638;Short;0;1.5;0;3
TNSR/USDC;20;30;20;30;42;0,23809523809523808;10,338444661683765;1,2071955592967873;1041,3739448349152;16434,214675790718;Short;0;1.5;0;0
TNSR/USDC;30;30;30;30;37;0,43243243243243246;11,704092832771526;1,590630853115091;336,322948074383;16433,051434812547;Short;0;1.5;0;5
TNSR/USDC;10;40;10;40;66;0,3787878787878788;6,468305771027527;1,312740959998422;435,5976078241147;16426,908180887807;Short;0;1.5;0;5
TNSR/USDC;30;50;30;50;38;0,4473684210526316;11,035090429573014;1,4706278897246472;378,78762543857556;16419,333436323766;Short;0;1.5;0;5
TNSR/USDC;30;30;30;30;37;0,43243243243243246;11,254307285899642;1,555539104547925;352,80186190905624;16416,40936957829;Short;0;None;0;5
TNSR/USDC;10;50;10;50;64;0,484375;6,473515683493134;1,4341406112027633;208,01519002645364;16414,305003743564;Short;0;None;0;3
TNSR/USDC;10;50;10;50;25;0,4;16,355990177045285;1,224073940488808;774,9661658560271;16408,89975442613;Short;2;1.5;48;0
TNSR/USDC;10;50;10;50;64;0,390625;6,366736051047814;1,2951258920661692;425,41807240302114;16407,471107267065;Short;0;1.5;0;5
TNSR/USDC;10;30;10;30;66;0,4696969696969697;6,063867119346393;1,429358924973229;236,07223094217443;16400,21522987686;Short;0;None;0;3
TNSR/USDC;30;50;30;50;30;0,5666666666666667;12,687717902263271;1,8308615220511928;266,1900965906152;16380,631537067908;Short;2;1.5;48;4
TNSR/USDC;10;50;10;50;64;0,484375;5,908736742051338;1,3824185705179672;207,80188614733197;16378,159151491276;Short;0;1.5;0;3
TNSR/USDC;10;50;10;50;64;0,46875;5,63768984363701;1,3492480684009043;262,38293221536514;16360,812149992764;Short;0;None;0;4
TNSR/USDC;10;40;10;40;66;0,45454545454545453;5,3785090160948075;1,3408659487309884;265,8949226079567;16354,981595062258;Short;0;None;0;4
TNSR/USDC;20;40;20;40;38;0,5263157894736842;9,109156182378008;1,352090711645575;464,63466565594354;16346,147934930355;Short;0;None;0;5
TNSR/USDC;10;50;10;50;52;0,5961538461538461;6,445168178851068;1,4356379742130838;387,921278525062;16335,14874530026;Short;2;None;48;4
TNSR/USDC;30;50;30;50;31;0,5806451612903226;10,229330718061723;1,7105368835985368;157,08606438107927;16317,109252259905;Short;2;None;48;3
