Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-11-26 17:00:00+01:00;75773,56;2025-11-26 22:00:00+01:00;77803,7;2000,0;4,0;Time exit (5 bars);49,584390122359295;16049,58439012236;Long;2;5;5
2025-11-28 03:00:00+01:00;78643,41;2025-11-28 08:00:00+01:00;78514,49;2006,198048765295;4,01239609753059;Time exit (5 bars);-7,301152936111449;16042,283237186248;Long;2;5;5
2025-11-28 09:00:00+01:00;79250,0;2025-11-28 14:00:00+01:00;79840,61;2005,285404648281;4,010570809296562;Time exit (5 bars);10,933802854291102;16053,21704004054;Long;2;5;5
2025-11-28 21:00:00+01:00;78644,91;2025-11-29 02:00:00+01:00;78425,69;2006,6521300050674;4,013304260010135;Time exit (5 bars);-9,606778522231469;16043,610261518308;Long;2;5;5
2025-11-29 16:00:00+01:00;78623,26;2025-11-29 21:00:00+01:00;78543,41;2005,4512826897885;4,010902565379577;Time exit (5 bars);-6,047644426792626;16037,562617091515;Long;2;5;5
2025-11-30 08:00:00+01:00;78538,44;2025-11-30 13:00:00+01:00;78963,22;2004,6953271364393;4,009390654272879;Time exit (5 bars);6,8331277489576205;16044,395744840473;Long;2;5;5
2025-12-03 18:00:00+01:00;79693,17;2025-12-03 23:00:00+01:00;80416,12;2005,549468105059;4,011098936210118;Time exit (5 bars);14,182580496626432;16058,5783253371;Long;2;5;5
2025-12-04 16:00:00+01:00;79698,67;2025-12-04 21:00:00+01:00;79450,31;2007,3222906671374;4,014644581334275;Time exit (5 bars);-10,26993797719761;16048,3083873599;Long;2;5;5
2025-12-09 13:00:00+01:00;77861,1;2025-12-09 18:00:00+01:00;80670,54;2006,0385484199876;4,012077096839976;Time exit (5 bars);68,37124319369053;16116,679630553592;Long;2;5;5
2025-12-11 19:00:00+01:00;77212,16;2025-12-12 00:00:00+01:00;78835,63;2014,584953819199;4,029169907638398;Time exit (5 bars);38,32967920339356;16155,009309756986;Long;2;5;5
