Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
ETH/EUR;20;50;20;50;6;0,6666666666666666;55,636499387411874;7,013522367963838;28,07547653882102;16333,818996324473;Long;2;None;48;0
ETH/EUR;20;40;20;40;7;0,5714285714285714;43,49537299224931;4,825979561172241;52,19238192382727;16304,467610945743;Long;2;None;48;0
ETH/EUR;20;40;20;40;8;0,5;28,419403088882756;3,049650416013346;45,6220510744115;16227,35522471106;Long;2;1.5;48;0
ETH/EUR;20;30;20;30;8;0,5;27,26134665769117;2,3242416138841677;85,25716522275798;16218,090773261525;Long;2;None;48;0
ETH/EUR;20;50;20;50;9;0,3333333333333333;21,07238287644862;2,296769969240451;62,6573465309375;16189,651445888037;Long;2;1.5;48;0
ETH/EUR;20;30;20;30;10;0,4;18,068803221985593;2,0794531367488323;46,07512535435853;16180,688032219856;Long;2;1.5;48;0
ETH/EUR;20;40;20;40;16;0,5625;9,340379577939403;2,7706095523946472;69,02292447999389;16149,44607324703;Long;2;None;48;3
ETH/EUR;20;40;20;40;17;0,47058823529411764;7,371070938678434;2,325949205111266;43,445872625814445;16125,308205957532;Long;0;None;0;3
ETH/EUR;20;40;20;40;16;0,5625;7,705600198230147;2,119266160322614;64,18374487649453;16123,289603171685;Long;2;1.5;48;3
ETH/EUR;20;40;20;40;17;0,5294117647058824;7,023653175346226;2,248480196942714;39,62285950793557;16119,402103980885;Long;0;None;0;4
ETH/EUR;20;50;20;50;15;0,6;7,93755752191885;2,570209582305835;44,05767417728566;16119,06336282878;Long;0;None;0;4
ETH/EUR;20;40;20;40;16;0,5625;7,372747368269299;2,2132584291887145;69,97211856782087;16117,963957892309;Long;2;None;48;4
ETH/EUR;20;40;20;40;17;0,4117647058823529;6,033157224749893;2,03925926553976;43,718427643843825;16102,563672820752;Long;0;1.5;0;2
ETH/EUR;20;40;20;40;17;0,4117647058823529;6,033157224749893;2,03925926553976;43,718427643843825;16102,563672820752;Long;0;None;0;2
ETH/EUR;20;40;20;40;16;0,5625;6,132704479726237;1,8408025387439002;51,73745664679336;16098,12327167562;Long;2;1.5;48;4
ETH/EUR;20;40;20;40;17;0,47058823529411764;5,556000870575349;1,7559783621376317;43,362737833371284;16094,452014799781;Long;0;1.5;0;3
ETH/EUR;30;40;30;40;5;0,4;16,816228478648043;1,5712311856892567;108,93804323878976;16084,08114239324;Long;2;None;48;0
ETH/EUR;20;40;20;40;17;0,5294117647058824;4,7854306636904465;1,6108442144394006;39,52932991022317;16081,352321282737;Long;0;1.5;0;4
