Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
XRP/EUR;30;30;30;30;21;0,42857142857142855;6,72806898178804;1,8901804218537652;81,54239006848366;16141,289448617548;Long;2;None;48;5
XRP/EUR;30;30;30;30;23;0,4782608695652174;4,324666789481352;1,6431926734241022;69,731791203174;16099,46733615807;Long;2;None;48;4
XRP/EUR;30;30;30;30;24;0,4583333333333333;2,8082067515890867;1,3257487725216097;92,64189368417101;16067,396962038141;Long;2;1.5;48;4
XRP/EUR;30;30;30;30;23;0,34782608695652173;2,647753215207032;1,2690105319192428;95,37222874581676;16060,898323949763;Long;2;1.5;48;5
XRP/EUR;30;40;30;40;26;0,46153846153846156;2,009962613132903;1,2684324782113472;70,6363334264388;16052,259027941456;Long;2;None;48;3
XRP/EUR;30;40;30;40;24;0,4583333333333333;2,1129546036852767;1,2948901579681824;70,72196639940557;16050,710910488451;Long;2;None;48;4
XRP/EUR;30;30;30;30;26;0,46153846153846156;1,306418126428349;1,154771530150556;93,64811563297917;16033,966871287137;Long;2;1.5;48;3
XRP/EUR;30;30;30;30;25;0,48;1,1390182938578945;1,1575632505122844;110,11414411495025;16028,475457346447;Long;2;None;48;3
XRP/EUR;30;40;30;40;26;0,46153846153846156;0,7289794739554936;1,0832004413803191;87,11375601483996;16018,95346632284;Long;2;1.5;48;3
XRP/EUR;30;50;30;50;26;0,38461538461538464;0,5880127703385322;1,0743823067417195;76,93593711324502;16015,288332028804;Long;2;None;48;3
XRP/EUR;30;40;30;40;23;0,391304347826087;0,4296885842304595;1,0455624074513319;129,5349615248415;16009,882837437302;Long;2;None;48;5
XRP/EUR;30;40;30;40;30;0,3333333333333333;0,05476880735318585;1,0066518328926282;105,33294814437068;16001,643064220594;Long;0;1.5;0;3
XRP/EUR;30;40;30;40;30;0,3333333333333333;0,05476880735318585;1,0066518328926282;105,33294814437068;16001,643064220594;Long;0;None;0;3
XRP/EUR;30;40;30;40;24;0,4583333333333333;-0,2677061842589401;0,9719135515842102;98,9940064252769;15993,575051577785;Long;2;1.5;48;4
XRP/EUR;30;30;30;30;30;0,3333333333333333;-0,26541684877507543;0,9697287037620581;134,09505053376415;15992,037494536748;Long;0;None;0;3
XRP/EUR;30;30;30;30;30;0,3333333333333333;-0,3529626741365734;0,9601392956564622;136,71531778835015;15989,411119775903;Long;0;1.5;0;3
XRP/EUR;10;50;10;50;22;0,5;-0,5208019378268801;0,9476580980813453;101,33114032189042;15988,542357367809;Long;2;None;48;4
XRP/EUR;10;40;10;40;23;0,4782608695652174;-0,5939204405759995;0,9319165031512632;98,16997223614271;15986,33982986675;Long;2;None;48;3
XRP/EUR;30;50;30;50;24;0,4583333333333333;-0,6104239253702245;0,9332515547580059;86,93573364207805;15985,349825791114;Long;2;None;48;4
XRP/EUR;30;50;30;50;26;0,38461538461538464;-0,6900200776664429;0,9248121359640636;108,89047888395908;15982,059477980672;Long;2;1.5;48;3
XRP/EUR;30;50;30;50;30;0,3;-0,678374962932318;0,9167205173645641;111,29991424817672;15979,64875111203;Long;0;None;0;3
XRP/EUR;30;50;30;50;30;0,3;-0,678374962932318;0,9167205173645641;111,29991424817672;15979,64875111203;Long;0;1.5;0;3
XRP/EUR;10;40;10;40;23;0,4782608695652174;-0,9152568246215378;0,909653211034712;101,33114032189042;15978,949093033707;Long;2;None;48;4
XRP/EUR;10;30;10;30;24;0,4583333333333333;-1,0300999458009201;0,8831863321428749;109,21279379598673;15975,277601300777;Long;2;None;48;3
XRP/EUR;30;30;30;30;30;0,36666666666666664;-0,8413672036924142;0,90180548338915;152,14085770912425;15974,758983889225;Long;0;None;0;4
XRP/EUR;10;50;10;50;23;0,43478260869565216;-1,123310928018077;0,8776751399312741;98,16997223614271;15974,163848655582;Long;2;None;48;3
XRP/EUR;30;30;30;30;30;0,36666666666666664;-0,9288184406391354;0,8926894133516956;154,7627969492296;15972,135446780827;Long;0;1.5;0;4
XRP/EUR;10;30;10;30;24;0,4583333333333333;-1,311082792182899;0,8706862859440138;111,71408419755062;15968,53401298761;Long;2;None;48;4
XRP/EUR;10;50;10;50;21;0,42857142857142855;-1,617207934188875;0,8451055983478563;106,85201698797027;15966,038633382035;Long;2;None;48;5
XRP/EUR;10;40;10;40;21;0,42857142857142855;-1,617207934188875;0,8451055983478563;106,85201698797027;15966,038633382035;Long;2;None;48;5
XRP/EUR;30;40;30;40;24;0,3333333333333333;-1,421371439636962;0,8680165949261099;117,48541910165113;15965,887085448716;Long;2;1.5;48;5
XRP/EUR;10;40;10;40;24;0,4583333333333333;-1,7588402901089093;0,8149902663570125;100,27863434806204;15957,787833037384;Long;2;1.5;48;3
XRP/EUR;10;30;10;30;22;0,4090909090909091;-2,011868744082167;0,8071318733546581;117,13365031186186;15955,738887630194;Long;2;None;48;5
XRP/EUR;30;50;30;50;23;0,34782608695652173;-1,9978128991632083;0,8299654449403752;125,09969516688034;15954,050303319247;Long;2;1.5;48;5
XRP/EUR;20;30;20;30;21;0,3333333333333333;-2,440569333482352;0,7641620340398552;157,70791829241534;15948,748043996871;Long;2;None;48;5
XRP/EUR;30;50;30;50;23;0,391304347826087;-2,332748319199092;0,8086206849745105;139,66320929655922;15946,346788658419;Long;2;None;48;5
XRP/EUR;10;50;10;50;24;0,4166666666666667;-2,265266732138752;0,7722528163265383;110,83058943055585;15945,633598428667;Long;2;1.5;48;3
