Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
XRP/EUR;30;50;30;50;9;0,6666666666666666;37,49211685720391;6,731450770498196;35,69948288316118;16337,429051714835;Short;2;None;48;0
XRP/EUR;30;50;30;50;19;0,6842105263157895;15,510232174862495;3,8145833419373245;89,07606909234346;16294,694411322393;Short;2;None;48;5
XRP/EUR;30;40;30;40;21;0,5238095238095238;12,696659492917345;3,3579036162062845;89,55088925444034;16266,629849351264;Short;2;None;48;4
XRP/EUR;30;50;30;50;19;0,5789473684210527;13,978867508683877;3,8081809060975016;89,26991495416587;16265,598482664995;Short;2;None;48;4
XRP/EUR;30;40;30;40;10;0,6;25,98330522549574;2,659825847476921;100,68440862048374;16259,833052254955;Short;2;None;48;0
XRP/EUR;30;40;30;40;21;0,6190476190476191;11,91502304432629;3,0248881084294665;89,11599103444678;16250,215483930853;Short;2;None;48;5
XRP/EUR;20;40;20;40;23;0,6086956521739131;10,638647919634575;2,532299041688184;132,12769577017207;16244,688902151598;Short;2;None;48;5
XRP/EUR;20;30;20;30;25;0,6;9,668570897796847;2,163758064962765;94,31598292865056;16241,71427244493;Short;2;None;48;5
XRP/EUR;20;40;20;40;26;0,5769230769230769;8,439713838231913;2,364029098450902;108,58776546256922;16219,43255979403;Short;0;None;0;5
XRP/EUR;20;40;20;40;26;0,46153846153846156;8,139158659698113;3,173508115251085;54,100766307428785;16211,618125152152;Short;0;None;0;2
XRP/EUR;30;40;30;40;22;0,5;9,541421550792256;2,048066575668781;136,89033451901196;16209,911274117427;Short;2;1.5;48;4
XRP/EUR;30;50;30;50;20;0,55;10,444175180312225;2,1496043148778297;136,46082827651298;16208,883503606241;Short;2;1.5;48;4
XRP/EUR;30;50;30;50;20;0,6;9,986865588314604;2,0311387831424716;140,14267029113216;16199,737311766294;Short;2;1.5;48;5
XRP/EUR;20;40;20;40;26;0,46153846153846156;7,580773550512631;2,7626116139543266;54,09081575615346;16197,100112313337;Short;2;None;48;2
XRP/EUR;20;40;20;40;24;0,5;7,772917026432299;2,2905382142780804;92,989567231205;16186,550008634375;Short;2;None;48;3
XRP/EUR;30;40;30;40;25;0,4;7,37640742186638;1,8573251598148819;93,95575712511709;16184,41018554666;Short;0;None;0;4
XRP/EUR;20;40;20;40;26;0,46153846153846156;6,983363495057016;2,1267252756513266;117,86885234875626;16181,567450871484;Short;0;None;0;3
XRP/EUR;30;50;30;50;23;0,5217391304347826;7,824831480425504;1,9858381602132384;79,94087036895144;16179,971124049789;Short;0;None;0;5
XRP/EUR;30;50;30;50;23;0,2608695652173913;7,705269617389701;1,5462941556724434;103,01915029348675;16177,221201199962;Short;0;None;0;0
XRP/EUR;20;40;20;40;26;0,46153846153846156;6,62757571129312;2,26753768381276;53,96961205277148;16172,316968493617;Short;0;1.5;0;2
XRP/EUR;30;40;30;40;25;0,28;6,868205718387828;1,4782576625413877;103,01915029348675;16171,705142959698;Short;0;None;0;0
