Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
ZEC/USDC;30;40;30;40;8;0,75;76,11226443315685;2,202406385206221;505,2605251646128;16608,898115465254;Short;2;None;48;0
ZEC/USDC;10;30;10;30;11;0,6363636363636364;55,02119427660991;1,7916981172178954;727,6216975335883;16605,23313704271;Short;2;None;48;0
ZEC/USDC;10;40;10;40;11;0,6363636363636364;55,02119427660991;1,7916981172178954;727,6216975335883;16605,23313704271;Short;2;None;48;0
ZEC/USDC;10;30;10;30;40;0,325;15,13011817815044;1,6847309803954214;363,02508839695656;16605,204727126023;Short;0;1.5;0;0
ZEC/USDC;10;30;10;30;40;0,325;14,958397014119802;1,6715947503941642;337,076462004472;16598,3358805648;Short;0;None;0;0
ZEC/USDC;10;40;10;40;40;0,325;14,632116811942144;1,6477158860370253;382,8476156203942;16585,284672477686;Short;0;1.5;0;0
ZEC/USDC;10;40;10;40;40;0,325;14,460601649284445;1,6351665561346607;356,9301179049871;16578,42406597138;Short;0;None;0;0
ZEC/USDC;20;50;20;50;29;0,5517241379310345;19,85827592254752;2,2768645601692494;354,47931253627394;16575,890001753865;Short;2;None;48;3
ZEC/USDC;10;50;10;50;11;0,6363636363636364;52,23879281868615;1,7530502424021792;726,2805605432986;16574,626721005552;Short;2;None;48;0
ZEC/USDC;10;50;10;50;39;0,3076923076923077;12,948550666249082;1,5290326153313594;451,1606454884932;16504,993475983716;Short;0;1.5;0;0
ZEC/USDC;10;50;10;50;39;0,3076923076923077;12,773489293125602;1,5180714438438907;425,36861724453775;16498,1660824319;Short;0;None;0;0
ZEC/USDC;30;50;30;50;25;0,6;18,03734967806352;2,2187578401666763;191,48793842592022;16450,933741951587;Short;0;None;0;2
ZEC/USDC;20;40;20;40;31;0,5161290322580645;14,52989016402922;1,7452643285580955;478,06189620014084;16450,42659508491;Short;2;None;48;3
ZEC/USDC;10;30;10;30;33;0,5454545454545454;13,4983948118231;1,6997098267518187;391,18349818701427;16445,447028790153;Short;2;1.5;48;3
ZEC/USDC;30;50;30;50;25;0,6;17,518740034819487;2,1451996858067455;191,33702375293979;16437,96850087049;Short;0;1.5;0;2
ZEC/USDC;30;30;30;30;28;0,6071428571428571;15,42637988496447;1,9115119405553993;182,77431158234867;16431,938636779003;Short;2;None;48;3
ZEC/USDC;30;40;30;40;26;0,5769230769230769;16,476323172560008;2,0938640254902374;183,95993761904174;16428,384402486558;Short;0;None;0;2
ZEC/USDC;30;40;30;40;26;0,5;16,34510534792646;2,0749818612824606;236,57291593677292;16424,972739046083;Short;0;None;0;3
ZEC/USDC;30;40;30;40;26;0,5769230769230769;15,978343572944134;2,0282211303176316;183,8149558825644;16415,43693289655;Short;0;1.5;0;2
ZEC/USDC;10;30;10;30;40;0,425;10,380800613697492;1,6369538148557152;323,90391003684454;16415,2320245479;Short;0;1.5;0;3
ZEC/USDC;30;50;30;50;25;0,24;16,570580849258366;1,5589454872268045;428,1877420740366;16414,264521231456;Short;0;None;0;0
ZEC/USDC;30;40;30;40;26;0,5;15,847229163153603;2,0105394813634168;236,38646907992188;16412,027958241993;Short;0;1.5;0;3
ZEC/USDC;30;40;30;40;26;0,2692307692307692;15,608229435690838;1,531892132266294;402,26560690120095;16405,813965327972;Short;0;None;0;0
ZEC/USDC;30;50;30;50;25;0,24;16,053127189727714;1,5327838955952955;427,8502805419939;16401,328179743196;Short;0;1.5;0;0
ZEC/USDC;30;40;30;40;26;0,5;15,262757640455108;1,9464602501882218;248,92238537478443;16396,831698651833;Short;0;None;0;4
ZEC/USDC;10;40;10;40;40;0,425;9,888496657848226;1,5891155377121726;343,4738350705338;16395,539866313928;Short;0;1.5;0;3
ZEC/USDC;30;40;30;40;26;0,2692307692307692;15,110933994479346;1,5069092949098277;401,9485750139047;16392,884283856467;Short;0;1.5;0;0
ZEC/USDC;20;30;20;30;33;0,45454545454545453;11,874903969298904;1,6058553251858376;396,62387919294997;16391,871830986864;Short;0;1.5;0;3
ZEC/USDC;20;30;20;30;33;0,45454545454545453;11,816893393639102;1,6011891099724498;396,5775588865781;16389,957481990088;Short;0;None;0;3
ZEC/USDC;20;30;20;30;11;0,5454545454545454;35,40332005875134;1,4503510346695818;864,7399265597123;16389,436520646264;Short;2;None;48;0
ZEC/USDC;30;40;30;40;26;0,5;14,765734471029656;1,8894238598051554;248,7262057057451;16383,909096246767;Short;0;1.5;0;4
ZEC/USDC;20;50;20;50;32;0,5;11,981948718296684;1,8721312030586983;180,08198505259497;16383,422358985497;Short;2;None;48;2
ZEC/USDC;10;30;10;30;40;0,425;9,567871452693794;1,5591812537696874;323,90391003684454;16382,714858107749;Short;0;None;0;3
ZEC/USDC;30;50;30;50;25;0,48;15,157218141186853;1,8981756754531602;255,12945793777362;16378,930453529672;Short;0;None;0;3
ZEC/USDC;20;40;20;40;11;0,5454545454545454;34,29926804807419;1,4366303874441577;864,099154292302;16377,291948528813;Short;2;None;48;0
ZEC/USDC;20;50;20;50;11;0,5454545454545454;34,29926804807419;1,4366303874441577;864,099154292302;16377,291948528813;Short;2;None;48;0
ZEC/USDC;20;40;20;40;30;0,5333333333333333;12,57272117530724;1,6775523896862592;333,73792424343446;16377,18163525922;Short;2;None;48;4
ZEC/USDC;20;50;20;50;34;0,4117647058823529;11,068506640848348;1,576922189845189;213,23491278952315;16376,329225788844;Short;0;1.5;0;4
ZEC/USDC;10;30;10;30;35;0,5428571428571428;10,72752117531505;1,6991131826416306;306,77313220956967;16375,463241136029;Short;2;1.5;48;2
ZEC/USDC;20;50;20;50;34;0,4117647058823529;11,012255645829626;1,5723871251335597;213,2100098348401;16374,41669195821;Short;0;None;0;4
ZEC/USDC;20;50;20;50;34;0,4117647058823529;10,94411494756305;1,5835693859657003;266,02014774137933;16372,099908217142;Short;0;1.5;0;3
ZEC/USDC;30;50;30;50;25;0,48;14,84286515023534;1,8301574791954462;249,26731787982317;16371,071628755888;Short;0;None;0;4
ZEC/USDC;20;50;20;50;34;0,4117647058823529;10,887878479812212;1,5789064491904823;265,98908018495786;16370,187868313611;Short;0;None;0;3
ZEC/USDC;30;50;30;50;25;0,48;14,640878375161137;1,8428558862068434;254,92838637667592;16366,021959379026;Short;0;1.5;0;3
ZEC/USDC;20;50;20;50;31;0,5161290322580645;11,781791485988188;1,5109769212687163;330,65402599849585;16365,235536065624;Short;2;1.5;48;3
ZEC/USDC;20;30;20;30;33;0,45454545454545453;11,02570211938013;1,5504518419741347;343,7843039190393;16363,848169939542;Short;0;1.5;0;4
ZEC/USDC;10;40;10;40;40;0,425;9,076542708748175;1,5157923535548836;343,4738350705338;16363,061708349927;Short;0;None;0;3
ZEC/USDC;20;30;20;30;33;0,45454545454545453;10,967790719014413;1,5460517132234297;343,744154560618;16361,937093727482;Short;0;None;0;4
ZEC/USDC;30;50;30;50;25;0,48;14,326773130773812;1,7797186747629614;249,07086636402892;16358,169328269347;Short;0;1.5;0;4
ZEC/USDC;10;30;10;30;33;0,5454545454545454;10,798389049707152;1,489563528859536;453,1888326256085;16356,346838640338;Short;2;None;48;3
ZEC/USDC;10;40;10;40;34;0,5294117647058824;10,376947077668426;1,4916917994480245;417,44851303156065;16352,816200640718;Short;2;1.5;48;3
ZEC/USDC;30;50;30;50;22;0,6363636363636364;15,21895925037585;1,6374802361125687;464,91710573119235;16334,817103508272;Short;2;1.5;48;4
ZEC/USDC;30;40;30;40;23;0,6521739130434783;14,496367454159648;1,636384457158463;463,7693853030032;16333,41645144567;Short;2;1.5;48;4
ZEC/USDC;10;30;10;30;35;0,5428571428571428;9,502565248477586;1,5731143241228396;342,57423135038334;16332,589783696714;Short;2;None;48;2
ZEC/USDC;20;30;20;30;33;0,24242424242424243;10,024637666679117;1,3463629907849537;549,0392917229456;16330,813043000415;Short;0;1.5;0;0
ZEC/USDC;10;30;10;30;40;0,4;8,23038319213246;1,4454945662636136;322,1876234438023;16329,215327685291;Short;0;1.5;0;4
ZEC/USDC;20;30;20;30;33;0,24242424242424243;9,966843177106178;1,3437146955692179;548,9751713571877;16328,905824844502;Short;0;None;0;0
ZEC/USDC;30;50;30;50;25;0,6;13,152048157917053;1,6699128237604521;299,96177017070113;16328,801203947922;Short;2;1.5;48;2
ZEC/USDC;30;50;30;50;8;0,625;40,82714442644324;1,4287546838541394;761,7809617274288;16326,617155411546;Short;2;None;48;0
ZEC/USDC;10;30;10;30;40;0,4;8,06151614653703;1,4323755967901914;322,1876234438023;16322,460645861474;Short;0;None;0;4
ZEC/USDC;30;30;30;30;31;0,4838709677419355;10,242500539554852;1,4988035890359928;270,79429855715534;16317,517516726204;Short;0;None;0;4
ZEC/USDC;20;30;20;30;32;0,5;9,887403150196029;1,5638901998656598;303,0329228011651;16316,39690080627;Short;2;None;48;2
ZEC/USDC;10;40;10;40;40;0,4;7,740658935435251;1,4082508727346001;326,24101739749494;16309,626357417405;Short;0;1.5;0;4
ZEC/USDC;10;40;10;40;40;0,4;7,571994467334759;1,3958108290562017;329,59745361311616;16302,879778693385;Short;0;None;0;4
ZEC/USDC;30;40;30;40;26;0,5769230769230769;11,427306811171157;1,5698637584316864;292,8962382041609;16297,109977090448;Short;2;1.5;48;2
ZEC/USDC;20;40;20;40;34;0,47058823529411764;8,700166636857158;1,499366222101409;303,3865602041442;16295,805665653143;Short;2;None;48;2
ZEC/USDC;10;40;10;40;36;0,5277777777777778;8,132677993926526;1,4740126650786347;374,3882046196668;16292,776407781355;Short;2;1.5;48;2
ZEC/USDC;30;50;30;50;22;0,6363636363636364;13,233196676967868;1,5119829216894005;508,3304102351649;16291,130326893295;Short;2;None;48;4
ZEC/USDC;30;30;30;30;31;0,4838709677419355;9,377579876234028;1,4388849161197383;283,2694414818725;16290,704976163255;Short;0;1.5;0;4
ZEC/USDC;30;40;30;40;23;0,6521739130434783;12,597105252840196;1,5107872753445457;507,0755172899371;16289,733420815322;Short;2;None;48;4
ZEC/USDC;20;30;20;30;31;0,5161290322580645;9,244043243107336;1,3889682528791167;337,8930988055181;16286,56534053633;Short;2;1.5;48;4
ZEC/USDC;20;40;20;40;29;0,5172413793103449;9,812332392076815;1,472577147409221;321,5832963812354;16284,557639370223;Short;2;None;48;5
ZEC/USDC;20;30;20;30;33;0,48484848484848486;8,493735124943772;1,469959679666567;319,4058614909263;16280,293259123144;Short;0;1.5;0;2
ZEC/USDC;20;30;20;30;33;0,48484848484848486;8,4361194240885;1,4653351560522538;319,368559204966;16278,39194099492;Short;0;None;0;2
ZEC/USDC;10;50;10;50;39;0,41025641025641024;7,097758994531228;1,398744006355915;366,69001762453263;16276,812600786712;Short;0;1.5;0;3
ZEC/USDC;20;50;20;50;34;0,17647058823529413;8,109103754080461;1,2865608823235093;470,7243543545337;16275,709527638735;Short;0;None;0;0
ZEC/USDC;10;50;10;50;35;0,5142857142857142;7,771875943151297;1,4282356037392663;392,0404213011916;16272,0156580103;Short;2;1.5;48;2
ZEC/USDC;30;50;30;50;25;0,6;10,722717934544901;1,487150016940486;334,9273460766344;16268,06794836362;Short;2;None;48;2
ZEC/USDC;20;50;20;50;34;0,17647058823529413;7,85996077176603;1,2753175329238495;481,1109077277597;16267,238666240048;Short;0;1.5;0;0
ZEC/USDC;20;40;20;40;36;0,3888888888888889;7,317643545126774;1,3402058201187352;402,6241409136255;16263,435167624557;Short;0;1.5;0;3
ZEC/USDC;20;50;20;50;32;0,5;8,228436803842019;1,474292939313122;255,18996983691795;16263,309977722947;Short;2;1.5;48;2
ZEC/USDC;10;40;10;40;34;0,5294117647058824;7,709333822380969;1,3234372249101602;481,53560181893045;16262,117349960954;Short;2;None;48;3
ZEC/USDC;20;40;20;40;36;0,3888888888888889;7,264883841485834;1,3369605588268014;402,5771198578077;16261,535818293489;Short;0;None;0;3
ZEC/USDC;30;30;30;30;31;0,5161290322580645;8,36151080947253;1,4865681361803094;299,2833670952259;16259,206835093648;Short;0;None;0;2
ZEC/USDC;20;30;20;30;31;0,4838709677419355;8,308349000198278;1,3580834461557396;507,0622326430748;16257,558819006143;Short;2;None;48;3
ZEC/USDC;10;30;10;30;17;0,35294117647058826;15,100633875663341;1,2528054270256912;838,3385408359554;16256,710775886275;Short;2;1.5;48;0
ZEC/USDC;10;40;10;40;17;0,35294117647058826;15,100633875663341;1,2528054270256912;838,3385408359554;16256,710775886275;Short;2;1.5;48;0
ZEC/USDC;10;30;10;30;40;0,425;6,3318356272332785;1,4116827762529294;279,02425728150956;16253,27342508933;Short;0;1.5;0;2
ZEC/USDC;20;30;20;30;32;0,5;7,805206438770554;1,3992683414117966;309,0195626145796;16249,76660604066;Short;2;1.5;48;2
ZEC/USDC;30;30;30;30;30;0,5666666666666667;8,284523811244288;1,4287822527799274;300,57456769211603;16248,535714337328;Short;2;None;48;2
ZEC/USDC;30;40;30;40;26;0,5;9,555908643973115;1,5116692223576051;246,4155767397424;16248,4536247433;Short;0;None;0;5
ZEC/USDC;20;50;20;50;29;0,5172413793103449;8,558783775578586;1,3557632092245202;472,588045560331;16248,204729491772;Short;2;None;48;4
ZEC/USDC;20;30;20;30;32;0,5;7,720746710042501;1,296141014645461;476,3295243915709;16247,063894721363;Short;2;1.5;48;3
ZEC/USDC;30;30;30;30;31;0,5161290322580645;7,948151516784668;1,452077493533829;311,7658503966504;16246,392697020325;Short;0;1.5;0;2
ZEC/USDC;10;50;10;50;17;0,35294117647058826;14,479068995072797;1,234941081864267;870,6197665272102;16246,144172916238;Short;2;1.5;48;0
ZEC/USDC;10;40;10;40;36;0,5277777777777778;6,830100352261422;1,3698066626820669;414,3193186924709;16245,883612681411;Short;2;None;48;2
ZEC/USDC;10;50;10;50;39;0,41025641025641024;6,271016188475991;1,3366621090562667;366,69001762453263;16244,56963135056;Short;0;None;0;3
ZEC/USDC;20;40;20;40;33;0,48484848484848486;7,3141387679175445;1,2786089808871501;452,6266497081233;16241,366579341278;Short;2;1.5;48;3
ZEC/USDC;30;50;30;50;22;0,5909090909090909;10,897965546848374;1,406209633652471;375,27359702902686;16239,755242030666;Short;2;None;48;5
ZEC/USDC;30;50;30;50;25;0,48;9,544055627578718;1,4640273989427628;247,21927563679128;16238,601390689471;Short;0;None;0;5
ZEC/USDC;30;40;30;40;26;0,5769230769230769;9,095945910972224;1,4073018074201185;327,76737484633304;16236,494593685275;Short;2;None;48;2
ZEC/USDC;30;40;30;40;26;0,5;9,063383132505164;1,4732996713199837;246,2213727262424;16235,647961445135;Short;0;1.5;0;5
ZEC/USDC;10;40;10;40;40;0,425;5,844388919766368;1,368431712801742;298,3722878177432;16233,775556790652;Short;0;1.5;0;2
ZEC/USDC;30;40;30;40;24;0,5416666666666666;9,719257317191657;1,4145917009508637;316,3073074033291;16233,262175612592;Short;2;None;48;3
ZEC/USDC;20;40;20;40;32;0,5;7,214384302782731;1,2845949119057485;339,6512678222389;16230,860297689047;Short;2;1.5;48;4
ZEC/USDC;30;30;30;30;31;0,4838709677419355;7,414326135469838;1,3795986205356792;272,7396016700841;16229,844110199563;Short;0;None;0;3
ZEC/USDC;10;50;10;50;35;0,5142857142857142;6,554658345801125;1,3382707433449668;427,7350129628303;16229,413042103042;Short;2;None;48;2
ZEC/USDC;20;30;20;30;33;0,42424242424242425;6,928108681684355;1,3157226116360028;312,3048284715769;16228,627586495579;Short;0;1.5;0;5
ZEC/USDC;20;30;20;30;33;0,42424242424242425;6,870675824828951;1,3123167022387199;312,2683554902542;16226,732302219352;Short;0;None;0;5
ZEC/USDC;30;50;30;50;25;0,48;9,032139683711543;1,4288455946979217;247,02443821547422;16225,803492092784;Short;0;1.5;0;5
ZEC/USDC;20;50;20;50;34;0,4117647058823529;6,612965835406808;1,322831233309516;242,59978788203807;16224,840838403827;Short;0;1.5;0;5
ZEC/USDC;20;40;20;40;36;0,3888888888888889;6,221108821229161;1,2843489148268925;334,9408505509746;16223,959917564245;Short;0;1.5;0;4
ZEC/USDC;30;40;30;40;24;0,5416666666666666;9,321945473772386;1,3895221360450163;389,36780347872264;16223,726691370537;Short;2;1.5;48;3
ZEC/USDC;20;50;20;50;34;0,4117647058823529;6,5572351873111785;1,3192751684250519;242,59978788203807;16222,945996368573;Short;0;None;0;5
ZEC/USDC;30;40;30;40;23;0,6086956521739131;9,682097544100548;1,3789357953514874;373,6472371680211;16222,688243514309;Short;2;None;48;5
ZEC/USDC;20;40;20;40;36;0,3888888888888889;6,168477178017824;1,281296256365729;334,9017339883321;16222,065178408644;Short;0;None;0;4
ZEC/USDC;20;50;20;50;34;0,4411764705882353;6,515323627202876;1,3942993057026865;211,24091165139362;16221,521003324895;Short;0;1.5;0;2
ZEC/USDC;10;30;10;30;40;0,425;5,52692711852242;1,3414785408773102;279,02425728150956;16221,077084740897;Short;0;None;0;2
ZEC/USDC;20;50;20;50;34;0,4411764705882353;6,45960438239695;1,3896521463607234;211,24091165139362;16219,626549001501;Short;0;None;0;2
ZEC/USDC;20;30;20;30;30;0,5333333333333333;7,302148754721368;1,3197307796510693;353,0685092966796;16219,064462641643;Short;2;None;48;4
ZEC/USDC;30;50;30;50;23;0,5217391304347826;9,331272132005736;1,3815956487495566;316,1919325163617;16214,619259036133;Short;2;None;48;3
ZEC/USDC;30;30;30;30;10;0,5;20,60981617229954;1,2333999977831263;814,4685545090488;16206,098161723;Short;2;None;48;0
ZEC/USDC;10;50;10;50;39;0,41025641025641024;5,2733902678596;1,3118951748370369;323,34457677127284;16205,662220446524;Short;0;1.5;0;2
ZEC/USDC;30;50;30;50;23;0,5217391304347826;8,91716198778737;1,3572130162028437;389,2257793608369;16205,094725719113;Short;2;1.5;48;3
ZEC/USDC;20;30;20;30;27;0,5185185185185185;7,528929604051642;1,301807030953912;284,08947427237035;16203,281099309395;Short;2;None;48;5
ZEC/USDC;30;30;30;30;31;0,4838709677419355;6,554052658269755;1,3217820730662837;285,2367567938254;16203,175632406364;Short;0;1.5;0;3
ZEC/USDC;20;40;20;40;36;0,2222222222222222;5,604159192545637;1,1909820610963084;585,8247072612121;16201,749730931642;Short;0;1.5;0;0
ZEC/USDC;10;40;10;40;40;0,425;5,0404460011667975;1,3024238818942921;298,3722878177432;16201,617840046669;Short;0;None;0;2
ZEC/USDC;20;40;20;40;36;0,2222222222222222;5,551599600709209;1,1888694160028779;585,756290856285;16199,857585625532;Short;0;None;0;0
ZEC/USDC;30;30;30;30;31;0,22580645161290322;6,4322307498437095;1,2107518235232098;479,87222077226033;16199,399153245156;Short;0;None;0;0
ZEC/USDC;30;40;30;40;15;0,3333333333333333;13,156118744004308;1,2045262548162812;715,3490139486821;16197,341781160063;Short;2;1.5;48;0
ZEC/USDC;30;30;30;30;30;0,5666666666666667;6,566152277362817;1,313175015914956;350,8203530435021;16196,984568320882;Short;2;1.5;48;2
ZEC/USDC;10;30;10;30;33;0,48484848484848486;5,624284716424647;1,2201849888463674;529,3666950062925;16185,601395642008;Short;2;1.5;48;4
ZEC/USDC;20;40;20;40;34;0,47058823529411764;5,186342113138049;1,2494423694659211;301,16233126157385;16176,335631846698;Short;2;1.5;48;2
ZEC/USDC;30;30;30;30;16;0,3125;10,957358473366739;1,1704945327915883;737,3730595348807;16175,317735573864;Short;2;1.5;48;0
ZEC/USDC;10;50;10;50;39;0,41025641025641024;4,450261379746226;1,2509918413757655;323,34457677127284;16173,560193810103;Short;0;None;0;2
ZEC/USDC;30;30;30;30;31;0,22580645161290322;5,5735710274526395;1,1777796437932968;493,2916632993547;16172,780701851028;Short;0;1.5;0;0
ZEC/USDC;10;30;10;30;40;0,4;3,977990339778164;1,2026706992198748;288,88717792921307;16159,119613591123;Short;0;1.5;0;5
ZEC/USDC;20;40;20;40;36;0,3888888888888889;4,280352137335466;1,1848975611943022;304,16164253644456;16154,092676944076;Short;0;1.5;0;5
ZEC/USDC;10;30;10;30;40;0,4;3,810882323023441;1,192507667342099;288,88717792921307;16152,435292920934;Short;0;None;0;5
ZEC/USDC;20;40;20;40;36;0,3888888888888889;4,227947148264002;1,182236823909233;304,1261205691426;16152,206097337503;Short;0;None;0;5
ZEC/USDC;20;50;20;50;31;0,4838709677419355;4,728907244656683;1,1614642402647044;433,9739597673888;16146,596124584357;Short;2;1.5;48;4
ZEC/USDC;10;50;10;50;34;0,5;4,176742483198668;1,170938965102947;531,9932968574303;16142,009244428753;Short;2;1.5;48;3
ZEC/USDC;30;30;30;30;28;0,5714285714285714;5,0180916578048285;1,1674126733705525;413,11027055329214;16140,506566418537;Short;2;None;48;4
ZEC/USDC;10;40;10;40;40;0,4;3,4933673690570735;1,173725616513895;292,94733430997985;16139,734694762277;Short;0;1.5;0;5
ZEC/USDC;20;40;20;40;36;0,4166666666666667;3,7436150046215806;1,1889254191483887;322,85176599162514;16134,770140166376;Short;0;1.5;0;2
ZEC/USDC;10;50;10;50;39;0,38461538461538464;3,4193073950240787;1,1666099096149087;369,89883992738214;16133,352988405937;Short;0;1.5;0;4
ZEC/USDC;10;40;10;40;40;0,4;3,3264598196185107;1,1640550669614986;293,24208583032487;16133,058392784735;Short;0;None;0;5
ZEC/USDC;20;40;20;40;36;0,4166666666666667;3,6912726991900433;1,1858078925319588;322,8140612706047;16132,885817170843;Short;0;None;0;2
ZEC/USDC;20;30;20;30;29;0,4827586206896552;4,3820050095662335;1,1571047865567763;347,598496116565;16127,078145277423;Short;2;1.5;48;5
ZEC/USDC;10;50;10;50;39;0,38461538461538464;3,248187852847599;1,1569544652234744;373,2190000011342;16126,679326261054;Short;0;None;0;4
ZEC/USDC;30;30;30;30;29;0,5517241379310345;3,9535227132832462;1,1330067518383267;338,1142665875868;16114,65215868521;Short;2;1.5;48;4
ZEC/USDC;10;40;10;40;34;0,47058823529411764;3,192441706568097;1,1176200658530289;580,1720745004877;16108,54301802331;Short;2;1.5;48;4
ZEC/USDC;30;30;30;30;29;0,5517241379310345;3,407675137106108;1,1306009014008478;324,3371638260196;16098,822578976073;Short;2;1.5;48;3
ZEC/USDC;30;50;30;50;15;0,26666666666666666;6,123515601110459;1,0894427864003444;803,7253068787832;16091,852734016658;Short;2;1.5;48;0
ZEC/USDC;30;50;30;50;22;0,5909090909090909;3,825064840199261;1,1130771755585755;521,1116008645513;16084,151426484383;Short;2;1.5;48;5
ZEC/USDC;30;30;30;30;31;0,4838709677419355;2,3998114477706762;1,1050557275560386;343,2328192600871;16074,39415488089;Short;0;None;0;5
ZEC/USDC;30;40;30;40;23;0,6086956521739131;2,923824267282136;1,090756723150988;518,8532085943225;16067,24795814749;Short;2;1.5;48;5
ZEC/USDC;20;40;20;40;31;0,4838709677419355;2,0689245780797716;1,0736429280122235;348,8917053908408;16064,136661920471;Short;2;1.5;48;5
ZEC/USDC;10;50;10;50;34;0,5;1,573758311415558;1,0580891026486257;594,6029674958954;16053,507782588124;Short;2;None;48;3
ZEC/USDC;30;30;30;30;31;0,4838709677419355;1,5477776968849384;1,0653942615999379;355,65352354002243;16047,981108603428;Short;0;1.5;0;5
ZEC/USDC;10;50;10;50;39;0,38461538461538464;1,1968777627994789;1,0550063897724584;338,09474813748056;16046,678232749178;Short;0;1.5;0;5
ZEC/USDC;10;50;10;50;39;0,38461538461538464;1,0266775425095829;1,0468158032659134;338,38780021640196;16040,040424157874;Short;0;None;0;5
ZEC/USDC;20;50;20;50;29;0,5172413793103449;0,12106647105898301;1,0042458065004347;550,9088595960457;16003,51092766071;Short;2;None;48;5
ZEC/USDC;30;30;30;30;28;0,5714285714285714;-1,3413177744142415;0,9555210006118692;303,4438008563702;15962,443102316402;Short;2;None;48;5
ZEC/USDC;10;50;10;50;34;0,47058823529411764;-1,7892014322891703;0,9365719576467497;616,5122415919996;15939,167151302167;Short;2;1.5;48;4
ZEC/USDC;10;30;10;30;33;0,48484848484848486;-1,9353616537465472;0,9413118638385164;695,3314551822459;15936,13306542636;Short;2;None;48;4
ZEC/USDC;10;30;10;30;32;0,53125;-2,3316245764643106;0,9178916733056893;573,8279023970554;15925,388013553145;Short;2;1.5;48;5
ZEC/USDC;10;50;10;50;31;0,5161290322580645;-2,6042584938131204;0,9039832766452671;490,53608699148754;15919,267986691795;Short;2;1.5;48;5
ZEC/USDC;20;50;20;50;31;0,4838709677419355;-3,1485025443267025;0,9001893209614855;460,0763962465753;15902,39642112587;Short;2;1.5;48;5
