Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
BTC/EUR;30;30;30;30;14;0,6428571428571429;12,03476142175916;4,946618919135314;14,116569938541943;16168,486659904625;Long;2;None;48;4
BTC/EUR;20;40;20;40;17;0,5294117647058824;9,066223366865001;3,585017596690316;19,781962803659553;16154,125797236702;Long;2;None;48;4
BTC/EUR;20;40;20;40;17;0,5294117647058824;8,92394098885599;4,107292989398558;22,092249459523373;16151,706996810553;Long;2;None;48;3
BTC/EUR;30;30;30;30;14;0,5;10,421251209972747;4,35216866367825;29,167274834811906;16145,89751693962;Long;2;None;48;3
BTC/EUR;20;30;20;30;17;0,47058823529411764;8,423824207506255;3,8591882234219024;25,437901610821427;16143,205011527609;Long;2;None;48;3
BTC/EUR;20;30;20;30;17;0,47058823529411764;8,420609904792611;3,065057303563879;30,668070752368294;16143,150368381474;Long;2;None;48;4
BTC/EUR;30;30;30;30;14;0,6428571428571429;10,004296383711994;3,0310414487022617;21,560875991908688;16140,06014937197;Long;2;None;48;5
BTC/EUR;20;30;20;30;16;0,625;8,543156060599385;2,9364100940776128;21,56432013752783;16136,69049696959;Long;2;None;48;5
BTC/EUR;30;30;30;30;15;0,6;8,798049275673979;2,673485481036692;50,32133305524803;16131,970739135108;Long;2;1.5;48;4
BTC/EUR;20;40;20;40;17;0,5882352941176471;7,723477649943042;2,6862051552783193;21,557115353007248;16131,299120049032;Long;2;None;48;5
BTC/EUR;20;50;20;50;18;0,5555555555555556;6,85290801383114;2,444503291172764;45,338000296884275;16123,35234424896;Long;2;None;48;3
BTC/EUR;20;40;20;40;18;0,5;6,53568388538665;2,2286640976302023;55,96853795522111;16117,642309936955;Long;2;1.5;48;4
BTC/EUR;20;40;20;40;18;0,5;6,323542932607886;2,317998767082401;59,684645028077284;16113,82377278694;Long;2;1.5;48;3
BTC/EUR;30;30;30;30;15;0,4666666666666667;7,201861255568838;2,332521373709251;66,74793265826156;16108,027918833537;Long;2;1.5;48;3
BTC/EUR;20;30;20;30;18;0,4444444444444444;5,927314926455402;2,0120517017320996;66,83006003738046;16106,691668676194;Long;2;1.5;48;4
BTC/EUR;20;30;20;30;18;0,4444444444444444;5,852318255119666;2,202471854958573;63,010509178395296;16105,341728592153;Long;2;1.5;48;3
BTC/EUR;20;50;20;50;21;0,5238095238095238;4,987097177274846;2,0949761310663666;40,74365670296356;16104,729040722772;Long;0;None;0;3
BTC/EUR;20;50;20;50;21;0,5238095238095238;4,987097177274846;2,0949761310663666;40,74365670296356;16104,729040722772;Long;0;1.5;0;3
BTC/EUR;30;40;30;40;15;0,5333333333333333;6,963972089370018;2,6716703932475743;46,62361961742681;16104,459581340549;Long;2;1.5;48;3
BTC/EUR;30;40;30;40;15;0,5333333333333333;6,963972089370018;2,6716703932475743;46,62361961742681;16104,459581340549;Long;2;None;48;3
BTC/EUR;20;40;20;40;20;0,5;5,206514778638237;2,1840100623610077;40,74365670296356;16104,130295572762;Long;0;None;0;3
BTC/EUR;20;40;20;40;20;0,5;5,206514778638237;2,1840100623610077;40,74365670296356;16104,130295572762;Long;0;1.5;0;3
BTC/EUR;30;30;30;30;15;0,6;6,864736199113082;1,9736354812966797;57,904420469812976;16102,971042986695;Long;2;1.5;48;5
BTC/EUR;20;50;20;50;18;0,5;5,691045883899322;1,9214764470497154;62,549351768355336;16102,438825910185;Long;2;None;48;4
