Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-08-25 01:00:00+02:00;175,7564697265625;2025-08-25 09:00:00+02:00;172,39160516812947;2000,0;4,0;ATR stop;-42,29007903570206;15957,709920964298;Long;2;0;8
2025-08-28 04:00:00+02:00;176,9972381591797;2025-08-29 18:00:00+02:00;173,84866059996017;1994,7137401205373;3,9894274802410745;ATR stop;-39,47309369181258;15918,236827272485;Long;2;0;38
2025-08-30 07:00:00+02:00;176,53009033203125;2025-08-30 11:00:00+02:00;173,63372587001516;1989,7796034090607;3,9795592068181214;ATR stop;-36,62627070919574;15881,61055656329;Long;2;0;4
2025-09-02 15:00:00+02:00;175,09730529785156;2025-09-02 17:00:00+02:00;172,20527290678365;1985,2013195704112;3,9704026391408225;ATR stop;-36,759408210769344;15844,85114835252;Long;2;0;2
2025-09-04 11:00:00+02:00;178,5799102783203;2025-09-04 16:00:00+02:00;177,04995418423084;1980,606393544065;3,96121278708813;ATR stop;-20,929755424793687;15823,921392927727;Long;2;0;5
2025-09-09 05:00:00+02:00;182,060791015625;2025-09-13 15:00:00+02:00;204,58914184570312;1977,9901741159658;3,9559803482319316;Trend flip;240,8021377086508;16064,723530636378;Long;2;0;106
2025-09-14 00:00:00+02:00;206,11956787109372;2025-09-15 09:00:00+02:00;204,2934684733592;2008,0904413295473;4,016180882659095;ATR stop;-21,80669336714878;16042,91683726923;Long;2;0;33
2025-09-29 15:00:00+02:00;177,99349975585938;2025-09-30 11:00:00+02:00;175,85033274436194;2005,3646046586537;4,010729209317307;ATR stop;-28,156730454441714;16014,760106814787;Long;2;0;20
2025-09-30 20:00:00+02:00;176,8478546142578;2025-10-03 08:00:00+02:00;195,5166931152344;2001,8450133518484;4,003690026703697;Trend flip;207,31988717906677;16222,079993993853;Long;2;0;60
2025-10-03 10:00:00+02:00;196,5144805908203;2025-10-03 16:00:00+02:00;194,16575606960214;2027,7599992492317;4,055519998498464;ATR stop;-28,29113672792787;16193,788857265925;Long;2;0;6
2025-10-04 22:00:00+02:00;193,9319610595703;2025-10-07 01:00:00+02:00;198,5718994140625;2024,2236071582406;4,048447214316481;Trend flip;44,38231531500694;16238,171172580931;Long;2;0;51
2025-10-07 03:00:00+02:00;198,8827362060547;2025-10-07 10:00:00+02:00;196,7395949019737;2029,7713965726164;4,059542793145233;ATR stop;-25,93216482570799;16212,239007755223;Long;2;0;7
2025-10-09 05:00:00+02:00;194,30638122558597;2025-10-09 10:00:00+02:00;191,60101096871992;2026,5298759694028;4,053059751938806;ATR stop;-32,26887858669426;16179,970129168529;Long;2;0;5
2025-10-13 06:00:00+02:00;169,010009765625;2025-10-15 15:00:00+02:00;172,75721740722656;2022,496266146066;4,044992532292132;Trend flip;40,79680988002039;16220,76693904855;Long;2;0;57
2025-10-16 12:00:00+02:00;168,38821411132812;2025-10-16 16:00:00+02:00;165,33400543151834;2027,5958673810687;4,055191734762137;ATR stop;-40,83152391444474;16179,935415134105;Long;2;0;4
2025-10-25 19:00:00+02:00;165,54727172851562;2025-10-27 18:00:00+01:00;173,82798767089844;2022,4919268917631;4,044983853783526;Trend flip;97,12056824192254;16277,055983376027;Long;2;0;48
2025-10-29 12:00:00+01:00;170,8993377685547;2025-10-29 16:00:00+01:00;168,8501919995334;2034,6319979220034;4,069263995844007;ATR stop;-28,465248231333273;16248,590735144693;Long;2;0;4
2025-10-30 03:00:00+01:00;170,30563354492188;2025-10-30 05:00:00+01:00;167,35798753755876;2031,0738418930866;4,062147683786173;ATR stop;-39,21592725113474;16209,374807893559;Long;2;0;2
2025-11-10 18:00:00+01:00;145,0219268798828;2025-11-11 07:00:00+01:00;142,81096607049417;2026,1718509866948;4,05234370197339;ATR stop;-34,94275215261056;16174,432055740948;Long;2;0;13
2025-11-28 00:00:00+01:00;121,44317626953124;2025-11-28 02:00:00+01:00;120,41601193341876;2021,8040069676185;4,043608013935237;ATR stop;-21,14399219655372;16153,288063544394;Long;2;0;2
2025-12-03 12:00:00+01:00;121,47955322265624;2025-12-03 15:00:00+01:00;120,26093744983612;2019,1610079430493;4,038322015886099;ATR stop;-24,293429866281596;16128,994633678112;Long;2;0;3
2025-12-03 18:00:00+01:00;121,67980194091795;2025-12-04 20:00:00+01:00;120,11979145375109;2016,124329209764;4,032248658419528;ATR stop;-29,88021230424006;16099,114421373872;Long;2;0;26
2025-12-10 13:00:00+01:00;118,36888122558594;2025-12-10 16:00:00+01:00;116,94344863741563;2012,389302671734;4,024778605343468;ATR stop;-28,258557470303884;16070,855863903567;Long;2;0;3
2025-12-10 20:00:00+01:00;118,66854095458984;2025-12-10 23:00:00+01:00;116,95439746595238;2008,856982987946;4,017713965975892;ATR stop;-33,03525382357281;16037,820610079994;Long;2;0;3
