Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-11-16 09:00:00+01:00;690,49;2025-11-16 19:00:00+01:00;686,02;2000,0;4,0;Trend flip;-16,947327260351422;15983,052672739648;Long;0;0,0;10,0
2025-11-17 00:00:00+01:00;698,78;2025-11-17 05:00:00+01:00;682,23;1997,881584092456;3,995763168184912;Trend flip;-51,31386073355607;15931,738812006091;Long;0;0,0;5,0
2025-11-17 07:00:00+01:00;693,01;2025-11-17 08:00:00+01:00;679,89;1991,4673515007614;3,982934703001523;Trend flip;-41,68520689487466;15890,053605111218;Long;0;0,0;1,0
2025-11-17 15:00:00+01:00;688,23;2025-11-17 16:00:00+01:00;674,26;1986,2567006389022;3,9725134012778045;Trend flip;-44,29043925153936;15845,763165859678;Long;0;0,0;1,0
2025-11-17 17:00:00+01:00;689,16;2025-11-17 18:00:00+01:00;676,5;1980,7203957324598;3,9614407914649195;Trend flip;-40,34765039442051;15805,415515465258;Long;0;0,0;1,0
2025-11-19 21:00:00+01:00;652,5;2025-11-21 00:00:00+01:00;655,34;1975,6769394331573;3,9513538788663145;Trend flip;4,647761075907985;15810,063276541166;Long;0;0,0;27,0
2025-11-21 01:00:00+01:00;671,11;2025-11-21 03:00:00+01:00;659,64;1976,2579095676458;3,9525158191352916;Trend flip;-37,72891346295069;15772,334363078216;Long;0;0,0;2,0
2025-12-03 17:00:00+01:00;343,31;2025-12-05 21:00:00+01:00;357,46;1971,541795384777;3,9430835907695543;Trend flip;77,3167585480978;15849,651121626313;Long;0;0,0;52,0
2025-12-11 07:00:00+01:00;415,83;2025-12-11 09:00:00+01:00;412,67;1981,2063902032892;3,9624127804065785;Trend flip;-19,018113891539326;15830,633007734774;Long;0;0,0;2,0
2025-12-11 10:00:00+01:00;416,87;2025-12-13 12:00:00+01:00;445,35;1978,8291259668467;3,9576582519336934;Trend flip;131,23329697999912;15961,866304714773;Long;0;0,0;50,0
2025-12-14 00:00:00+01:00;443,13;2025-12-14 01:00:00+01:00;442,24;1995,2332880893466;3,9904665761786933;Trend flip;-7,997772843864228;15953,868531870909;Long;0;0,0;1,0
2025-12-19 07:00:00+01:00;399,12;2025-12-20 23:00:00+01:00;444,56;1994,2335664838636;3,988467132967727;Trend flip;223,05596376758038;16176,924495638488;Long;0;0,0;40,0
2025-12-21 00:00:00+01:00;447,06;2025-12-21 03:00:00+01:00;443,64;2022,115561954811;4,044231123909622;Trend flip;-19,513374464592047;16157,411121173896;Long;0;0,0;3,0
2025-12-21 04:00:00+01:00;447,33;2025-12-21 05:00:00+01:00;445,63;2019,676390146737;4,039352780293474;Trend flip;-11,71478224679344;16145,696338927102;Long;0;0,0;1,0
2025-12-21 06:00:00+01:00;446,76;2025-12-21 07:00:00+01:00;444,31;2018,2120423658878;4,036424084731776;Trend flip;-15,104155089737601;16130,592183837365;Long;0;0,0;1,0
2025-12-21 20:00:00+01:00;446,43;2025-12-21 23:00:00+01:00;438,88;2016,3240229796706;4,032648045959341;Trend flip;-38,132610802710765;16092,459573034654;Long;0;0,0;3,0
2025-12-22 01:00:00+01:00;446,4;2025-12-22 05:00:00+01:00;439,44;2011,5574466293317;4,023114893258663;Trend flip;-35,38610734070514;16057,07346569395;Long;0;0,0;4,0
2025-12-22 06:00:00+01:00;444,44;2025-12-22 07:00:00+01:00;442,64;2007,1341832117437;4,0142683664234875;Trend flip;-12,143243098178417;16044,93022259577;Long;0;0,0;1,0
2025-12-22 08:00:00+01:00;444,01;2025-12-22 18:00:00+01:00;440,96;2005,6162778244714;4,0112325556489425;Trend flip;-17,788241288255552;16027,141981307515;Long;0;0,0;10,0
2025-12-24 13:00:00+01:00;426,32;2025-12-25 23:00:00+01:00;437,73;2003,3927476634394;4,006785495326879;Trend flip;49,61188416793051;16076,753865475446;Long;0;0,0;34,0
2025-12-26 01:00:00+01:00;440,32;2025-12-26 02:00:00+01:00;437,22;2009,5942331844308;4,0191884663688615;Trend flip;-18,167403680012725;16058,586461795434;Long;0;0,0;1,0
2025-12-26 03:00:00+01:00;442,85;2025-12-26 17:00:00+01:00;439,05;2007,3233077244292;4,014646615448859;Trend flip;-21,239053456033375;16037,347408339401;Long;0;0,0;14,0
2025-12-26 18:00:00+01:00;442,27;2025-12-27 23:00:00+01:00;515,16;2004,6684260424252;4,00933685208485;Final bar;326,37771534280137;16363,725123682203;Long;0;;
