Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
BTC/EUR;30;30;30;30;27;0,4074074074074074;3,4518129466488876;1,4530576709362406;122,06592976678621;16093,198949559517;Short;2;1.5;48;5
BTC/EUR;30;30;30;30;27;0,4074074074074074;2,415569815969091;1,2791336837638931;150,04449429513807;16065,220385031165;Short;2;None;48;5
BTC/EUR;20;40;20;40;10;0,5;2,7761824442956415;1,1224895233883656;188,18124158105275;16027,761824442958;Short;2;None;48;0
BTC/EUR;30;30;30;30;10;0,5;2,5411306040793162;1,1241660443913999;171,05792375016063;16025,411306040793;Short;2;None;48;0
BTC/EUR;30;30;30;30;32;0,40625;0,4509750306140856;1,0700301975482205;127,61541566433334;16014,431200979658;Short;2;1.5;48;2
BTC/EUR;30;30;30;30;33;0,3939393939393939;0,40227965628837153;1,064075421251912;134,59573735488448;16013,275228657518;Short;0;None;0;2
BTC/EUR;30;30;30;30;28;0,35714285714285715;0,3867021045554719;1,0454911140709795;150,7975889456302;16010,827658927554;Short;2;1.5;48;4
BTC/EUR;30;50;30;50;10;0,5;0,6439230882177076;1,0301554876064116;185,4956409437109;16006,439230882177;Short;2;None;48;0
BTC/EUR;30;30;30;30;33;0,3939393939393939;0,12246686621159032;1,0186783044616783;143,7999604163615;16004,04140658498;Short;0;1.5;0;2
BTC/EUR;30;30;30;30;32;0,40625;0,09321806065081506;1,013717225775463;139,0295783064721;16002,982977940832;Short;2;None;48;2
BTC/EUR;30;40;30;40;10;0,5;0,2386326120142484;1,0109675750798923;189,5485457057457;16002,386326120142;Short;2;None;48;0
BTC/EUR;30;30;30;30;28;0,35714285714285715;0,04206778373532912;1,004755328990542;160,4473499285923;16001,177897944592;Short;2;None;48;4
BTC/EUR;30;30;30;30;33;0,2727272727272727;-0,19033802269136585;0,9716668634467666;124,50103244098318;15993,718845251187;Short;0;None;0;3
