Symbol;ParamA;ParamB;Length;SlowLength;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldDays;ATRStopMult;MinHoldBars;MaxHoldBars
SOL/EUR;30;40;30;40;35;0,5142857142857142;13,260125059115433;2,0502619450677084;155,00331492161786;16464,104377069038;Short;2;None;48;5
SOL/EUR;30;30;30;30;35;0,4857142857142857;11,522648381973356;1,864607747470164;117,24648966341192;16403,29269336906;Short;2;None;48;5
SOL/EUR;20;50;20;50;44;0,38636363636363635;9,075391352529126;1,9464850352197065;125,70274207941475;16399,31721951128;Short;0;None;0;5
SOL/EUR;20;40;20;40;43;0,37209302325581395;8,976083175614068;1,9695285866215455;159,9314348284206;16385,97157655141;Short;0;None;0;5
SOL/EUR;20;30;20;30;47;0,3829787234042553;8,091029492166284;1,8876265857959935;192,43274243291307;16380,278386131817;Short;0;None;0;5
SOL/EUR;20;40;20;40;36;0,5;10,243126751586862;1,9324910727564961;168,6995218728989;16368,752563057122;Short;2;None;48;5
SOL/EUR;30;50;30;50;34;0,47058823529411764;10,725572146211979;1,8418311725006353;189,3941613632196;16364,669452971204;Short;2;None;48;5
SOL/EUR;20;30;20;30;40;0,5;9,067062802192188;1,8524777373996466;168,731899812723;16362,682512087675;Short;2;None;48;5
SOL/EUR;20;50;20;50;37;0,4864864864864865;9,145732137200252;1,7961354980516702;168,45700252928873;16338,392089076413;Short;2;None;48;5
SOL/EUR;30;50;30;50;44;0,3181818181818182;6,222687711988296;1,501442147534922;155,09071621826297;16273,798259327483;Short;0;None;0;5
SOL/EUR;30;30;30;30;38;0,3684210526315789;7,142434346852812;1,5678590267709218;128,5214737459737;16271,41250518041;Short;2;None;48;4
SOL/EUR;20;40;20;40;43;0,46511627906976744;5,915488256949503;1,6910388782680257;100,10785111670157;16254,365995048822;Short;0;None;0;3
SOL/EUR;30;40;30;40;37;0,40540540540540543;6,82086603248624;1,6074575714519452;168,8819358661276;16252,372043201998;Short;2;None;48;4
SOL/EUR;20;30;20;30;47;0,44680851063829785;5,355047707012444;1,6592409649514646;136,1050016014433;16251,687242229584;Short;0;None;0;3
SOL/EUR;20;50;20;50;44;0,45454545454545453;5,512789485086178;1,629978857655956;100,04497962560708;16242,56273734378;Short;0;None;0;3
SOL/EUR;20;50;20;50;38;0,3684210526315789;5,726118403673484;1,6117166310986897;141,64902113868447;16217,592499339593;Short;2;None;48;4
SOL/EUR;20;40;20;40;41;0,5121951219512195;5,259307125117074;1,5190766449868498;122,05518585262325;16215,631592129797;Short;2;None;48;3
SOL/EUR;20;40;20;40;43;0,37209302325581395;4,994145613255813;1,5419913900458286;109,07011811765005;16214,748261370005;Short;0;None;0;4
SOL/EUR;30;50;30;50;44;0,3409090909090909;4,870696383067869;1,4410181313361097;140,59746661656936;16214,31064085499;Short;0;None;0;4
SOL/EUR;20;30;20;30;47;0,3617021276595745;4,521414179570993;1,4387454363277576;192,5506405666074;16212,506466439832;Short;0;1.5;0;5
SOL/EUR;20;30;20;30;47;0,3829787234042553;4,457782056446623;1,5060804329823336;178,88407637873024;16209,515756652989;Short;0;None;0;4
SOL/EUR;20;50;20;50;44;0,36363636363636365;4,696616855002653;1,500204199492648;106,91526671400243;16206,651141620121;Short;0;None;0;4
SOL/EUR;20;40;20;40;37;0,3783783783783784;5,277631633736311;1,5174256016713779;136,3908448374732;16195,272370448245;Short;2;None;48;4
SOL/EUR;20;30;20;30;42;0,38095238095238093;4,480623272406102;1,447447277835576;169,99853118118517;16188,186177441063;Short;2;None;48;4
SOL/EUR;20;50;20;50;41;0,4878048780487805;4,580026977298981;1,4692785301417253;169,70542215761634;16187,781106069255;Short;2;None;48;3
SOL/EUR;20;50;20;50;44;0,36363636363636365;4,247205896482627;1,3586064389022945;125,85179506550594;16186,877059445234;Short;0;1.5;0;5
SOL/EUR;30;50;30;50;37;0,35135135135135137;4,8890358479443305;1,3945881895985215;179,17584722104766;16180,894326373942;Short;2;None;48;4
SOL/EUR;30;40;30;40;48;0,3125;3,738754371675958;1,325340537005565;165,1187793535446;16179,460209840456;Short;0;None;0;4
SOL/EUR;20;40;20;40;43;0,4883720930232558;4,170744277169593;1,5407810672804854;82,2055706381052;16179,34200391829;Short;0;None;0;2
SOL/EUR;20;40;20;40;43;0,3488372093023256;4,039634853838742;1,349058679105472;159,63932840454436;16173,704298715062;Short;0;1.5;0;5
SOL/EUR;20;50;20;50;11;0,45454545454545453;15,40368806650237;1,5143086347643215;131,98018869080624;16169,440568731525;Short;2;None;48;0
SOL/EUR;20;40;20;40;43;0,4418604651162791;3,864927425401108;1,3920081861668374;99,56480186733461;16166,191879292248;Short;0;1.5;0;3
SOL/EUR;20;30;20;30;47;0,425531914893617;3,4793118669774183;1,373682464413529;135,3666806992369;16163,527657747945;Short;0;1.5;0;3
SOL/EUR;30;40;30;40;48;0,3125;3,3508494129965167;1,2653195340016135;195,8608011854194;16160,84077182383;Short;0;None;0;5
SOL/EUR;20;40;20;40;41;0,5121951219512195;3,8969943452499263;1,4549034708360844;97,36522789913397;16159,776768155252;Short;2;None;48;2
SOL/EUR;10;50;10;50;60;0,4;2,6066303785044074;1,2212289954946745;237,26974202244492;16156,397822710269;Short;0;None;0;5
SOL/EUR;20;50;20;50;44;0,4318181818181818;3,510287500776899;1,3503924754664074;99,50227143156917;16154,452650034182;Short;0;1.5;0;3
SOL/EUR;20;30;20;30;41;0,4634146341463415;3,53641047148566;1,2734623509952336;166,67061715274212;16144,992829330904;Short;2;1.5;48;5
SOL/EUR;10;40;10;40;50;0,44;2,898197217574792;1,2248565500530646;196,75921628847573;16144,909860878739;Short;2;None;48;5
SOL/EUR;20;30;20;30;44;0,4772727272727273;3,2928821695076205;1,304956892728767;163,29148334867023;16144,886815458334;Short;2;None;48;3
SOL/EUR;20;40;20;40;41;0,4878048780487805;3,464972947205121;1,3109824577907823;113,75544563555013;16142,063890835412;Short;2;1.5;48;3
SOL/EUR;30;40;30;40;48;0,4166666666666667;2,8904852903995226;1,33206270148882;169,4526905608327;16138,743293939175;Short;0;None;0;2
SOL/EUR;30;50;30;50;44;0,29545454545454547;3,147970092295034;1,2431961932803517;150,3723870123431;16138,510684060982;Short;0;1.5;0;5
SOL/EUR;30;40;30;40;48;0,375;2,8342941198107567;1,2557286865287618;166,060644940595;16136,046117750911;Short;0;None;0;3
SOL/EUR;20;50;20;50;44;0,4772727272727273;3,0560455450659947;1,3859139817441275;98,30296322135837;16134,466003982901;Short;0;None;0;2
SOL/EUR;30;30;30;30;47;0,40425531914893614;2,834675923779404;1,248041698212953;170,1437919238797;16133,229768417637;Short;0;None;0;3
SOL/EUR;20;40;20;40;37;0,4594594594594595;3,5897091975302615;1,2563751793657651;166,45123821236666;16132,819240308618;Short;2;1.5;48;5
SOL/EUR;20;50;20;50;38;0,4473684210526316;3,373339044069832;1,2452084354636526;166,4729962594647;16128,186883674654;Short;2;1.5;48;5
SOL/EUR;10;30;10;30;50;0,44;2,494949138369032;1,188012102328863;196,51349557303547;16124,747456918454;Short;2;None;48;5
SOL/EUR;10;50;10;50;48;0,4375;2,5716517038284303;1,181828164591058;220,80782429443389;16123,439281783762;Short;2;None;48;5
SOL/EUR;20;30;20;30;47;0,44680851063829785;2,6011654446397814;1,3474060040547335;104,68219878748096;16122,254775898073;Short;0;None;0;2
SOL/EUR;20;50;20;50;42;0,5;2,8320188755322047;1,3267192217691905;113,44533125549788;16118,944792772354;Short;2;None;48;2
SOL/EUR;10;40;10;40;62;0,4032258064516129;1,8825308174308268;1,1591783150827737;236,6869958024181;16116,71691068071;Short;0;None;0;5
SOL/EUR;20;40;20;40;41;0,4878048780487805;2,706201098424552;1,2859371541539713;100,55299855126395;16110,954245035406;Short;2;1.5;48;2
SOL/EUR;20;40;20;40;43;0,46511627906976744;2,573588176933292;1,2852269761163797;81,85662625400983;16110,664291608127;Short;0;1.5;0;2
SOL/EUR;10;30;10;30;62;0,4032258064516129;1,723432757274594;1,1438457354756353;236,5421338301876;16106,852830951027;Short;0;None;0;5
SOL/EUR;30;30;30;30;39;0,41025641025641024;2,726675783863726;1,1853895465036155;131,9270886903214;16106,340355570685;Short;2;1.5;48;5
