Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-11-16 09:00:00+01:00;1,5118;2025-11-16 14:00:00+01:00;1,4517;2000,0;4,0;Time exit (5 bars);75,50787141156243;16075,507871411563;Short;2;5;5
2025-11-20 14:00:00+01:00;1,4151;2025-11-20 19:00:00+01:00;1,2964;2009,4384839264453;4,018876967852891;Time exit (5 bars);164,534828100389;16240,042699511952;Short;2;5;5
2025-11-23 06:00:00+01:00;1,1966;2025-11-23 11:00:00+01:00;1,196;2030,005337438994;4,060010674877988;Time exit (5 bars);-3,0421239938954434;16237,000575518057;Short;2;5;5
2025-11-24 00:00:00+01:00;1,1892;2025-11-24 05:00:00+01:00;1,1957;2029,6250719397572;4,059250143879514;Time exit (5 bars);-15,152895424411234;16221,847680093646;Short;2;5;5
2025-11-24 10:00:00+01:00;1,1779;2025-11-24 15:00:00+01:00;1,1953;2027,7309600117057;4,055461920023411;Time exit (5 bars);-34,00920901587522;16187,83847107777;Short;2;5;5
2025-12-02 08:00:00+01:00;1,1613;2025-12-02 13:00:00+01:00;1,1894;2023,4798088847213;4,046959617769443;Time exit (5 bars);-53,00914219734466;16134,829328880425;Short;2;5;5
2025-12-17 05:00:00+01:00;1,2599;2025-12-17 10:00:00+01:00;1,2514;2016,8536661100532;4,033707332220106;Time exit (5 bars);9,573131434297359;16144,402460314723;Short;2;5;5
2025-12-17 16:00:00+01:00;1,2545;2025-12-17 21:00:00+01:00;1,216;2018,0503075393403;4,036100615078681;Time exit (5 bars);57,89689009059256;16202,299350405316;Short;2;5;5
2025-12-18 15:00:00+01:00;1,2224;2025-12-18 20:00:00+01:00;1,1349;2025,2874188006645;4,050574837601329;Time exit (5 bars);140,92050594206;16343,219856347376;Short;2;5;5
2025-12-21 02:00:00+01:00;1,2332;2025-12-21 07:00:00+01:00;1,2314;2042,902482043422;4,085804964086844;Time exit (5 bars);-1,1039492491353289;16342,115907098241;Short;2;5;5
2025-12-21 13:00:00+01:00;1,236;2025-12-21 18:00:00+01:00;1,2307;2042,7644883872802;4,08552897677456;Time exit (5 bars);4,67389803653673;16346,789805134778;Short;2;5;5
2025-12-21 21:00:00+01:00;1,2255;2025-12-22 02:00:00+01:00;1,2379;2043,3487256418473;4,086697451283695;Time exit (5 bars);-24,761951794783357;16322,027853339994;Short;2;5;5
2025-12-22 20:00:00+01:00;1,2231;2025-12-23 01:00:00+01:00;1,2429;2040,2534816674993;4,080506963334999;Time exit (5 bars);-37,1088929800271;16284,918960359968;Short;2;5;5
2025-12-23 03:00:00+01:00;1,2256;2025-12-23 08:00:00+01:00;1,2105;2035,614870044996;4,071229740089992;Time exit (5 bars);21,008555293917574;16305,927515653886;Short;2;5;5
