Indicator;IndicatorDisplay;HTF;Symbol;Direction;ParamA;ParamB;Length;SlowLength;ATRStopMultValue;ATRStopMult;MinHoldDays;FinalEquity;Trades;WinRate;MaxDrawdown;TradesCSV
jma;Jurik Moving Average;12h;ETH/EUR;Long;30;0,0;30;;1,5;1.5;2;14742,02879992048;294;0,3877551020408163;1349,310444991319;report_html/jma_12h/trades_ETH_EUR_jma_best.csv
jma;Jurik Moving Average;12h;ETH/EUR;Short;30;0,0;30;;1,5;1.5;2;14113,645348118043;261;0,34099616858237547;1877,1659850457308;report_html/jma_12h/trades_ETH_EUR_jma_best_short.csv
jma;Jurik Moving Average;12h;LUNC/USDT;Long;30;0,0;30;;;None;2;13628,888282935;293;0,378839590443686;2446,740980699691;report_html/jma_12h/trades_LUNC_USDT_jma_best.csv
jma;Jurik Moving Average;12h;LUNC/USDT;Short;30;0,0;30;;;None;2;14524,827159339733;290;0,4206896551724138;2353,532292909991;report_html/jma_12h/trades_LUNC_USDT_jma_best_short.csv
jma;Jurik Moving Average;12h;SOL/EUR;Long;30;0,0;30;;;None;2;13944,217120795569;306;0,4019607843137255;2116,9396787319765;report_html/jma_12h/trades_SOL_EUR_jma_best.csv
jma;Jurik Moving Average;12h;SOL/EUR;Short;30;0,0;30;;;None;2;13129,656800756;354;0,3785310734463277;3051,0207950458516;report_html/jma_12h/trades_SOL_EUR_jma_best_short.csv
jma;Jurik Moving Average;12h;SUI/EUR;Long;30;0,0;30;;;None;2;14080,634370438043;308;0,38961038961038963;2219,411756551064;report_html/jma_12h/trades_SUI_EUR_jma_best.csv
jma;Jurik Moving Average;12h;SUI/EUR;Short;30;0,0;30;;;None;2;14000,545136752107;348;0,4109195402298851;2010,9304564708873;report_html/jma_12h/trades_SUI_EUR_jma_best_short.csv
jma;Jurik Moving Average;12h;XRP/EUR;Long;30;0,0;30;;;None;2;14003,538753606008;240;0,4;2146,1321126093208;report_html/jma_12h/trades_XRP_EUR_jma_best.csv
jma;Jurik Moving Average;12h;XRP/EUR;Short;30;0,0;30;;;None;2;13951,905135087029;279;0,4336917562724014;2151,1315606575427;report_html/jma_12h/trades_XRP_EUR_jma_best_short.csv
jma;Jurik Moving Average;1h;LINK/EUR;Long;30;0,0;30;;1,5;1.5;2;15786,524319921384;56;0,375;392,0338437685532;report_html/jma_1h/trades_LINK_EUR_jma_best.csv
jma;Jurik Moving Average;1h;LINK/EUR;Short;30;0,0;30;;1,5;1.5;2;15787,845367658321;57;0,3684210526315789;227,7072664715397;report_html/jma_1h/trades_LINK_EUR_jma_best_short.csv
jma;Jurik Moving Average;4h;TNSR/USDC;Long;30;0,0;30;;;None;2;15300,494530132482;70;0,37142857142857144;1210,3651763758553;report_html/jma_4h/trades_TNSR_USDC_jma_best.csv
jma;Jurik Moving Average;4h;TNSR/USDC;Short;30;0,0;30;;;None;2;16299,536711644414;124;0,4596774193548387;712,7945273041714;report_html/jma_4h/trades_TNSR_USDC_jma_best_short.csv
jma;Jurik Moving Average;4h;XRP/EUR;Long;30;0,0;30;;;None;2;14975,024645806488;90;0,3111111111111111;1168,6515390019686;report_html/jma_4h/trades_XRP_EUR_jma_best.csv
jma;Jurik Moving Average;4h;XRP/EUR;Short;30;0,0;30;;;None;2;14838,073916287762;109;0,3394495412844037;1174,6012913283466;report_html/jma_4h/trades_XRP_EUR_jma_best_short.csv
jma;Jurik Moving Average;4h;ZEC/USDC;Long;30;0,0;30;;;None;2;16997,180311212593;85;0,4470588235294118;766,9771764503457;report_html/jma_4h/trades_ZEC_USDC_jma_best.csv
jma;Jurik Moving Average;4h;ZEC/USDC;Short;30;0,0;30;;;None;2;15621,104870645095;79;0,46835443037974683;1104,983402613334;report_html/jma_4h/trades_ZEC_USDC_jma_best_short.csv
