Indicator;Symbol;Direction;ATRMult;Trades;WinRate;FinalEquity;PnL;PnL%;MaxDrawdown;HTF
jma;BTC/EUR;Long;None;490;11.020408163265307;13743.92381136806;-256.07618863193966;-1.8291156330852834;386.6437141199385;4h
jma;BTC/EUR;Long;1.0;490;3.877551020408163;12466.661657220657;-1533.3383427793433;-10.952416734138167;1535.897781043288;4h
jma;BTC/EUR;Long;1.5;490;8.979591836734693;13217.296364270567;-782.7036357294328;-5.5907402552102345;872.9582332711598;4h
jma;BTC/EUR;Long;2.0;490;10.612244897959183;13590.19157096345;-409.80842903654957;-2.9272030645467826;539.6499614284803;4h
jma;ETH/EUR;Long;None;476;13.655462184873949;13812.188231903987;-187.8117680960131;-1.3415126292572366;325.5458356623403;4h
jma;ETH/EUR;Long;1.0;476;5.2521008403361344;12586.061831695843;-1413.9381683041574;-10.099558345029697;1515.490316753956;4h
jma;ETH/EUR;Long;1.5;476;11.134453781512606;13368.461604490521;-631.5383955094785;-4.510988539353418;758.4188037066233;4h
jma;ETH/EUR;Long;2.0;476;13.445378151260504;13738.252928128086;-261.74707187191416;-1.8696219419422442;399.16746617639546;4h
jma;XRP/EUR;Long;None;463;13.174946004319654;13778.803874283629;-221.19612571637117;-1.5799723265455083;312.4427630760838;4h
jma;XRP/EUR;Long;1.0;463;5.399568034557236;12581.737280423633;-1418.262719576367;-10.130447996974052;1420.4347602900743;4h
jma;XRP/EUR;Long;1.5;463;11.447084233261338;13327.985192671396;-672.0148073286036;-4.800105766632883;729.7604309930848;4h
jma;XRP/EUR;Long;2.0;463;12.958963282937367;13654.997127938723;-345.00287206127723;-2.464306229009123;407.67026269686176;4h
jma;LINK/EUR;Long;None;505;9.900990099009901;13695.109127397287;-304.890872602713;-2.1777919471622353;434.5160919201335;4h
jma;LINK/EUR;Long;1.0;505;4.356435643564356;12507.716594191563;-1492.2834058084372;-10.65916718434598;1546.6673838696825;4h
jma;LINK/EUR;Long;1.5;505;7.524752475247524;13167.27487541578;-832.7251245842199;-5.948036604173;954.4491375647231;4h
jma;LINK/EUR;Long;2.0;505;8.91089108910891;13524.148827960746;-475.8511720392544;-3.3989369431375316;604.5806682321145;4h
jma;LUNC/USDT;Long;None;488;11.885245901639344;13788.723002488308;-211.27699751169166;-1.5091214107977975;357.35965021015545;4h
jma;LUNC/USDT;Long;1.0;488;4.30327868852459;12462.640238096745;-1537.3597619032553;-10.981141156451823;1589.9928403273534;4h
jma;LUNC/USDT;Long;1.5;488;8.811475409836065;13248.402891305366;-751.5971086946338;-5.368550776390242;861.1964287144056;4h
jma;LUNC/USDT;Long;2.0;488;11.065573770491802;13619.365946657099;-380.6340533429011;-2.7188146667350077;488.8918550204198;4h
jma;SOL/EUR;Long;None;462;12.554112554112553;13791.502055764324;-208.4979442356762;-1.48927103025483;328.81915169649074;4h
jma;SOL/EUR;Long;1.0;462;4.545454545454546;12346.796785894525;-1653.2032141054751;-11.80859438646768;1669.898691436225;4h
jma;SOL/EUR;Long;1.5;462;9.523809523809524;13118.548360231385;-881.4516397686148;-6.296083141204391;968.4463070757392;4h
jma;SOL/EUR;Long;2.0;462;11.688311688311687;13558.214388181925;-441.78561181807527;-3.155611512986252;525.4890386565203;4h
jma;SUI/EUR;Long;None;447;11.856823266219239;13838.593222412534;-161.40677758746642;-1.1529055541961886;275.26503634581786;4h
jma;SUI/EUR;Long;1.0;447;5.369127516778524;12724.861504925977;-1275.138495074023;-9.108132107671594;1328.4632988191588;4h
jma;SUI/EUR;Long;1.5;447;9.172259507829978;13360.498808580329;-639.5011914196712;-4.567865652997651;692.6230246468367;4h
jma;SUI/EUR;Long;2.0;447;11.185682326621924;13647.906359931047;-352.0936400689534;-2.5149545719210957;455.52207258169256;4h
jma;TNSR/USDC;Long;None;461;12.364425162689804;13793.036817093729;-206.96318290627096;-1.478308449330507;313.46697737837894;4h
jma;TNSR/USDC;Long;1.0;461;5.856832971800434;12616.218949924396;-1383.781050075604;-9.884150357682886;1425.9919801628512;4h
jma;TNSR/USDC;Long;1.5;461;10.195227765726681;13211.503915187006;-788.496084812994;-5.632114891521386;843.6195122048648;4h
jma;TNSR/USDC;Long;2.0;461;11.930585683297181;13611.718242434248;-388.28175756575183;-2.773441125469656;441.55275370215895;4h
jma;ZEC/USDC;Long;None;453;11.479028697571744;13781.797506427469;-218.20249357253124;-1.5585892398037946;298.45099487735024;4h
jma;ZEC/USDC;Long;1.0;453;5.077262693156733;12595.383323840864;-1404.6166761591357;-10.032976258279541;1396.6924558233895;4h
jma;ZEC/USDC;Long;1.5;453;9.050772626931568;13338.936696343704;-661.0633036562958;-4.7218807404021135;732.4584792718342;4h
jma;ZEC/USDC;Long;2.0;453;10.596026490066226;13612.834396296701;-387.165603703299;-2.765468597880707;466.5609368539972;4h
kama;BTC/EUR;Long;None;170;21.764705882352942;14382.330224396468;382.3302243964681;2.7309301742604863;76.756182009658;4h
kama;BTC/EUR;Long;1.0;170;2.941176470588235;13382.240156782298;-617.7598432177019;-4.412570308697871;650.2266522470436;4h
kama;BTC/EUR;Long;1.5;170;15.294117647058824;14015.590611773428;15.590611773428463;0.11136151266734617;157.01098393599932;4h
kama;BTC/EUR;Long;2.0;170;20.588235294117645;14311.077527198293;311.07752719829296;2.221982337130664;96.9238781389995;4h
kama;ETH/EUR;Long;None;159;20.754716981132077;14531.256134085874;531.2561340858738;3.7946866720419554;75.67001715341212;4h
kama;ETH/EUR;Long;1.0;159;6.289308176100629;13659.543863124334;-340.45613687566583;-2.431829549111899;428.7471079783827;4h
kama;ETH/EUR;Long;1.5;159;17.61006289308176;14247.06294051688;247.0629405168802;1.764735289406287;129.77234136327388;4h
kama;ETH/EUR;Long;2.0;159;19.49685534591195;14469.2606737976;469.26067379760025;3.351861955697145;89.39334389227588;4h
kama;XRP/EUR;Long;None;162;17.901234567901234;14469.154047272166;469.1540472721663;3.3511003376583304;75.20906708753319;4h
kama;XRP/EUR;Long;1.0;162;7.4074074074074066;13857.348961231726;-142.6510387682738;-1.0189359912019558;277.453548310712;4h
kama;XRP/EUR;Long;1.5;162;11.728395061728394;14048.27973183081;48.279731830809396;0.3448552273629243;225.37699466761478;4h
kama;XRP/EUR;Long;2.0;162;16.666666666666664;14387.042258910107;387.0422589101072;2.7645875636436226;92.72177559269585;4h
kama;LINK/EUR;Long;None;121;19.834710743801654;14563.485999362816;563.4859993628161;4.024899995448687;63.200045770012366;4h
kama;LINK/EUR;Long;1.0;121;5.785123966942149;13606.430304983962;-393.56969501603817;-2.8112121072574157;446.6145308510968;4h
kama;LINK/EUR;Long;1.5;121;13.223140495867769;14062.0799276459;62.07992764590017;0.44342805461357265;155.61937921931712;4h
kama;LINK/EUR;Long;2.0;121;17.355371900826448;14482.41663149912;482.41663149911983;3.44583308213657;90.83500679287499;4h
kama;LUNC/USDT;Long;None;163;23.92638036809816;14474.272854862016;474.2728548620162;3.3876632490144014;78.95360372903815;4h
kama;LUNC/USDT;Long;1.0;163;7.975460122699387;13761.816789376471;-238.1832106235288;-1.7013086473109198;230.78168039697448;4h
kama;LUNC/USDT;Long;1.5;163;17.177914110429448;14092.084771255973;92.08477125597346;0.6577483661140962;135.78227072043774;4h
kama;LUNC/USDT;Long;2.0;163;21.472392638036812;14375.996136760064;375.9961367600645;2.6856866911433177;94.12455306369338;4h
kama;SOL/EUR;Long;None;141;20.56737588652482;14434.829153112303;434.8291531123032;3.105922522230737;71.8282452054591;4h
kama;SOL/EUR;Long;1.0;141;4.25531914893617;13438.372103204058;-561.6278967959424;-4.011627834256732;559.3588435364436;4h
kama;SOL/EUR;Long;1.5;141;14.184397163120568;13844.089654892134;-155.9103451078663;-1.113645322199045;187.27417704134314;4h
kama;SOL/EUR;Long;2.0;141;17.02127659574468;13960.416283338884;-39.58371666111634;-0.28274083329368815;146.87835612213894;4h
kama;SUI/EUR;Long;None;166;19.879518072289155;14489.000606886182;489.00060688618214;3.492861477758444;68.30060638621944;4h
kama;SUI/EUR;Long;1.0;166;4.819277108433735;13322.734573711816;-677.2654262881842;-4.837610187772745;682.2509854479904;4h
kama;SUI/EUR;Long;1.5;166;12.650602409638553;13926.387741420254;-73.61225857974568;-0.5258018469981834;224.39323068132398;4h
kama;SUI/EUR;Long;2.0;166;18.072289156626507;14408.76655624376;408.7665562437596;2.919761116026854;87.7120706958176;4h
kama;TNSR/USDC;Long;None;158;20.88607594936709;14430.889392756819;430.8893927568188;3.07778137683442;70.3660494783635;4h
kama;TNSR/USDC;Long;1.0;158;6.329113924050633;13641.817050677519;-358.18294932248136;-2.558449638017724;358.52134696185567;4h
