symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-20T05:00:00+02:00,0.8112,2024-08-21T05:00:00+02:00,0.7846,1600.0,3.2,49.26548323471414,16049.265483234714,"Time-based exit (2 bars, optimal=2)",1972.386587771203,2024-08-20T05:00:00+02:00,2024-08-21T05:00:00+02:00,0.8112,0.7846
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-21T05:00:00+02:00,0.7846,2024-08-22T05:00:00+02:00,0.7656,1604.9265483234715,3.209853096646943,35.65530675314401,16084.920789987858,"Time-based exit (2 bars, optimal=2)",2045.5347289363644,2024-08-21T05:00:00+02:00,2024-08-22T05:00:00+02:00,0.7846,0.7656
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-22T06:00:00+02:00,0.7596,2024-08-24T09:00:00+02:00,0.9103,1608.492078998786,3.216984157997572,-322.33198719264334,15762.588802795215,Trend flip,2117.5514468125143,2024-08-22T06:00:00+02:00,2024-08-24T09:00:00+02:00,0.7596,0.9103
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-26T06:00:00+02:00,0.8854,2024-08-27T06:00:00+02:00,0.8592,1576.2588802795215,3.152517760559043,43.49078770965043,15806.079590504865,"Time-based exit (2 bars, optimal=2)",1780.2788347408193,2024-08-26T06:00:00+02:00,2024-08-27T06:00:00+02:00,0.8854,0.8592
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-27T08:00:00+02:00,0.85,2024-08-28T08:00:00+02:00,0.752,1580.6079590504864,3.161215918100973,179.0735840665433,15985.15317457141,"Time-based exit (2 bars, optimal=2)",1859.5387753535135,2024-08-27T08:00:00+02:00,2024-08-28T08:00:00+02:00,0.85,0.752
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-28T09:00:00+02:00,0.7347,2024-08-29T20:00:00+02:00,0.7228,1598.515317457141,3.1970306349142823,22.694261426798,16007.847435998206,"Time-based exit (2 bars, optimal=2)",2175.7388287153135,2024-08-28T09:00:00+02:00,2024-08-29T20:00:00+02:00,0.7347,0.7228
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-29T20:00:00+02:00,0.7228,2024-08-31T06:00:00+02:00,0.7507,1600.7847435998206,3.201569487199641,-64.99168341419887,15942.855752584008,Trend flip,2214.69942390678,2024-08-29T20:00:00+02:00,2024-08-31T06:00:00+02:00,0.7228,0.7507
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-08-31T07:00:00+02:00,0.7458,2024-09-01T07:00:00+02:00,0.7109,1594.2855752584007,3.1885711505168017,71.41664013470476,16014.272392718713,"Time-based exit (2 bars, optimal=2)",2137.6851371123635,2024-08-31T07:00:00+02:00,2024-09-01T07:00:00+02:00,0.7458,0.7109
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-09-01T07:00:00+02:00,0.7109,2024-09-02T07:00:00+02:00,0.6969,1601.4272392718713,3.2028544785437427,28.334606978491312,16042.606999697204,"Time-based exit (2 bars, optimal=2)",2252.6758183596444,2024-09-01T07:00:00+02:00,2024-09-02T07:00:00+02:00,0.7109,0.6969
SUI/EUR,Short,jma,12h,"ParamA=50.0, ParamB=50.0, ATR=None",2024-09-03T15:00:00+02:00,0.7292,2024-09-04T15:00:00+02:00,0.7111,1604.2606999697205,3.208521399939441,36.611992408963395,16079.218992106167,"Time-based exit (2 bars, optimal=2)",2200.0283872322,2024-09-03T15:00:00+02:00,2024-09-04T15:00:00+02:00,0.7292,0.7111
